Class	Type	C1	C2	C3	U1	U2	Rare
Neo	N11	Tigris Prime Stock	Braton Prime Barrel	Sybaris Prime Blueprint	Oberon Prime Systems	Forma Blueprint	Nekros Prime Systems
Neo	N12	Trinity Prime Systems	Soma Prime Blueprint	Vasto Prime Receiver	Dual Kamas Prime Handle	Kavasa Prime Band	Nova Prime Chassis
Neo	N13	Inaros Prime Systems	Aksomati Prime Blueprint	Pangolin Prime Handle	Forma Blueprint	Wukong Prime Chassis	Nezha Prime Chassis
Neo	N14	Titania Prime Chassis	Forma Blueprint	Bronco Prime Receiver	Braton Prime Receiver	Zhuge Prime Receiver	Ninkondi Prime Handle
Neo	N15	Paris Prime Blueprint	Akbronco Prime Blueprint	Forma Blueprint	Atlas Prime Systems	Baza Prime Barrel	Nezha Prime Neuroptics
Neo	N16	Burston Prime Stock	Nezha Prime Systems	Forma Blueprint	Orthos Prime Blade	Pandero Prime Barrel	Nidus Prime Neuroptics
Neo	N17	Paris Prime Upper Limb	Pangolin Prime Handle	Burston Prime Receiver	Strun Prime Stock	Forma Blueprint	Nezha Prime Chassis
Neo	N18	Corinth Prime Blueprint	Scourge Prime Blade	Magnus Prime Blueprint	Forma Blueprint	Gara Prime Neuroptics	Nidus Prime Chassis
Neo	N2	Lex Prime Blueprint	Fang Prime Blueprint	Vasto Prime Barrel	Forma Blueprint	Nova Prime Blueprint	Vauban Prime Systems
Neo	N20	Garuda Prime Blueprint	Fang Prime Blade	Tenora Prime Blueprint	Pandero Prime Barrel	Karyst Prime Handle	Nezha Prime Neuroptics
Neo	N3	Lex Prime Barrel	Odonata Prime Systems	Paris Prime String	Fang Prime Handle	Ash Prime Neuroptics	Nekros Prime Systems
Neo	N4	Paris Prime String	Ash Prime Chassis	Braton Prime Stock	Forma Blueprint	Venka Prime Blueprint	Nikana Prime Blade
Neo	N5	Saryn Prime Systems	Forma Blueprint	Helios Prime Carapace	Ash Prime Systems	Akstiletto Prime Link	Nikana Prime Blueprint
Neo	N6	Bronco Prime Receiver	Galatine Prime Blade	Cernos Prime Upper Limb	Sybaris Prime Receiver	Trinity Prime Blueprint	Nikana Prime Hilt
Neo	N7	Trinity Prime Neuroptics	Euphona Prime Blueprint	Venka Prime Blades	Banshee Prime Blueprint	Valkyr Prime Neuroptics	Nekros Prime Systems
Neo	N8	Paris Prime String	Hydroid Prime Chassis	Sybaris Prime Blueprint	Akbolto Prime Link	Forma Blueprint	Nami Skyla Prime Blade
Neo	N9	Mag Prime Neuroptics	Boar Prime Blueprint	Dakra Prime Handle	Soma Prime Receiver	Forma Blueprint	Nova Prime Chassis
Neo	O1	Volt Prime Blueprint	Forma Blueprint	Odonata Prime Harness	Aklex Prime Blueprint	Volt Prime Systems	Odonata Prime Wings
Neo	P1	Ninkondi Prime Blueprint	Paris Prime Lower Limb	Redeemer Prime Blade	Akjagara Prime Receiver	Rubico Prime Stock	Pangolin Prime Blueprint
Neo	P2	Aksomati Prime Receiver	Braton Prime Stock	Guandao Prime Blade	Forma Blueprint	Titania Prime Blueprint	Pandero Prime Receiver
Neo	P3	Lex Prime Blueprint	Panthera Prime Blueprint	Orthos Prime Handle	Astilla Prime Stock	Inaros Prime Chassis	Pangolin Prime Blueprint
Neo	P4	Karyst Prime Blueprint	Zakti Prime Receiver	Paris Prime Upper Limb	Forma Blueprint	Braton Prime Receiver	Pandero Prime Receiver
Neo	R1	Hikou Prime Blueprint	Ankyros Prime Gauntlet	Forma Blueprint	Boltor Prime Receiver	Nyx Prime Chassis	Rhino Prime Blueprint
Neo	R2	Ninkondi Prime Blueprint	Braton Prime Stock	Forma Blueprint	Paris Prime Grip	Tiberon Prime Blueprint	Rubico Prime Blueprint
Neo	R3	Baza Prime Receiver	Limbo Prime Systems	Burston Prime Blueprint	Paris Prime Grip	Ninkondi Prime Chain	Redeemer Prime Handle
Neo	R4	Aksomati Prime Blueprint	Braton Prime Stock	Mesa Prime Chassis	Corinth Prime Receiver	Ninkondi Prime Chain	Redeemer Prime Handle
Neo	S1	Carrier Prime Carapace	Lex Prime Barrel	Soma Prime Blueprint	Trinity Prime Chassis	Forma Blueprint	Saryn Prime Blueprint
Neo	S10	Saryn Prime Systems	Braton Prime Stock	Lex Prime Blueprint	Nikana Prime Blade	Spira Prime Blade	Saryn Prime Chassis
Neo	S11	Fang Prime Blade	Bronco Prime Receiver	Hydroid Prime Chassis	Kronen Prime Handle	Forma Blueprint	Stradavar Prime Blueprint
Neo	S12	Fang Prime Blade	Redeemer Prime Blade	Paris Prime Upper Limb	Wukong Prime Chassis	Mirage Prime Systems	Stradavar Prime Blueprint
Neo	S13	Saryn Prime Systems	Spira Prime Blueprint	Nikana Prime Blueprint	Cernos Prime Blueprint	Forma Blueprint	Saryn Prime Chassis
Neo	S14	Karyst Prime Blueprint	Ninkondi Prime Blueprint	Forma Blueprint	Fang Prime Handle	Pangolin Prime Blade	Stradavar Prime Blueprint
Neo	S2	Burston Prime Stock	Paris Prime Lower Limb	Nova Prime Systems	Nyx Prime Systems	Paris Prime Upper Limb	Saryn Prime Chassis
Neo	S3	Soma Prime Barrel	Carrier Prime Blueprint	Burston Prime Receiver	Forma Blueprint	Vasto Prime Blueprint	Spira Prime Blade
Neo	S5	Latron Prime Receiver	Ember Prime Neuroptics	Reaper Prime Blueprint	Glaive Prime Disc	Frost Prime Systems	Sicarus Prime Receiver
Neo	S6	Burston Prime Blueprint	Forma Blueprint	Trinity Prime Neuroptics	Tigris Prime Receiver	Kavasa Prime Buckle	Silva & Aegis Prime Guard
Neo	S7	Banshee Prime Neuroptics	Fang Prime Blade	Helios Prime Carapace	Sybaris Prime Receiver	Ballistica Prime Receiver	Silva & Aegis Prime Guard
Neo	S8	Forma Blueprint	Bronco Prime Receiver	Hydroid Prime Chassis	Nikana Prime Blueprint	Fragor Prime Blueprint	Spira Prime Pouch
Neo	S9	Akjagara Prime Blueprint	Bronco Prime Blueprint	Mirage Prime Neuroptics	Destreza Prime Blueprint	Forma Blueprint	Silva & Aegis Prime Guard
Neo	T1	Forma Blueprint	Dual Kamas Prime Blueprint	Burston Prime Blueprint	Banshee Prime Blueprint	Fragor Prime Handle	Tigris Prime Blueprint
Neo	T2	Akbronco Prime Blueprint	Wukong Prime Neuroptics	Fang Prime Blueprint	Dethcube Prime Carapace	Forma Blueprint	Tekko Prime Blade
Neo	T3	Redeemer Prime Blade	Braton Prime Blueprint	Forma Blueprint	Inaros Prime Chassis	Atlas Prime Chassis	Titania Prime Systems
Neo	T4	Braton Prime Stock	Ivara Prime Neuroptics	Forma Blueprint	Astilla Prime Blueprint	Guandao Prime Blueprint	Tenora Prime Receiver
Neo	T5	Aksomati Prime Receiver	Inaros Prime Systems	Braton Prime Barrel	Magnus Prime Receiver	Corinth Prime Receiver	Tenora Prime Barrel
Neo	V1	Nyx Prime Blueprint	Forma Blueprint	Dual Kamas Prime Blueprint	Bronco Prime Barrel	Volt Prime Blueprint	Nova Prime Chassis
Neo	V10	Braton Prime Receiver	Guandao Prime Blade	Forma Blueprint	Akbronco Prime Link	Inaros Prime Chassis	Volnus Prime Handle
Neo	V2	Fang Prime Handle	Braton Prime Stock	Galatine Prime Blade	Galatine Prime Handle	Forma Blueprint	Vauban Prime Blueprint
Neo	V3	Galatine Prime Blade	Paris Prime String	Carrier Prime Systems	Tigris Prime Receiver	Forma Blueprint	Vauban Prime Neuroptics
Neo	V4	Cernos Prime Grip	Tigris Prime Stock	Bronco Prime Receiver	Saryn Prime Neuroptics	Ash Prime Neuroptics	Venka Prime Gauntlet
Neo	V5	Helios Prime Carapace	Paris Prime String	Silva & Aegis Prime Hilt	Forma Blueprint	Burston Prime Barrel	Vauban Prime Neuroptics
Neo	V6	Burston Prime Stock	Cernos Prime Grip	Forma Blueprint	Mirage Prime Systems	Fragor Prime Handle	Vauban Prime Chassis
Neo	V7	Pyrana Prime Barrel	Akbolto Prime Blueprint	Forma Blueprint	Banshee Prime Blueprint	Cernos Prime Blueprint	Valkyr Prime Chassis
Neo	V8	Loki Prime Blueprint	Odonata Prime Harness	Wyrm Prime Blueprint	Bo Prime Handle	Forma Blueprint	Volt Prime Neuroptics
Neo	V9	Venka Prime Blades	Forma Blueprint	Nyx Prime Blueprint	Cernos Prime Blueprint	Lex Prime Blueprint	Valkyr Prime Chassis
Neo	Z1	Paris Prime Blueprint	Nekros Prime Chassis	Orthos Prime Handle	Galatine Prime Handle	Forma Blueprint	Zephyr Prime Blueprint
Neo	Z2	Lex Prime Blueprint	Akbolto Prime Blueprint	Braton Prime Stock	Mesa Prime Blueprint	Pyrana Prime Receiver	Zephyr Prime Blueprint
Neo	Z3	Bronco Prime Receiver	Zephyr Prime Neuroptics	Forma Blueprint	Mesa Prime Blueprint	Akjagara Prime Receiver	Zhuge Prime Barrel
Neo	Z4	Paris Prime String	Burston Prime Stock	Kronen Prime Blueprint	Forma Blueprint	Redeemer Prime Blueprint	Zephyr Prime Blueprint
Neo	Z5	Lex Prime Barrel	Burston Prime Stock	Akjagara Prime Blueprint	Aksomati Prime Barrel	Forma Blueprint	Zhuge Prime Barrel
Neo	Z6	Guandao Prime Blade	Paris Prime String	Braton Prime Blueprint	Tipedo Prime Ornament	Titania Prime Neuroptics	Zhuge Prime Barrel
Neo	Z7	Forma Blueprint	Wukong Prime Neuroptics	Atlas Prime Blueprint	Octavia Prime Chassis	Akbronco Prime Link	Zhuge Prime Barrel
Neo	Z8	Kronen Prime Blueprint	Chroma Prime Chassis	Braton Prime Stock	Gram Prime Blueprint	Forma Blueprint	Zephyr Prime Systems
