"Relic_Name","C1","C2","C3","U1","U2","Rare","Class","Type","Refinement","C1_Raw","C2_Raw","C3_Raw","U1_Raw","U2_Raw","Rare_Raw"
"Lith K1 Relic (Intact) ","Fang Prime Blueprint (25.33%)","Burston Prime Stock (25.33%)","Odonata Prime Harness (25.33%)","Tigris Prime Barrel (11.0%)","Trinity Prime Blueprint (11.0%)","Kavasa Prime Buckle (2.0%)","Lith","K1","Intact","Fang Prime Blueprint","Burston Prime Stock","Odonata Prime Harness","Tigris Prime Barrel","Trinity Prime Blueprint","Kavasa Prime Buckle"
"Lith K2 Relic (Intact) ","Zephyr Prime Neuroptics (25.33%)","Braton Prime Barrel (25.33%)","Rubico Prime Receiver (25.33%)","Forma Blueprint (11.0%)","Braton Prime Receiver (11.0%)","Kogake Prime Gauntlet (2.0%)","Lith","K2","Intact","Zephyr Prime Neuroptics","Braton Prime Barrel","Rubico Prime Receiver","Forma Blueprint","Braton Prime Receiver","Kogake Prime Gauntlet"
"Lith K3 Relic (Intact) ","Rubico Prime Receiver (25.33%)","Forma Blueprint (25.33%)","Paris Prime Upper Limb (25.33%)","Tiberon Prime Blueprint (11.0%)","Wukong Prime Chassis (11.0%)","Kronen Prime Blade (2.0%)","Lith","K3","Intact","Rubico Prime Receiver","Forma Blueprint","Paris Prime Upper Limb","Tiberon Prime Blueprint","Wukong Prime Chassis","Kronen Prime Blade"
"Lith K4 Relic (Intact) ","Nova Prime Neuroptics (25.33%)","Forma Blueprint (25.33%)","Dual Kamas Prime Blueprint (25.33%)","Trinity Prime Blueprint (11.0%)","Soma Prime Receiver (11.0%)","Kavasa Prime Buckle (2.0%)","Lith","K4","Intact","Nova Prime Neuroptics","Forma Blueprint","Dual Kamas Prime Blueprint","Trinity Prime Blueprint","Soma Prime Receiver","Kavasa Prime Buckle"
"Lith K5 Relic (Intact) ","Mirage Prime Chassis (25.33%)","Forma Blueprint (25.33%)","Helios Prime Carapace (25.33%)","Akbolto Prime Barrel (11.0%)","Banshee Prime Systems (11.0%)","Kogake Prime Gauntlet (2.0%)","Lith","K5","Intact","Mirage Prime Chassis","Forma Blueprint","Helios Prime Carapace","Akbolto Prime Barrel","Banshee Prime Systems","Kogake Prime Gauntlet"
"Lith K6 Relic (Intact) ","Bronco Prime Blueprint (25.33%)","Atlas Prime Blueprint (25.33%)","Aksomati Prime Receiver (25.33%)","Paris Prime Grip (11.0%)","Gara Prime Chassis (11.0%)","Karyst Prime Blade (2.0%)","Lith","K6","Intact","Bronco Prime Blueprint","Atlas Prime Blueprint","Aksomati Prime Receiver","Paris Prime Grip","Gara Prime Chassis","Karyst Prime Blade"
"Lith K7 Relic (Intact) ","Paris Prime Lower Limb (25.33%)","Baza Prime Receiver (25.33%)","Guandao Prime Blade (25.33%)","Octavia Prime Chassis (11.0%)","Forma Blueprint (11.0%)","Karyst Prime Blade (2.0%)","Lith","K7","Intact","Paris Prime Lower Limb","Baza Prime Receiver","Guandao Prime Blade","Octavia Prime Chassis","Forma Blueprint","Karyst Prime Blade"
"Lith K8 Relic (Intact) ","Braton Prime Receiver (25.33%)","Forma Blueprint (25.33%)","Lex Prime Receiver (25.33%)","Limbo Prime Neuroptics (11.0%)","Trinity Prime Neuroptics (11.0%)","Kavasa Prime Buckle (2.0%)","Lith","K8","Intact","Braton Prime Receiver","Forma Blueprint","Lex Prime Receiver","Limbo Prime Neuroptics","Trinity Prime Neuroptics","Kavasa Prime Buckle"
"Lith L1 Relic (Intact) ","Destreza Prime Handle (25.33%)","Kogake Prime Boot (25.33%)","Forma Blueprint (25.33%)","Zhuge Prime Blueprint (11.0%)","Equinox Prime Neuroptics (11.0%)","Limbo Prime Neuroptics (2.0%)","Lith","L1","Intact","Destreza Prime Handle","Kogake Prime Boot","Forma Blueprint","Zhuge Prime Blueprint","Equinox Prime Neuroptics","Limbo Prime Neuroptics"
"Lith L2 Relic (Intact) ","Pyrana Prime Barrel (25.33%)","Equinox Prime Chassis (25.33%)","Redeemer Prime Blade (25.33%)","Braton Prime Receiver (11.0%)","Tekko Prime Blueprint (11.0%)","Limbo Prime Neuroptics (2.0%)","Lith","L2","Intact","Pyrana Prime Barrel","Equinox Prime Chassis","Redeemer Prime Blade","Braton Prime Receiver","Tekko Prime Blueprint","Limbo Prime Neuroptics"
"Lith L3 Relic (Intact) ","Pyrana Prime Barrel (25.33%)","Dual Kamas Prime Blueprint (25.33%)","Lex Prime Barrel (25.33%)","Trinity Prime Chassis (11.0%)","Kavasa Prime Band (11.0%)","Limbo Prime Chassis (2.0%)","Lith","L3","Intact","Pyrana Prime Barrel","Dual Kamas Prime Blueprint","Lex Prime Barrel","Trinity Prime Chassis","Kavasa Prime Band","Limbo Prime Chassis"
"Lith M1 Relic (Intact) ","Lex Prime Receiver (25.33%)","Boar Prime Receiver (25.33%)","Forma Blueprint (25.33%)","Soma Prime Blueprint (11.0%)","Dakra Prime Blueprint (11.0%)","Mag Prime Blueprint (2.0%)","Lith","M1","Intact","Lex Prime Receiver","Boar Prime Receiver","Forma Blueprint","Soma Prime Blueprint","Dakra Prime Blueprint","Mag Prime Blueprint"
"Lith M2 Relic (Intact) ","Nova Prime Neuroptics (25.33%)","Soma Prime Barrel (25.33%)","Dakra Prime Handle (25.33%)","Boar Prime Barrel (11.0%)","Forma Blueprint (11.0%)","Mag Prime Blueprint (2.0%)","Lith","M2","Intact","Nova Prime Neuroptics","Soma Prime Barrel","Dakra Prime Handle","Boar Prime Barrel","Forma Blueprint","Mag Prime Blueprint"
"Lith M3 Relic (Intact) ","Silva & Aegis Prime Hilt (25.33%)","Forma Blueprint (25.33%)","Paris Prime Blueprint (25.33%)","Rubico Prime Stock (11.0%)","Oberon Prime Blueprint (11.0%)","Mesa Prime Neuroptics (2.0%)","Lith","M3","Intact","Silva & Aegis Prime Hilt","Forma Blueprint","Paris Prime Blueprint","Rubico Prime Stock","Oberon Prime Blueprint","Mesa Prime Neuroptics"
"Lith M4 Relic (Intact) ","Paris Prime Blueprint (25.33%)","Akjagara Prime Blueprint (25.33%)","Equinox Prime Chassis (25.33%)","Stradavar Prime Barrel (11.0%)","Destreza Prime Blueprint (11.0%)","Mesa Prime Neuroptics (2.0%)","Lith","M4","Intact","Paris Prime Blueprint","Akjagara Prime Blueprint","Equinox Prime Chassis","Stradavar Prime Barrel","Destreza Prime Blueprint","Mesa Prime Neuroptics"
"Lith M5 Relic (Intact) ","Redeemer Prime Blade (25.33%)","Burston Prime Stock (25.33%)","Atlas Prime Blueprint (25.33%)","Titania Prime Blueprint (11.0%)","Stradavar Prime Barrel (11.0%)","Mesa Prime Neuroptics (2.0%)","Lith","M5","Intact","Redeemer Prime Blade","Burston Prime Stock","Atlas Prime Blueprint","Titania Prime Blueprint","Stradavar Prime Barrel","Mesa Prime Neuroptics"
"Lith M6 Relic (Intact) ","Bronco Prime Blueprint (25.33%)","Inaros Prime Systems (25.33%)","Forma Blueprint (25.33%)","Dethcube Prime Carapace (11.0%)","Akjagara Prime Receiver (11.0%)","Mesa Prime Systems (2.0%)","Lith","M6","Intact","Bronco Prime Blueprint","Inaros Prime Systems","Forma Blueprint","Dethcube Prime Carapace","Akjagara Prime Receiver","Mesa Prime Systems"
"Lith M7 Relic (Intact) ","Kogake Prime Boot (25.33%)","Akbolto Prime Blueprint (25.33%)","Banshee Prime Neuroptics (25.33%)","Euphona Prime Barrel (11.0%)","Forma Blueprint (11.0%)","Mirage Prime Blueprint (2.0%)","Lith","M7","Intact","Kogake Prime Boot","Akbolto Prime Blueprint","Banshee Prime Neuroptics","Euphona Prime Barrel","Forma Blueprint","Mirage Prime Blueprint"
"Lith N1 Relic (Intact) ","Nekros Prime Chassis (25.33%)","Bronco Prime Blueprint (25.33%)","Fang Prime Blade (25.33%)","Akbronco Prime Link (11.0%)","Forma Blueprint (11.0%)","Nova Prime Chassis (2.0%)","Lith","N1","Intact","Nekros Prime Chassis","Bronco Prime Blueprint","Fang Prime Blade","Akbronco Prime Link","Forma Blueprint","Nova Prime Chassis"
"Lith N2 Relic (Intact) ","Paris Prime Upper Limb (25.33%)","Spira Prime Blueprint (25.33%)","Carrier Prime Systems (25.33%)","Helios Prime Blueprint (11.0%)","Kavasa Prime Band (11.0%)","Nekros Prime Systems (2.0%)","Lith","N2","Intact","Paris Prime Upper Limb","Spira Prime Blueprint","Carrier Prime Systems","Helios Prime Blueprint","Kavasa Prime Band","Nekros Prime Systems"
"Lith N3 Relic (Intact) ","Sybaris Prime Stock (25.33%)","Burston Prime Receiver (25.33%)","Valkyr Prime Blueprint (25.33%)","Braton Prime Blueprint (11.0%)","Forma Blueprint (11.0%)","Nekros Prime Blueprint (2.0%)","Lith","N3","Intact","Sybaris Prime Stock","Burston Prime Receiver","Valkyr Prime Blueprint","Braton Prime Blueprint","Forma Blueprint","Nekros Prime Blueprint"
"Lith N4 Relic (Intact) ","Bronco Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Gram Prime Blade (25.33%)","Atlas Prime Systems (11.0%)","Ivara Prime Blueprint (11.0%)","Ninkondi Prime Handle (2.0%)","Lith","N4","Intact","Bronco Prime Blueprint","Forma Blueprint","Gram Prime Blade","Atlas Prime Systems","Ivara Prime Blueprint","Ninkondi Prime Handle"
"Lith N5 Relic (Intact) ","Stradavar Prime Stock (25.33%)","Zhuge Prime String (25.33%)","Forma Blueprint (25.33%)","Braton Prime Receiver (11.0%)","Ivara Prime Blueprint (11.0%)","Ninkondi Prime Handle (2.0%)","Lith","N5","Intact","Stradavar Prime Stock","Zhuge Prime String","Forma Blueprint","Braton Prime Receiver","Ivara Prime Blueprint","Ninkondi Prime Handle"
"Lith N6 Relic (Intact) ","Fang Prime Blade (25.33%)","Zhuge Prime Grip (25.33%)","Aksomati Prime Receiver (25.33%)","Stradavar Prime Barrel (11.0%)","Inaros Prime Chassis (11.0%)","Nezha Prime Neuroptics (2.0%)","Lith","N6","Intact","Fang Prime Blade","Zhuge Prime Grip","Aksomati Prime Receiver","Stradavar Prime Barrel","Inaros Prime Chassis","Nezha Prime Neuroptics"
"Lith N7 Relic (Intact) ","Octavia Prime Systems (25.33%)","Braton Prime Blueprint (25.33%)","Lex Prime Barrel (25.33%)","Ivara Prime Blueprint (11.0%)","Pangolin Prime Blade (11.0%)","Nidus Prime Chassis (2.0%)","Lith","N7","Intact","Octavia Prime Systems","Braton Prime Blueprint","Lex Prime Barrel","Ivara Prime Blueprint","Pangolin Prime Blade","Nidus Prime Chassis"
"Lith N8 Relic (Intact) ","Aksomati Prime Blueprint (25.33%)","Astilla Prime Receiver (25.33%)","Pandero Prime Blueprint (25.33%)","Zakti Prime Barrel (11.0%)","Titania Prime Neuroptics (11.0%)","Nezha Prime Neuroptics (2.0%)","Lith","N8","Intact","Aksomati Prime Blueprint","Astilla Prime Receiver","Pandero Prime Blueprint","Zakti Prime Barrel","Titania Prime Neuroptics","Nezha Prime Neuroptics"
"Lith N9 Relic (Intact) ","Redeemer Prime Blade (25.33%)","Burston Prime Stock (25.33%)","Forma Blueprint (25.33%)","Mesa Prime Blueprint (11.0%)","Akjagara Prime Receiver (11.0%)","Nami Skyla Prime Blade (2.0%)","Lith","N9","Intact","Redeemer Prime Blade","Burston Prime Stock","Forma Blueprint","Mesa Prime Blueprint","Akjagara Prime Receiver","Nami Skyla Prime Blade"
"Lith O1 Relic (Intact) ","Rubico Prime Receiver (25.33%)","Burston Prime Blueprint (25.33%)","Ballistica Prime Lower Limb (25.33%)","Akbolto Prime Barrel (11.0%)","Forma Blueprint (11.0%)","Oberon Prime Neuroptics (2.0%)","Lith","O1","Intact","Rubico Prime Receiver","Burston Prime Blueprint","Ballistica Prime Lower Limb","Akbolto Prime Barrel","Forma Blueprint","Oberon Prime Neuroptics"
"Lith O2 Relic (Intact) ","Volt Prime Blueprint (25.33%)","Bo Prime Blueprint (25.33%)","Wyrm Prime Cerebrum (25.33%)","Loki Prime Chassis (11.0%)","Forma Blueprint (11.0%)","Odonata Prime Wings (2.0%)","Lith","O2","Intact","Volt Prime Blueprint","Bo Prime Blueprint","Wyrm Prime Cerebrum","Loki Prime Chassis","Forma Blueprint","Odonata Prime Wings"
"Lith P1 Relic (Intact) ","Sybaris Prime Stock (25.33%)","Fang Prime Blade (25.33%)","Helios Prime Carapace (25.33%)","Forma Blueprint (11.0%)","Braton Prime Receiver (11.0%)","Pyrana Prime Blueprint (2.0%)","Lith","P1","Intact","Sybaris Prime Stock","Fang Prime Blade","Helios Prime Carapace","Forma Blueprint","Braton Prime Receiver","Pyrana Prime Blueprint"
"Lith P2 Relic (Intact) ","Burston Prime Blueprint (25.33%)","Tipedo Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Ballistica Prime Receiver (11.0%)","Gram Prime Blueprint (11.0%)","Pyrana Prime Blueprint (2.0%)","Lith","P2","Intact","Burston Prime Blueprint","Tipedo Prime Blueprint","Forma Blueprint","Ballistica Prime Receiver","Gram Prime Blueprint","Pyrana Prime Blueprint"
"Lith P3 Relic (Intact) ","Stradavar Prime Stock (25.33%)","Atlas Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Burston Prime Barrel (11.0%)","Akjagara Prime Link (11.0%)","Panthera Prime Barrel (2.0%)","Lith","P3","Intact","Stradavar Prime Stock","Atlas Prime Blueprint","Forma Blueprint","Burston Prime Barrel","Akjagara Prime Link","Panthera Prime Barrel"
"Lith P4 Relic (Intact) ","Bronco Prime Blueprint (25.33%)","Titania Prime Chassis (25.33%)","Braton Prime Barrel (25.33%)","Forma Blueprint (11.0%)","Equinox Prime Blueprint (11.0%)","Panthera Prime Barrel (2.0%)","Lith","P4","Intact","Bronco Prime Blueprint","Titania Prime Chassis","Braton Prime Barrel","Forma Blueprint","Equinox Prime Blueprint","Panthera Prime Barrel"
"Lith P5 Relic (Intact) ","Atlas Prime Blueprint (25.33%)","Lex Prime Blueprint (25.33%)","Bronco Prime Receiver (25.33%)","Guandao Prime Blueprint (11.0%)","Tekko Prime Blueprint (11.0%)","Pangolin Prime Blueprint (2.0%)","Lith","P5","Intact","Atlas Prime Blueprint","Lex Prime Blueprint","Bronco Prime Receiver","Guandao Prime Blueprint","Tekko Prime Blueprint","Pangolin Prime Blueprint"
"Lith R1 Relic (Intact) ","Mesa Prime Chassis (25.33%)","Hydroid Prime Chassis (25.33%)","Forma Blueprint (25.33%)","Ballistica Prime Receiver (11.0%)","Burston Prime Barrel (11.0%)","Redeemer Prime Handle (2.0%)","Lith","R1","Intact","Mesa Prime Chassis","Hydroid Prime Chassis","Forma Blueprint","Ballistica Prime Receiver","Burston Prime Barrel","Redeemer Prime Handle"
"Lith S1 Relic (Intact) ","Paris Prime String (25.33%)","Hikou Prime Blueprint (25.33%)","Bronco Prime Blueprint (25.33%)","Paris Prime Grip (11.0%)","Forma Blueprint (11.0%)","Spira Prime Pouch (2.0%)","Lith","S1","Intact","Paris Prime String","Hikou Prime Blueprint","Bronco Prime Blueprint","Paris Prime Grip","Forma Blueprint","Spira Prime Pouch"
"Lith S10 Relic (Intact) ","Mesa Prime Chassis (25.33%)","Dethcube Prime Systems (25.33%)","Burston Prime Blueprint (25.33%)","Orthos Prime Blueprint (11.0%)","Baza Prime Barrel (11.0%)","Stradavar Prime Blueprint (2.0%)","Lith","S10","Intact","Mesa Prime Chassis","Dethcube Prime Systems","Burston Prime Blueprint","Orthos Prime Blueprint","Baza Prime Barrel","Stradavar Prime Blueprint"
"Lith S2 Relic (Intact) ","Carrier Prime Systems (25.33%)","Akbronco Prime Blueprint (25.33%)","Nyx Prime Blueprint (25.33%)","Forma Blueprint (11.0%)","Kavasa Prime Band (11.0%)","Soma Prime Stock (2.0%)","Lith","S2","Intact","Carrier Prime Systems","Akbronco Prime Blueprint","Nyx Prime Blueprint","Forma Blueprint","Kavasa Prime Band","Soma Prime Stock"
"Lith S3 Relic (Intact) ","Carrier Prime Systems (25.33%)","Akbronco Prime Blueprint (25.33%)","Paris Prime String (25.33%)","Ash Prime Blueprint (11.0%)","Soma Prime Receiver (11.0%)","Spira Prime Pouch (2.0%)","Lith","S3","Intact","Carrier Prime Systems","Akbronco Prime Blueprint","Paris Prime String","Ash Prime Blueprint","Soma Prime Receiver","Spira Prime Pouch"
"Lith S4 Relic (Intact) ","Lex Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Paris Prime Blueprint (25.33%)","Trinity Prime Chassis (11.0%)","Kavasa Prime Kubrow Collar Blueprint (11.0%)","Saryn Prime Blueprint (2.0%)","Lith","S4","Intact","Lex Prime Blueprint","Forma Blueprint","Paris Prime Blueprint","Trinity Prime Chassis","Kavasa Prime Kubrow Collar Blueprint","Saryn Prime Blueprint"
"Lith S5 Relic (Intact) ","Carrier Prime Carapace (25.33%)","Burston Prime Receiver (25.33%)","Fang Prime Blade (25.33%)","Akbronco Prime Link (11.0%)","Galatine Prime Handle (11.0%)","Spira Prime Blade (2.0%)","Lith","S5","Intact","Carrier Prime Carapace","Burston Prime Receiver","Fang Prime Blade","Akbronco Prime Link","Galatine Prime Handle","Spira Prime Blade"
"Lith S6 Relic (Intact) ","Forma Blueprint (25.33%)","Fang Prime Blade (25.33%)","Dual Kamas Prime Blueprint (25.33%)","Kavasa Prime Band (11.0%)","Valkyr Prime Neuroptics (11.0%)","Spira Prime Pouch (2.0%)","Lith","S6","Intact","Forma Blueprint","Fang Prime Blade","Dual Kamas Prime Blueprint","Kavasa Prime Band","Valkyr Prime Neuroptics","Spira Prime Pouch"
"Lith S7 Relic (Intact) ","Mirage Prime Chassis (25.33%)","Lex Prime Blueprint (25.33%)","Galatine Prime Blade (25.33%)","Paris Prime Grip (11.0%)","Akbolto Prime Link (11.0%)","Sybaris Prime Barrel (2.0%)","Lith","S7","Intact","Mirage Prime Chassis","Lex Prime Blueprint","Galatine Prime Blade","Paris Prime Grip","Akbolto Prime Link","Sybaris Prime Barrel"
"Lith S8 Relic (Intact) ","Gram Prime Blade (25.33%)","Braton Prime Barrel (25.33%)","Forma Blueprint (25.33%)","Orthos Prime Blueprint (11.0%)","Rubico Prime Barrel (11.0%)","Stradavar Prime Blueprint (2.0%)","Lith","S8","Intact","Gram Prime Blade","Braton Prime Barrel","Forma Blueprint","Orthos Prime Blueprint","Rubico Prime Barrel","Stradavar Prime Blueprint"
"Lith S9 Relic (Intact) ","Sybaris Prime Stock (25.33%)","Forma Blueprint (25.33%)","Burston Prime Stock (25.33%)","Oberon Prime Blueprint (11.0%)","Tigris Prime Receiver (11.0%)","Silva & Aegis Prime Guard (2.0%)","Lith","S9","Intact","Sybaris Prime Stock","Forma Blueprint","Burston Prime Stock","Oberon Prime Blueprint","Tigris Prime Receiver","Silva & Aegis Prime Guard"
"Lith T1 Relic (Intact) ","Forma Blueprint (25.33%)","Burston Prime Blueprint (25.33%)","Akbronco Prime Blueprint (25.33%)","Ballistica Prime Upper Limb (11.0%)","Valkyr Prime Neuroptics (11.0%)","Tigris Prime Blueprint (2.0%)","Lith","T1","Intact","Forma Blueprint","Burston Prime Blueprint","Akbronco Prime Blueprint","Ballistica Prime Upper Limb","Valkyr Prime Neuroptics","Tigris Prime Blueprint"
"Lith T2 Relic (Intact) ","Valkyr Prime Blueprint (25.33%)","Lex Prime Barrel (25.33%)","Forma Blueprint (25.33%)","Braton Prime Blueprint (11.0%)","Silva & Aegis Prime Blueprint (11.0%)","Tiberon Prime Stock (2.0%)","Lith","T2","Intact","Valkyr Prime Blueprint","Lex Prime Barrel","Forma Blueprint","Braton Prime Blueprint","Silva & Aegis Prime Blueprint","Tiberon Prime Stock"
"Lith T3 Relic (Intact) ","Galatine Prime Blade (25.33%)","Braton Prime Stock (25.33%)","Oberon Prime Chassis (25.33%)","Forma Blueprint (11.0%)","Nekros Prime Blueprint (11.0%)","Tigris Prime Blueprint (2.0%)","Lith","T3","Intact","Galatine Prime Blade","Braton Prime Stock","Oberon Prime Chassis","Forma Blueprint","Nekros Prime Blueprint","Tigris Prime Blueprint"
"Lith T4 Relic (Intact) ","Zakti Prime Receiver (25.33%)","Tekko Prime Gauntlet (25.33%)","Paris Prime Lower Limb (25.33%)","Dethcube Prime Carapace (11.0%)","Karyst Prime Handle (11.0%)","Titania Prime Systems (2.0%)","Lith","T4","Intact","Zakti Prime Receiver","Tekko Prime Gauntlet","Paris Prime Lower Limb","Dethcube Prime Carapace","Karyst Prime Handle","Titania Prime Systems"
"Lith T5 Relic (Intact) ","Forma Blueprint (25.33%)","Corinth Prime Blueprint (25.33%)","Paris Prime Lower Limb (25.33%)","Titania Prime Neuroptics (11.0%)","Zhuge Prime Blueprint (11.0%)","Tenora Prime Barrel (2.0%)","Lith","T5","Intact","Forma Blueprint","Corinth Prime Blueprint","Paris Prime Lower Limb","Titania Prime Neuroptics","Zhuge Prime Blueprint","Tenora Prime Barrel"
"Lith T6 Relic (Intact) ","Rubico Prime Barrel (25.33%)","Forma Blueprint (25.33%)","Braton Prime Blueprint (25.33%)","Kronen Prime Handle (11.0%)","Burston Prime Barrel (11.0%)","Tiberon Prime Stock (2.0%)","Lith","T6","Intact","Rubico Prime Barrel","Forma Blueprint","Braton Prime Blueprint","Kronen Prime Handle","Burston Prime Barrel","Tiberon Prime Stock"
"Lith T7 Relic (Intact) ","Bronco Prime Blueprint (25.33%)","Gara Prime Systems (25.33%)","Forma Blueprint (25.33%)","Strun Prime Barrel (11.0%)","Ivara Prime Systems (11.0%)","Titania Prime Systems (2.0%)","Lith","T7","Intact","Bronco Prime Blueprint","Gara Prime Systems","Forma Blueprint","Strun Prime Barrel","Ivara Prime Systems","Titania Prime Systems"
"Lith V1 Relic (Intact) ","Paris Prime Upper Limb (25.33%)","Paris Prime Lower Limb (25.33%)","Burston Prime Stock (25.33%)","Volt Prime Systems (11.0%)","Forma Blueprint (11.0%)","Fragor Prime Handle (2.0%)","Lith","V1","Intact","Paris Prime Upper Limb","Paris Prime Lower Limb","Burston Prime Stock","Volt Prime Systems","Forma Blueprint","Fragor Prime Handle"
"Lith V2 Relic (Intact) ","Fang Prime Blueprint (25.33%)","Lex Prime Barrel (25.33%)","Paris Prime Lower Limb (25.33%)","Forma Blueprint (11.0%)","Paris Prime Upper Limb (11.0%)","Vauban Prime Systems (2.0%)","Lith","V2","Intact","Fang Prime Blueprint","Lex Prime Barrel","Paris Prime Lower Limb","Forma Blueprint","Paris Prime Upper Limb","Vauban Prime Systems"
"Lith V3 Relic (Intact) ","Paris Prime Lower Limb (25.33%)","Cernos Prime Upper Limb (25.33%)","Braton Prime Blueprint (25.33%)","Tigris Prime Barrel (11.0%)","Helios Prime Systems (11.0%)","Valkyr Prime Systems (2.0%)","Lith","V3","Intact","Paris Prime Lower Limb","Cernos Prime Upper Limb","Braton Prime Blueprint","Tigris Prime Barrel","Helios Prime Systems","Valkyr Prime Systems"
"Lith V4 Relic (Intact) ","Spira Prime Blueprint (25.33%)","Nekros Prime Chassis (25.33%)","Venka Prime Blades (25.33%)","Tigris Prime Barrel (11.0%)","Helios Prime Blueprint (11.0%)","Vauban Prime Chassis (2.0%)","Lith","V4","Intact","Spira Prime Blueprint","Nekros Prime Chassis","Venka Prime Blades","Tigris Prime Barrel","Helios Prime Blueprint","Vauban Prime Chassis"
"Lith V5 Relic (Intact) ","Akbronco Prime Blueprint (25.33%)","Lex Prime Blueprint (25.33%)","Banshee Prime Neuroptics (25.33%)","Ballistica Prime Upper Limb (11.0%)","Akbolto Prime Barrel (11.0%)","Valkyr Prime Systems (2.0%)","Lith","V5","Intact","Akbronco Prime Blueprint","Lex Prime Blueprint","Banshee Prime Neuroptics","Ballistica Prime Upper Limb","Akbolto Prime Barrel","Valkyr Prime Systems"
"Lith V6 Relic (Intact) ","Cernos Prime Grip (25.33%)","Nikana Prime Blueprint (25.33%)","Venka Prime Blades (25.33%)","Saryn Prime Blueprint (11.0%)","Forma Blueprint (11.0%)","Valkyr Prime Chassis (2.0%)","Lith","V6","Intact","Cernos Prime Grip","Nikana Prime Blueprint","Venka Prime Blades","Saryn Prime Blueprint","Forma Blueprint","Valkyr Prime Chassis"
"Lith V7 Relic (Intact) ","Fragor Prime Head (25.33%)","Carrier Prime Blueprint (25.33%)","Vectis Prime Barrel (25.33%)","Ash Prime Blueprint (11.0%)","Akstiletto Prime Link (11.0%)","Vauban Prime Neuroptics (2.0%)","Lith","V7","Intact","Fragor Prime Head","Carrier Prime Blueprint","Vectis Prime Barrel","Ash Prime Blueprint","Akstiletto Prime Link","Vauban Prime Neuroptics"
"Lith V8 Relic (Intact) ","Ash Prime Chassis (25.33%)","Bronco Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Fragor Prime Handle (11.0%)","Vectis Prime Stock (11.0%)","Vauban Prime Systems (2.0%)","Lith","V8","Intact","Ash Prime Chassis","Bronco Prime Blueprint","Forma Blueprint","Fragor Prime Handle","Vectis Prime Stock","Vauban Prime Systems"
"Lith W1 Relic (Intact) ","Gram Prime Blade (25.33%)","Mirage Prime Neuroptics (25.33%)","Forma Blueprint (25.33%)","Akbolto Prime Link (11.0%)","Fang Prime Handle (11.0%)","Wukong Prime Blueprint (2.0%)","Lith","W1","Intact","Gram Prime Blade","Mirage Prime Neuroptics","Forma Blueprint","Akbolto Prime Link","Fang Prime Handle","Wukong Prime Blueprint"
"Lith W2 Relic (Intact) ","Rubico Prime Receiver (25.33%)","Forma Blueprint (25.33%)","Stradavar Prime Receiver (25.33%)","Baza Prime Barrel (11.0%)","Fang Prime Handle (11.0%)","Wukong Prime Blueprint (2.0%)","Lith","W2","Intact","Rubico Prime Receiver","Forma Blueprint","Stradavar Prime Receiver","Baza Prime Barrel","Fang Prime Handle","Wukong Prime Blueprint"
"Lith Z1 Relic (Intact) ","Mirage Prime Neuroptics (25.33%)","Akbronco Prime Blueprint (25.33%)","Fang Prime Handle (25.33%)","Cernos Prime Blueprint (11.0%)","Forma Blueprint (11.0%)","Zephyr Prime Systems (2.0%)","Lith","Z1","Intact","Mirage Prime Neuroptics","Akbronco Prime Blueprint","Fang Prime Handle","Cernos Prime Blueprint","Forma Blueprint","Zephyr Prime Systems"
"Lith Z2 Relic (Intact) ","Akbronco Prime Blueprint (25.33%)","Nami Skyla Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Silva & Aegis Prime Blueprint (11.0%)","Helios Prime Systems (11.0%)","Zephyr Prime Systems (2.0%)","Lith","Z2","Intact","Akbronco Prime Blueprint","Nami Skyla Prime Blueprint","Forma Blueprint","Silva & Aegis Prime Blueprint","Helios Prime Systems","Zephyr Prime Systems"
"Meso A1 Relic (Intact) ","Sybaris Prime Stock (25.33%)","Ballistica Prime Lower Limb (25.33%)","Orthos Prime Handle (25.33%)","Kronen Prime Handle (11.0%)","Forma Blueprint (11.0%)","Akjagara Prime Barrel (2.0%)","Meso","A1","Intact","Sybaris Prime Stock","Ballistica Prime Lower Limb","Orthos Prime Handle","Kronen Prime Handle","Forma Blueprint","Akjagara Prime Barrel"
"Meso A2 Relic (Intact) ","Zhuge Prime Grip (25.33%)","Tipedo Prime Blueprint (25.33%)","Forma Blueprint (25.33%)","Equinox Prime Blueprint (11.0%)","Zephyr Prime Chassis (11.0%)","Akbolto Prime Receiver (2.0%)","Meso","A2","Intact","Zhuge Prime Grip","Tipedo Prime Blueprint","Forma Blueprint","Equinox Prime Blueprint","Zephyr Prime Chassis","Akbolto Prime Receiver"
"Meso B1 Relic (Intact) ","Dakra Prime Handle (25.33%)","Orthos Prime Handle (25.33%)","Forma Blueprint (25.33%)","Mag Prime Chassis (11.0%)","Orthos Prime Blueprint (11.0%)","Boar Prime Stock (2.0%)","Meso","B1","Intact","Dakra Prime Handle","Orthos Prime Handle","Forma Blueprint","Mag Prime Chassis","Orthos Prime Blueprint","Boar Prime Stock"
