"Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"Clown's Scorn Follow-Up","Clown's Scorn","BLK","Single enemy","Magical","12.16","Dark, Poison, NE","0.01","Eight single attacks (1.52 each)","Y","Lowest HP% enemy","0","Darkness","30541478"
"Violent Storm Follow-Up","Violent Storm 1","BLK","Single enemy","Magical","3.75","Wind, NE","0.01","Five single attacks (0.75 each)","Y","Lowest HP% enemy","0","Black Magic","30541354"
"Violent Storm Follow-Up","Violent Storm 2","BLK","Single enemy","Magical","7.50","Wind, NE","0.01","Ten single attacks (0.75 each)","Y","Lowest HP% enemy","0","Black Magic","30541355"
"Violent Storm Follow-Up","Violent Storm 3","BLK","Single enemy","Magical","11.25","Wind, NE","0.01","Fifteen single attacks (0.75 each)","Y","Lowest HP% enemy","0","Black Magic","30541356"
"Fevered Rhapsody Follow-Up","Fevered Rhapsody","NAT","All allies","","","","0.01","Grants [Magical +70% Boost 1] to all allies","Y","All allies","0","Dancer","30549141"
"General's Slash Follow-Up","General's Slash","NAT","All allies","","","","0.01","Grants [40% Damage Reduction Barrier 1]","N","All allies","0","Special","30544309"
"Iron Allegiance","Flashfire Slash","PHY","Single enemy","Physical","7.00","Fire, NE","0.01","1/1/2 single attacks (6.90/6.90/3.50 each) capped at 99999, 0/50/100% additional critical chance if the user has 0/500/1000 Soul Break points, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","30549131"
"Footwork Mode","Streaking Fist","PHY","Single enemy","Physical","6.12","Fire, NE","0.01","Six single attacks (1.02 each), 100% hit rate, grants [Physical Blink 3] to the user","Y","Lowest HP% enemy","0","Monk","30548523"
"Explosive Fury Mode","Beat Down","PHY","All enemies","Physical","7.40","Ice, NE","0.01","One group attack (7.40) capped at 99999, 100% hit rate, removes [Explosive Fury Mode] from the user","Y","All enemies","0","Monk","30548524"
"Love Barrier Follow-Up","Love Barrier","NAT","Self","","","","0.01","Grants [Magical Blink 2] and [High Quick Cast 1], grants [Magical Blink 1] to all allies","Y","Self","0","Spellblade","30547325"
"Random Bet Follow-Up","Random Bet","PHY","Single enemy","Physical","-","Dark, NE","0.01","Randomly deals one (50%) or fifteen (50%) single ranged attacks (0.33 each), 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","30549370"
"Awoken Gambler","Double Down","PHY","Single enemy","Physical","4.32","Dark, NE","0.01","Six single ranged attacks (0.72 each), 100% hit rate, causes [Imperil Dark 10% (15s)] every second use","Y","Lowest HP% enemy","0","Sharpshooter","30549279"
"Shadowhound Mode","Midnight Passage","PHY","Single enemy","Physical","8.90","Dark, NE","0.01","Two single attacks (4.45 each), ignores DEF, grants [40% Damage Reduction Barrier 1] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30549325"
"Master Assassin Follow-Up","Master Assassin","PHY","Single enemy","Physical","5.36","Dark, NE","0.01","4/6/8 single attacks (0.67 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30549326"
"Downburst Follow-Up","Downburst","BLK","Single enemy","Magical","7.92","Wind, NE","0.01","Six single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","30541654"
"Unleashed Runic Blade Follow-Up","Unleashed Runic Blade","PHY","Single enemy","Physical","3.04","Ice, Holy, NE","0.01","Four single attacks (0.76 each), 100% hit rate, grants [Ice +30% Boost 1] or [Holy +30% Boost 1] to all allies based on triggering ability's element","Y","Lowest HP% enemy","0","Spellblade","31540265"
"Mental Collapse Mode","Hyperdrive Kick","BLK","Single enemy","Magical","18.64","Dark, Poison, NE","0.01","One single attack (18.64), ignores RES, grants [Instant ATB 1] and [40% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","0","Darkness","31540270"
"Awoken Bestial Power","Storm Claws","PHY","Single enemy","Physical","4.56","Wind, Lightning, NE","0.01","Six single attacks (0.24/0.37/0.45/0.63/0.76 each) at rank 1/2/3/4/5 of the triggering ability, 100% hit rate","Y","Lowest HP% enemy","0","Celerity","31540547"
"Staunch Smash Follow-Up","Staunch Smash","PHY","Single enemy","Physical","3.41","Earth, Holy, NE","0.01","One single attack (3.41) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Knight","31540545"
"Figaro Firebrand Mode","Lethal Punch (Righteous)","PHY","Single enemy","Physical","8.90","Fire, NE","0.01","Two single attacks (4.45 each), ignores DEF, 100% hit rate, causes Pillar of Justice -2 to the user","Y","Lowest HP% enemy","0","Monk","31540655"
"Figaro Firebrand Mode","Lethal Punch (Support)","NAT","All allies","","","","0.01","Restores 2000 HP and removes negative effects, causes Pillar of Support -2 to the user","N","All allies","0","Monk","31540655"
"Figaro Firebrand Mode","Lethal Punch (Mixed)","PHY","Single enemy","Physical","5.00","Fire, NE","0.01","1/2 single attacks (3.52/2.50 each) capped at 99999 if the user has Physical Blink 0-1/2, 100% hit rate, causes Pillar of Justice -1 and Pillar of Support -1 to the user","Y","Lowest HP% enemy","0","Monk","31540655"
"Bravo Shot Follow-Up","Bravo Shot","PHY","Single enemy","Physical","12.96","Poison, Fire, Lightning, NE","0.01","Two single ranged attacks (6.48 each), ignores DEF, 100% hit rate","Y","Lowest HP% enemy","0","Machinist","31540651"
"More the Merrier Mode","Metamorphosis","PHY","Single enemy","Physical","6.00","Holy, NE","0.01","One single attack (6.00) capped at 99999, grants [Quick Cast 1] to the user if the user has 750-999 SB points, grants [Instant Cast 1] and [Dualcast Spellblade 1] to the user if the user has 1000+ SB points, causes [Soul Break Gauge -500] if the user has 1000+ SB points","Y","Lowest HP% enemy","0","Spellblade","31540724"
"Intense Cold Follow-Up","Intense Cold","PHY","Single enemy","Physical","5.28","Ice, NE","0.01","One single attack (5.28) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541158"
"Faithful Samurai Mode","Martial Strike","PHY","Single enemy","Physical","3.52","Fire, NE","0.01","One single attack (3.52) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31541271"
"Fleet Blade Follow-Up","Fleet Blade","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Four single attacks (0.50 each), 100% hit rate, grants [Samurai Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Samurai","31541276"
"Dark Trick Follow-Up","Dark Trick","PHY","Single enemy","Physical","2.00","Dark, NE","0.01","Four single ranged attacks (0.50 each), causes [ATK and DEF -50% (8s)]/[MAG and RES -50% (8s)]/[DEF, RES and MND -50% (8s)] after casting Dark Trick 1+3n/2+3n/3+3n times","Y","Lowest HP% enemy","0","Sharpshooter","31541267"
"Twist Flare Follow-Up","Twist Flare","BLK","Single enemy","Magical","37.28","Fire, Wind, NE","0.01","Two single attacks (3.90 each) if the user hasn't Terra Trance, grants [High Quick Cast 1] to the user if the user hasn't Terra Trance, two single attacks (18.64 each), ignores RES if the user has [Terra Trance], removes Terra Trance from the user","Y","Lowest HP% enemy","0","Black Magic","31541604"
"Awoken Blazewind Elite","Wind Nova","BLK","Single enemy","Magical","14.46","Fire, Wind, NE","0.01","Six single attacks (2.41 each), grants [Buff Fire 10% (15s)] and [Buff Wind 10% (15s)] to the user every second use","Y","Lowest HP% enemy","0","Black Magic","31541608"
"Wild Child Mode","Dual Rough-Up","PHY","Single enemy","Physical","1.64","Lightning, Wind, NE","0.01","Two single attacks (0.82 each), 100% hit rate, grants [200% ATB 1] and [Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Celerity","31541553"
"Wild Child Mode","Dual Jump","PHY","Single enemy","Physical","1.64","Lightning, Wind, NE","0.01","Two single attacks (0.82 each), 100% hit rate, grants [Damage Cap +10000 2] to the user","Y","Lowest HP% enemy","0","Celerity","31541554"
"Wild Child Mode","Dual Scratch","PHY","Single enemy","Physical","1.64","Lightning, Wind, NE","0.01","Two single attacks (0.82 each), 100% hit rate, grants [Celerity/Combat +30% Boost 2] to the user","Y","Lowest HP% enemy","0","Celerity","31541555"
"Dual Awoken Wind Mode I (Strago)","Dual Power of Descendents","BLK","Single enemy","Magical","15.00","Water, Wind, NE","0.01","Four single attacks (3.75 each), causes [DEF, RES and MND -70% (8s)]","Y","Lowest HP% enemy","0","Black Magic","31541557"
"Dual Awoken Wind Mode II (Strago)","Dual Ancient Sage's Protection","NAT","All allies","","","","0.01","Grants [HP Stock (3000)], smart ether 1 and [40% Damage Reduction Barrier 1]","N","All allies","0","Black Magic","31541551"
"Dual Awoken Invincible General Mode I (Celes)","Dual Divine Edge","PHY","Single enemy","Physical","2.00","Holy, NE","0.01","Four single attacks (0.50 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31541709"
"Dual Awoken Samurai Mode II (Cyan)","Dual Blade Flash","PHY","Single enemy","Physical","2.64","Fire, NE","0.01","One single attack (2.64) capped at 99999, 100% hit rate, causes [Imperil Prismatic 10% (15s)]/[Imperil Prismatic 30% (15s)] if 0-3/4+ FF6 allies are alive","Y","Lowest HP% enemy","0","Samurai","31541712"
"Awoken Doma's Samurai","Doma Sword Technique: Flame Dance","PHY","Single enemy","Physical","4.32","Fire, NE","0.01","Six single attacks (0.72 each), 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31541719"
"Awoken Heated Fighter","Blazing Phoenix","PHY","Single enemy","Physical","4.32","Fire, NE","0.01","Six single attacks (0.72 each), 100% hit rate, grants [100% Critical 1] to the user every second cast","Y","Lowest HP% enemy","0","Monk","31541721"
"Awoken Machine Mania","Trinity Crossbow","PHY","Single enemy","Physical","4.20","Poison, Fire, Lightning, NE","0.01","Six single ranged attacks (0.70 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","31541731"
"Dual Awoken Machinist Mode II (Edgar)","Dual Noisebooster","NAT","Self","","","","0.01","Grants [Dualcast Poison 1], [100% Critical 1] and [Buff Poison 10% (5s)]/[Triplecast Poison 1], [100% Critical 1] and [Buff Poison 20% (5s)]/[Quadcast Poison 1], [100% Critical 1] and [Buff Poison 30% (5s)] if any enemy has Imperil Poison 0-20%/30-40%/50%+ or is at 200% Poison weakness","Y","Lowest HP% enemy","0","Machinist","31541725"
"Dual Awoken Zephyr Mode I (Terra)","Dual Tornado Blast","BLK","Single enemy","Magical","14.64","Wind, NE","0.01","Six single attacks (2.20/2.34/2.44 each) capped at 19999 scaling with uses","Y","Lowest HP% enemy","0","Black Magic","31541900"
"Chain Force Mode (Terra)","Weaving Bond: Terra (Wind)","BLK","Single enemy","Magical","8.20","Wind, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with uses, grants [Wind Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31541909"
"Dual Awoken Darkness Mode I (Kefka)","Dual Darkness of Judgment","BLK","Single enemy","Magical","16.16","Dark, Poison, NE","0.01","One single attack (16.16) capped at 99999","Y","Lowest HP% enemy","0","Darkness","31541902"
"Chain Force Mode (Shadow)","Guidance of Darkness: Shadow","PHY","Single enemy","Physical","1.32","Dark, NE","0.01","Six single attacks (0.22 each), 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31541911"
"Dual Awoken Water Mode I (Strago)","Dual Tidal Flow","BLK","Single enemy","Magical","16.56","Water, NE","0.01","Six single attacks (2.76 each), grants [Water Ability Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Black Magic","31541915"
"EX: True Form","Storm Hazard","PHY","Single enemy","Physical","-","Wind, NE","0.01","Randomly deals four (50%) or eight (50%) single attacks (0.40 each) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Combat","30544042"
"Darkness Blow Follow-Up","Darkness Blow","PHY","Single enemy","Physical","1.60","Dark, NE","0.01","Four single attacks (0.40 each) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Heavy","30549291"
"Hard Blast Follow-Up","Hard Blast","PHY","Single enemy","Physical","3.00","Wind, NE","0.01","Six single attacks (0.50 each), causes [Imperil Wind 10%] for 15 seconds","Y","Lowest HP% enemy","0","Celerity","30546015"
"Gaia Crusher Follow-Up","Gaia Crusher","PHY","Single enemy","Physical","5.28","Earth, NE","0.01","One single attack (5.28) capped at 99999","Y","Lowest HP% enemy","0","Monk","30548320"
"Turk Pistol Follow-Up","Turk Pistol","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 10%] for 15 seconds","N","Lowest HP% enemy","0","Special","30545067"
"Technical Spark Follow-Up","Technical Spark","PHY","Single enemy","Physical","1.80","Lightning, NE","0.01","Four single attacks (0.40 each), [MAG -50%] for 15 seconds","Y","Lowest HP% enemy","0","Support","30545069"
"Ground Dive Follow-Up","Ground Dive","PHY","Single enemy","Physical","3.68","Dark, NE","0.01","Eight single ranged attacks (0.46 each)","Y","Lowest HP% enemy","0","Sharpshooter","30549174"
"Awoken Savior","Holy Wave","WHT","All allies","","","","0.01","Grants [HP Stock (500/1000/1500/2000/3000)] at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","30542030"
"Fleeting Instant Follow-Up","Fleeting Instant","PHY","Single enemy","Physical","4.60","Water, Earth, NE","0.01","6/8/10 single ranged attacks (0.46 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30549224"
"Dark Ray Follow-Up","Dark Ray","PHY","Single enemy","Physical","1.80","Dark, NE","0.01","One single ranged attack (1.80), causes [Imperil Dark 10%] for 15 seconds","Y","Lowest HP% enemy","0","Sharpshooter","30549175"
"Howling Stone Follow-Up","Howling Stone","BLK","Single enemy","Magical","16.62","Earth, NE","0.01","Six single attacks (2.77 each)","Y","Lowest HP% enemy","0","Black Magic","30541244"
"Torrent Blade Follow-Up","Torrent Blade","PHY","Single enemy","Physical","2.56","Water, NE","0.01","4/6/8 single ranged attacks (0.32 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30549021"
"Awoken Stormborn","Technical Rush","PHY","Single enemy","Physical","4.32","Lightning, NE","0.01","Six single attacks (0.72 each)","Y","Lowest HP% enemy","0","Celerity","30546019"
"Kindling Rage Mode","Flame Bomber","PHY","Single enemy","Physical","7.50","Fire, NE","0.01","Fifteen single ranged attacks (0.50 each), 100% hit rate, removes [Kindling Rage Mode] from the user","Y","Lowest HP% enemy","0","Machinist","30549250"
"Heat Reciter Follow-Up","Heat Reciter","PHY","Single enemy","Physical","1.92","Fire, NE","0.01","Six single ranged attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547031"
"Heaven and Earth Follow-Up","Heaven and Earth","NAT","Single enemy","","","","0.01","Causes [Imperil Earth 10% (15s)], grants [Buff Earth 10% (15s)] to the user","Y","Lowest HP% enemy","0","Ninja","30549320"
"Assassin's Blade Mode","Pyre Flame","PHY","Single enemy","Physical","4.50","Fire, NE","0.01","One single attack (4.50) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","30549216"
"Swirling Storm Follow-Up","Swirling Storm","PHY","Single enemy","Physical","1.92","Wind, NE","0.01","Six single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Celerity","30546113"
"Awoken Fortune-Teller","Lucky Moogle Dance","NAT","All allies","","","","0.01","Randomly grants [HP Stock (1500)] (50%) or [HP Stock (3000)] and smart ether 1 (50%)","N","All allies","0","Dancer","30549143"
"Flight of Intrigue Mode","Rocket Dive","PHY","Single enemy","Physical","6.00","Wind, Fire, NE","0.01","One single ranged attack (6.00) capped at 99999, 100% additional critical chance, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30548318"
"Hell Aero Follow-Up","Hell Aero","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10% (15s)], causes [Imperil Dark 10% (15s)] if Sephiroth is alive","Y","Lowest HP% enemy","0","Celerity","30546029"
"Deeds Not Words Mode","Let's Get to Work (Earth)","NAT","Self","","","","0.01","Grants [Attach Earth], grants [BLK +30% Boost 1]/[BLK +50% Boost 1] if MAG > ATK, otherwise grants [PHY +30% Boost 1]/[PHY +50% Boost 1] if Reno, Elena or Tifa are not alive/alive","Y","Lowest HP% enemy","0","Special","31540178"
"Deeds Not Words Mode","Let's Get to Work (Lightning)","NAT","Self","","","","0.01","Grants [Attach Lightning], grants [BLK +30% Boost 1]/[BLK +50% Boost 1] if MAG > ATK, otherwise grants [PHY +30% Boost 1]/[PHY +50% Boost 1] if Reno, Elena or Tifa are not alive/alive","Y","Lowest HP% enemy","0","Special","31540273"
"Rookie Mode","Turks Flurry","PHY","Single enemy","Physical","2.19","Fire, Lightning, NE","0.01","Three single ranged attacks (0.73 each), causes [Imperil Fire 10% (5s)] and [Imperil Lightning 10% (5s)], 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","31540180"
"Lightning Crash Follow-Up","Lightning Crash","PHY","Single enemy","Physical","3.04","Lightning, NE","0.01","Four single attacks (0.76 each), 100% hit rate, causes [Imperil Lightning 10% (15s)]","Y","Lowest HP% enemy","0","Celerity","31540380"
"Boundless Dreams Follow-Up","Boundless Dreams","PHY","Single enemy","Physical","2.00","Wind, Holy, NE","0.01","Four single attacks (0.50), 100% additional critical chance, 100% hit rate","Y","Lowest HP% enemy","0","Knight","31540494"
"Inner Exaltation Follow-Up","Inner Exaltation","NAT","Single enemy","","","","0.01","Causes [Imperil Earth 10% (15s)], grants [Buff Earth 10% (15s)] to the user","Y","Lowest HP% enemy","0","Ninja","31540707"
"Awoken Chosen One","Mesocyclone","PHY","Single enemy","Physical","4.26","Dark, Fire, NE","0.01","Six single attacks (0.71 each), 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31541157"
"Awoken Ex-SOLDIER","Spin Drive (VII)","PHY","Single enemy","Physical","4.26","Wind, Dark, NE","0.01","Six single attacks (0.71 each), 100% hit rate, grants [Damage Cap +10000 1] to the user every second cast","Y","Lowest HP% enemy","0","Combat","31541174"
"Awoken Tsviets","Stormlance Thrust","PHY","Single enemy","Physical","4.32","Lightning, NE","0.01","One single attack (1.32/2.08/2.80/3.56/4.32) capped at 99999, 100% hit rate, causes [Imperil Lightning 10% (15s)]","Y","Lowest HP% enemy","0","Celerity","31541287"
"Dual Awoken Ninja Mode II (Yuffie - Water)","Dual Freewheeling Eddy","PHY","Single enemy","Physical","4.45","Water, NE","0.01","One single attack (4.45), ignores DEF, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","31541355"
"Dual SOLDIER Mode","Dual Slash Impact","PHY","Single enemy","Physical","4.45","Wind, NE","0.01","One single attack (4.45) capped at 49999/69999/89999 after 1/2/3 uses, ignores DEF, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31541592"
"Dual Awoken Wind Mode II (Zack)","Dual Tornado Down","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10% (5s)], grants [Critical Damage +50% 1] to all allies","N","Lowest HP% enemy","0","Special","31541594"
"Awoken Cetra's Might","Prayer to the Stars","WHT","All allies","","","","0.01","Restores HP (25), smart ether 1 every third cast","N","All allies","0","White Magic","31541549"
"Dual Awoken Fire Mode II (Barret)","Dual Break Cannon","PHY","Single enemy","Physical","1.80","Fire, NE","0.01","Two single ranged attacks (0.90 each), causes [ATK, DEF, MAG, RES and MND -50% (8s)], grants [Quick Cast 1] to all allies","Y","Lowest HP% enemy","0","Machinist","31541544"
"Awoken Platinum Crush","Rock Drive","PHY","Single enemy","Physical","4.32","Earth, NE","0.01","Six single attacks (0.72 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541547"
"Dual Awoken Wind Mode II (Cid (VII))","Dual Wind Jump","PHY","Single enemy","Physical","2.64","Wind, NE","0.01","One single ranged jump attack (2.64) capped at 99999, grants [Buff Wind 10% (15s)] to all allies","Y","Lowest HP% enemy","0","Dragoon","31541697"
"Hot-Blooded Pilot Mode","Aero Down","NAT","Single enemy","","","","0.01","Causes [Imperil Wind 10% (15s)], grants [Buff Wind 10% (15s)] to all allies","N","Lowest HP% enemy","0","Dragoon","31541706"
"Excellent Partner Mode","Charging Bolt","NAT","Single enemy","Hybrid","-","Earth, Lightning, NE","0.01","One single ranged hybrid attack (0.50 or 2.42), grants Professionalism +1 (max 10) to the user","Y","Lowest HP% enemy","0","Monk","31541809"
"Awoken Serious Elite","Sparkshot","PHY","Single enemy","Physical","4.26","Fire, Lightning, NE","0.01","Six single ranged attacks (0.71 each), grants [Buff Fire 10% (15s)] and [Buff Lightning 10% (15s)] to the user every second cast","Y","Lowest HP% enemy","0","Sharpshooter","31541816"
"Awoken Scarlet Worker","Electro-mag Shot","NAT","Single enemy","Hybrid","-","Lightning, NE","0.01","Six single ranged hybrid attacks (0.72 or 2.44 each), 100% hit rate, grants [Lightning Ability +30% Boost 1] to the user every second cast","Y","Lowest HP% enemy","0","Machinist","31541814"
"Dual Awoken Self-Proclaimed SOLDIER Mode I (Cloud)","Dual Darkness Rush","PHY","Single enemy","Physical","2.01","Dark, NE","0.01","Three single attacks (0.67 each), 100% hit rate, grants [Heavy Charge +2] to the user","Y","Lowest HP% enemy","0","Heavy","31541993"
"Chain Force Mode (Cloud)","Bond Guidance: Cloud","PHY","Single enemy","Physical","2.05","Wind, Dark, NE","0.01","One single attack (1.95/2.05) capped at 99999, 100% hit rate, grants [Wind/Dark Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Combat","31542004"
"Dual Awoken Dark Mode I (Rufus)","Dual Dark Shot","PHY","Single enemy","Physical","2.04","Dark, NE","0.01","Two single ranged attacks (1.02 each), 100% hit rate, causes [Imperil Dark 10% (15s)] every second activation, grants [Quick Cast 1] to the user every second activation","Y","Lowest HP% enemy","0","Sharpshooter","31541997"
"Awoken Charismatic Ambition","Critical Ray","PHY","Single enemy","Physical","4.24","Dark, NE","0.01","Eight single ranged attacks (0.53 each), 100% hit rate, 100% additional critical chance","Y","Lowest HP% enemy","0","Sharpshooter","31542000"
"Chain Force Mode (Rufus)","Bond Guidance: Rufus","PHY","Single enemy","Physical","1.28","Dark, NE","0.01","Four single ranged attacks (0.32 each)","Y","Lowest HP% enemy","0","Sharpshooter","31542005"
"Mako Duet Follow-Up","Mako Duet","PHY","Single enemy","Physical","?","Dark, NE","0.01","Four single ranged attacks (0.32 each)","Y","Lowest HP% enemy","0","Sharpshooter","31520066"
"Chain Force Mode (Vincent)","Flame Guidance: Vincent","NAT","Single enemy","Hybrid","-","Fire, NE","0.01","One single ranged hybrid attack (1.95/2.05 or 3.80/4.20) capped at 99999 scaling with uses, 100% hit rate, grants [Fire Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Machinist","31542018"
"EX: SeeD","Shattering Finish","PHY","All enemies","Physical","2.60","Ice, NE","0.01","Four group attacks (0.65 each), 100% hit rate","Y","All enemies","0","Combat","30511677"
"EX: Lion","Renzokuken Ice Fang","PHY","Single enemy","Physical","1.12","Ice, NE","0.01","4/5/6/7/8 single attacks (0.28/0.30/0.32/0.34/0.36 each) scaling with uses, 20/25/30/35/40% additional critical chance","Y","Lowest HP% enemy","0","Spellblade","30547021"
"EX: Heart of the Lion","Renzokuken Fire Fang","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Five single attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547112"
"EX: Chosen Sorceress","Angel Wing Ice Mist","BLK","Single enemy","Magical","8.52","Ice, NE","0.01","2/3/4/5/6 single attacks (1.42 each) at rank 1/2/3/4/5 of the triggering ability","Y","Lowest HP% enemy","0","Black Magic","30541120"
"Fiery Fist Follow-Up","Fiery Fist","PHY","Single enemy","Physical","2.08","Fire, NE","0.01","Four single attacks (0.52 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","30511994"
"Clean Shot Follow-Up","Clean Shot","PHY","Single enemy","Physical","2.40","Fire, NE","0.01","One single ranged attack (2.40), causes [Crushed DEF and RES -70%] for 8 seconds","Y","Lowest HP% enemy","0","Sharpshooter","30549071"
"Slice Follow-Up","Slice","BLK","Single enemy","Magical","-","Wind, NE","0.01","Randomly deals five (40%) or ten (60%) single attacks (1.56 each)","Y","Lowest HP% enemy","0","Black Magic","30541050"
"Stubborn Blade Follow-Up","Stubborn Blade","PHY","Single enemy","Physical","3.68","Dark, Fire, NE","0.01","Eight single ranged attacks (0.46 each)","Y","Lowest HP% enemy","0","Darkness","30549669"
"Icy Apocalypse Follow-up","Icy Apocalypse","BLK","Single enemy","Magical","16.40","Ice, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541321"
"Cruel Blow Follow-up","Cruel Blow","BLK","Single enemy","Magical","16.15","Wind, Dark, NE","0.01","One single attack (16.15) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541351"
"Deblizz Shot Follow-Up","Deblizz Shot","NAT","Single enemy","","","","0.01","Causes [Imperil Ice 10% (15s)]","Y","Lowest HP% enemy","0","Machinist","30549251"
"Thunderous Call Follow-Up","Thunderous Call","NAT","All allies","","","","0.01","Grants [Buff Lightning 10% (15s)]","N","All allies","0","Monk","30548428"
"Ice Stalker Follow-Up","Ice Stalker (Black Magic)","BLK","Single enemy","Magical","4.02","Ice, Dark, NE","0.01","Two single attacks (2.01 each), grants [Magical High Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","30541327"
"Ice Stalker Follow-Up","Ice Stalker (Witch)","BLK","Single enemy","Magical","4.02","Ice, Dark, NE","0.01","Two single attacks (2.01 each), grants [Buff Ice 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","30541328"
"Awoken Dancer","Barrier Dance","NAT","All allies","","","","0.01","Grants [10/15/20/30/40% Damage Reduction Barrier 1] at rank 1/2/3/4/5 of the triggering ability to all allies","Y","All allies","0","Dancer","30549045"
"Retsu Follow-Up","Retsu","BLK","Single enemy","Magical","16.62","Wind, NE","0.01","Six single attacks (2.77 each), grants [Buff Wind 10% (15s)] to all allies","Y","Lowest HP% enemy","0","Black Magic","30541358"
"Angelo Shot Follow-Up","Angelo Shot","BLK","Single enemy","Magical","16.40","Earth, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541246"
"Starforge Mode","Grand Apocalypse","BLK","Single enemy","Magical","27.50","Earth, NE","0.01","Two single attacks (13.75 each) capped at 99999, removes [Starforge Mode] from the user","Y","Lowest HP% enemy","0","Black Magic","30541340"
"Chase Blade Follow-Up","Tsuigekiken Ice Rift","PHY","Single enemy","Physical","3.52","Ice, NE","0.01","One single attack (3.52) capped at 99999, grants [Spellblade High Quick Cast 1] to the user","Y","Lowest HP% enemy","0","Spellblade","30547321"
"Chase Blade Follow-Up","Tsuigekiken Iceberg","PHY","All enemies","Physical","3.20","Ice, NE","0.01","Four group attacks (0.80 each), grants [Spellblade High Quick Cast 1] to the user","Y","All enemies","0","Spellblade","30547322"
"Ice Age Follow-Up","Ice Age","BLK","Single enemy","Magical","16.40","Ice, NE","0.01","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541423"
"Max Pain Follow-Up","Max Pain","PHY","Single enemy","Physical","3.96","Dark, Ice, NE","0.01","Six single attacks (0.66), 100% additional critical chance if Laguna or Ward are alive","Y","Lowest HP% enemy","0","Ninja","30549321"
"Maximum Anchor Follow-Up","Maximum Anchor","PHY","Single enemy","Physical","5.12","Water, Ice, Earth, NE","0.01","One single ranged attack (5.12) capped at 99999, 50% additional critical damage if Laguna or Kiros are alive","Y","Lowest HP% enemy","0","Dragoon","30548316"
"Charismatic Snipe Follow-Up","Charismatic Snipe","PHY","Single enemy","Physical","2.56","Ice, NE","0.01","Eight single ranged attacks (0.32 each), 100% additional critical chance if Kiros or Ward are alive","Y","Lowest HP% enemy","0","Machinist","31540008"
