"Realm","Character","Img","Name","Tier","Effect","Master","Relic","Name (JP)","ID","Anima"
"VII","Red XIII","","Warrior's Talisman","LMR","Grants [Quick Cast], grants [Lingering Spirit] for 25 seconds when HP fall below 20%","MAG +10","Aegis Armlet (VII)","戦士の魔除け","201070504","4"
"VII","Yuffie","","The Elder Ways","-","Increases Water damage dealt by 10%","","-","故郷を想う少女","201070600",""
"VII","Yuffie","","Keen Ninja","-","35% chance to dualcast Ninja abilities","","-","抜け目ない忍者娘","201070601",""
"VII","Yuffie","","Finders Keepers","LMR","25% chance to grant [Physical Blink 1] to the user after using a Ninja ability","ATK +10","Yuffie's Guise (VII)","アタシのもの！","201070602","1"
"VII","Cait Sith","","Felicitous Fortune-teller","-","Reduces damage taken by BLK attacks by 10%","","-","陽気な占い人形","201070700",""
"VII","Cait Sith","","Courage Boost!","-","35% chance to cast an ability (WHT: group, restores HP (25)) after using a Dancer ability","","-","勇気百倍！","201070701",""
"VII","Cait Sith","","Divided Loyalties","LMR","Grants [Quick Cast 3] at the beginning of the battle","MND +10","Cait Sith's Crown (VII)","移ろう救星への想い","201070702","1"
"VII","Cait Sith","","Hastening (Cait Sith)","LMR+","Grants [Quick Cast 3] after using three Dancer/Bard abilities","MND +10","Cait Sith's Cloak (VII)","短縮【ケット・シー】","201070703",""
"VII","Vincent","","Turk Among Turks","-","Increases Fire damage dealt by 10%","","-","タークス・オブ・タークス","201070800",""
"VII","Vincent","","Beast Within","-","Restores HP for 100% of the user's maximum HP and grants [Galian Beast] when HP fall below 20%","","-","獣を宿す者","201070801",""
"VII","Vincent","","Seeing Red","LMR","25% chance to dualcast abilities that deal Fire damage","ATK +5, MAG +5","Vincent's Bandana (DoC) (VII)","赤き決意","201070802","1"
"VII","Vincent","","Beastly Aspect","LMR","Grants [Quick Cast 3] at the beginning of the battle","ATK +5, MAG +5","Gauntlet (VII)","魔獣の因子","201070803","4"
"VII","Zack","","SOLDIER's Honor","-","Celerity abilities deal 15% more damage","","-","ソルジャーの威信","201070900",""
"VII","Zack","","SOLDIER's Swiftness","-","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","","-","ソルジャーの速攻","201070901",""
"VII","Zack","","SOLDIER Follow-Up","LMR","50% chance to cast an ability (PHY: single, 1.08 physical Wind) after using a Celerity ability","ATK +10","Shinra Beta+ (CC) (VII)","ソルジャーの追撃","201070902","1"
"VII","Zack","","SOLDIER Dreams","LMR","25% chance to dualcast abilities that deal Wind damage","ATK +10","Zack's Swim Trunks (CC) (VII)","ソルジャーの夢","201070903","4"
"VII","Sephiroth","","Fallen Hero","-","PHY attacks deal 10% more damage when equipping a katana","","-","堕ちた英雄","201071000",""
"VII","Sephiroth","","Jenova's Echo","-","Restores HP for 100% of the user's maximum HP and grants [Sephiroth Trance] when HP fall below 20%","","-","ジェノバの意思を継ぐ者","201071001",""
"VII","Sephiroth","","Fateful Secret","LMR","Grants [Attach Dark] at the beginning of the battle","ATK +10","Sephiroth's Darkcoat (VII)","運命を変えし秘密","201071002","1"
"VII","Sephiroth","","Apocalyptic Hero","LMR","25% chance to dualcast Darkness abilities","ATK +10","Genji Armor (VII)","凶変の英雄","201071003","4"
"VII","Sephiroth","","Cruelest Cut","LMR","25% chance to dualcast Samurai abilities","ATK +10","Dragon Mail (VII)","凶刃振るいし者","201071004",""
"VII","Cid (VII)","","Captain's Habit","-","Increases Wind damage dealt by 10%","","-","愛煙家の艇長","201071100",""
"VII","Cid (VII)","","Air Supremacy","-","ATK +2% for each hit dealt with PHY attacks that deal Wind damage, up to +50%","","-","空のリーダー","201071101",""
"VII","Cid (VII)","","Champion of the Skies","LMR","Jump attacks deal 20% more damage when equipping a spear","ATK +10","Cid's Jacket (VII)","大空の覇者","201071102","1"
"VII","Cid (VII)","","Spacefarer","LMR","Grants [Haste] and [Instant Cast 1] at the beginning of the battle","ATK +10","Radiant Lance (VII)","宇宙へ旅立った男","201071103","4"
"VII","Reno","","Master of Lightning","-","Increases Lightning damage dealt by 10%","","-","光線の使い手","201071200",""
"VII","Reno","","Finishing Buisness","-","35% chance to dualcast abilities that deal Lightning damage","","-","神速の仕事人","201071201",""
"VII","Reno","","Swaggering Investigator","LMR","Grants [Attach Lightning] at the beginning of the battle","ATK +5, MAG +5","Enhanced Light Rod (VII)","調査課の自負と誇り","201071202","1"
"VII","Rufus","","Shinra's Scion","-","PHY attacks deal 10% more damage when equipping a gun","","-","神羅の御曹司","201071800",""
"VII","Rufus","","Scheming Son","-","30% chance to cause [Imperil Dark 10% (15s)] to the target after using a Dark attack on an enemy","","-","若き策略家","201071801",""
"VII","Rufus","","Titan of Industry","LMR","35% chance to grant [Quick Cast 1] to the user after using a Dark attack","ATK +10","Rufus's Jacket (VII)","世界の代表者","201071802","1"
"VII","Rufus","","Presidential Prerogative","LMR","25% chance to dualcast Dark abilities","ATK +10","Shinra Alpha (VII)","新社長の思惑","201071803","4"
"VII","Shelke","","Crackling Spears","-","Increases Lightning damage dealt by 10%","","-","橙を帯びし二槍","201071900",""
"VII","Shelke","","The Transparent","-","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","","-","無式","201071901",""
"VII","Shelke","","Edge of Eternity","LMR","Increases the duration of stat debuffs by 30%","ATK +10","Slash Lance (DoC) (VII)","時の止まりし戦士","201071902","1"
"VII","Shelke","","Shaper of Fate","LMR","25% chance to dualcast Celerity abilities","ATK +10","Rubber Suit (DoC) (VII)","事象を書き換える者","201071903",""
"VII","Angeal","","1st Uniter","-","PHY attacks deal 10% more damage","","-","1stのまとめ役","201071500",""
"VII","Angeal","","Respected Warrior","-","Restores HP for 100% of the user's maximum HP and grants [Angeal Trance] when HP fall below 20%","","-","敬愛を集めし戦士","201071501",""
"VII","Angeal","","Beating Wings","LMR","25% chance to dualcast abilities that deal Holy or Wind damage","ATK +10","Heavy Lance (CC) (VII)","羽ばたく白き翼","201071502","1"
"VII","Rude","","Humorous Disposition","-","Increases Earth damage dealt by 10%","","-","ユーモラスな性格","201072000",""
"VII","Rude","","Business First","-","35% chance to dualcast abilities that deal Earth damage","","-","不言実行のプロ","201072001",""
"VII","Rude","","Paying Respect","LMR","Grants [Attach Earth] at the beginning of the battle","ATK +5, MAG +5","Shinra Headset (VII)","敵方への恋心","201072002","2"
"VII","Elena","","Clumsy Recruit","-","Increases Fire damage dealt by 10%","","-","うっかりな新人","201072100",""
"VII","Elena","","Hard Worker","-","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","","-","仕事への情熱","201072101",""
"VII","Elena","","Faint Respect","LMR","25% chance to dualcast Sharpshooter abilities","ATK +10","Commander (VII)","主任への淡き想い","201072102","2"
"VII","Genesis","","Rhapsodic Recitation","-","Increases Fire damage dealt by 10%","","-","叙事詩の朗読者","201078000",""
"VII","Genesis","","Project G Creation","-","Restores HP for 100% of the user's maximum HP and grants [Black Flurry Mode] when HP fall below 20%","","-","G細胞を宿す者","201078001",""
"VII","Genesis","","Fierce Opposition","LMR","PHY attacks deal 20% more damage when equipping a sword","ATK +10","Red Glove (CC) (VII)","強き対抗意識","201078002",""
"VIII","Squall","","Heart of the Lion","-","Spellblade abilities deal 15% more damage","","-","雄々しき獅子の心","201080100",""
"VIII","Squall","","Legendary SeeD","-","35% chance to dualcast Spellblade abilities","","-","伝説のSeeD","201080101",""
"VIII","Squall","","Slavering Fangs","LMR","Grants [Attach Ice] at the beginning of the battle","ATK +10","Lion Gloves (VIII)","猛々しき獅子の牙","201080102","1"
"VIII","Squall","","Hidden Charms","LMR","Grants [Attach Fire] at the beginning of the battle","ATK +10","Survival Vest (VIII)","父親譲りのカリスマ性","201080103","4"
"VIII","Squall","","Lion of Battle","LMR","Grants [Quick Cast 3] at the beginning of the battle","ATK +10","Hyperion S (VIII)","戦場を駆ける獅子","201080104","4"
"VIII","Rinoa","","Daring Beauty","-","BLK attacks deal 10% more damage","","-","大胆な美少女","201080200",""
"VIII","Rinoa","","Breaker of the Circle","-","30% chance to grant [Quick Cast 3] to the user after using a BLK attack","","-","悲劇の連鎖を断つ者","201080201",""
"VIII","Rinoa","","Defier of Fate","LMR","MAG +1% for each hit dealt with damaging BLK attacks, up to +20%","MAG +10","Rinoa's Arm Warmers (VIII)","運命に屈せぬ魔女","201080202","1"
"VIII","Rinoa","","Lovestruck Sorceress","LMR","Grants [Attach Earth] at the beginning of the battle","MAG +10","Derringer (VIII)","恋に落ちた魔女","201080203","4"
"VIII","Rinoa","","Daughter of the Resistance","LMR","Grants [Attach Ice] at the beginning of the battle","MAG +10","Wind Slash (VIII)","レジスタンスの姫君","201080204","4"
"VIII","Rinoa","","Witching Wings","LMR","25% chance to dualcast Black Magic abilities","MAG +10","Magic Armlet (VIII)","異形の翼を持つ少女","201080205","4"
"VIII","Rinoa","","Reluctant Successor","LMR","25% chance to dualcast Witch abilities","MAG +10","Witch's Bracelet (VIII)","望まぬ力を受け継ぐ少女","201080206","4"
"VIII","Quistis","","Elementary Lessons","-","Reduces damage taken by BLK attacks by 10%","","-"," 教官の素養 ","201080300",""
"VIII","Quistis","","Elite Instruction","-","Grants [Haste] and [Instant Cast 3] at the beginning of the battle","","-"," 才色兼備なエリート ","201080301",""
"VIII","Quistis","","SeeD Star","LMR","25% chance to dualcast Black Magic abilities","MAG +10","Quistis's Uniform (VIII)","SeeDきっての才媛","201080302","1"
"VIII","Zell","","Combat King Aficionado","-","PHY attacks deal 10% more damage when equipping a fist weapon","","-","格闘王の愛読者","201080400",""
"VIII","Zell","","Singular Reflexes","-","30% chance to grant [Quick Cast 3] to the user after dealing a critical hit","","-","俺式脊髄反射","201080401",""
"VIII","Zell","","Untamed Spirit","LMR","Grants [50% Critical] at the beginning of the battle","ATK +10","Zell's Jacket (VIII)","暴れん坊の気迫","201080402","1"
"VIII","Zell","","Prize Fighter","LMR","25% chance to dualcast Monk abilities","ATK +10","Godhand (VIII)","長けた格闘術","201080403","4"
"VIII","Zell","","Renowned Recklessness","LMR","Grants [Attach Fire] at the beginning of the battle","ATK +10","Power Wrist (VIII)","無鉄砲な人格","201080404",""
"VIII","Selphie","","Certain Smile","-","WHT abilities restore 15% more HP","","-","絶やさぬ笑顔","201080500",""
"VIII","Selphie","","Homesick Heroine","-","35% chance to dualcast White Magic abilities","","-","秘めたる郷土愛","201080501",""
"VIII","Selphie","","SeeD Spirit","LMR","20% chance to grant [Last Stand] to the target after using a single-target White Magic ability that restores HP on an ally","MND +10","Selphie's Guise (VIII)","学園祭への執念","201080502","1"
"VIII","Selphie","","Dream Fulfilled","LMR","25% chance to cast an ability (WHT: group, restores HP (25)) after using a Dancer ability","MND +10","Three-part Staff (VIII)","みんなと約束したステージ","201080503","4"
"VIII","Selphie","","Spirit of Trabia","LMR","MND +1% for each hit dealt with Dancer abilities, up to +25%","MND +10","White Dress (VIII)","トラビアを想う意志","201080504","4"
"VIII","Irvine","","Sincere Sniper","-","PHY attacks deal 10% more damage when equipping a gun","","-","優しき狙撃手","201081200",""
"VIII","Irvine","","Master Marksman","-","30% chance to grant [Quick Cast 3] to the user after using a Sharpshooter or Machinist ability","","-","凄腕の速射術","201081201",""
"VIII","Irvine","","Key to the Past","LMR","20% chance to cause [Imperil Fire 10% (15s)] to the target after using a Sharpshooter or Machinist ability on an enemy","ATK +10","Irvine's Guise (VIII)","過去を知る者","201081202","1"
"VIII","Irvine","","Re-action (Irvine)","LMR+","100% chance to dualcast every third Fire ability","ATK +10","Goggle Mask (VIII)","再動【アーヴァイン】","201081203",""
"VIII","Seifer","","Bad Seed","-","Increases Dark damage dealt by 10%","","-","問題児の暴走","201080700",""
"VIII","Seifer","","Drive to Win","-","Grants [Last Stand] and [Reraise: 40%] at the beginning of the battle","","-","勝利への執念","201080701",""
"VIII","Seifer","","Relentless Assassin","LMR","ATK +3% for each hit taken by damaging attacks, up to +35%","ATK +10","Seifer's Guise (VIII)","執拗なる襲撃者","201080702","1"
"VIII","Seifer","","Moral Tyrant","LMR","Grants [Attach Dark] at the beginning of the battle","ATK +10","Blitz Armor (VIII)","横暴な風紀委員長","201080703","4"
"VIII","Seifer","","Egotistical Dreamer","LMR","25% chance to dualcast Darkness abilities","ATK +10","Ambition Bracer (VIII)","利己的な夢追い人","201080704","4"
"VIII","Laguna","","Aspiring Journalist","-","Machinist abilities deal 15% more damage","","-","ジャーナリスト志望","201080900",""
"VIII","Laguna","","Tactical Gunner","-","35% chance to dualcast Machinist abilities","","-","タクティカルガンナー","201080901",""
"VIII","Laguna","","Splash of Fun","LMR","20% chance to cause [Imperil Ice 10% (15s)] to the target after using a Machinist ability on an enemy","ATK +10","Presidential Casual (VIII)","好漢の茶目っ気","201080902","1"
"VIII","Laguna","","Disarming Smile","LMR","Grants [Attach Ice] at the beginning of the battle","ATK +10","Winchester (VIII)","魅力あふれる好青年","201080903","4"
"VIII","Edea","","Beauty's Tutelage","-","BLK attacks deal 10% more damage","","-","美しき指導者","201081000",""
"VIII","Edea","","Future Secrets","-","MAG +1% for each hit dealt with BLK attacks that deal Ice damage, up to +30%","","-","未来の魔女の秘術","201081001",""
"VIII","Edea","","Overwhelming Power","LMR","35% chance to grant [Quick Cast 1] to the user after using a Ice attack","MAG +10","Sorceress Crown+ (VIII)","巨大なる魔力","201081002","1"
"VIII","Edea","","Succession Broken","LMR","Grants [Attach Ice] at the beginning of the battle","MAG +10","Rod of Darkness (VIII)","呪縛から解き放たれし者","201081003","4"
"VIII","Edea","","Mother Figure","LMR","25% chance to dualcast abilities that deal Ice damage","MAG +10","Edea's Cardinal (VIII)","秘めた母性","201081004","4"
"VIII","Raijin","","Bold Bolt","-","Increases Lightning damage dealt by 10%","","-","豪胆なる雷","201080600",""
"VIII","Raijin","","Test of Bravery","-","ATK +2% for each hit dealt with Monk abilities, up to +50%","","-","豪傑の闘技","201080601",""
"VIII","Raijin","","Thunderous Crescendo","LMR","35% chance to grant [Quick Cast 1] to the user after using a Monk ability","ATK +10","Bolt Armlet (VIII)","轟く豪雷","201080602","1"
"VIII","Raijin","","Bad Crowd","LMR","Grants [Attach Lightning] at the beginning of the battle","ATK +10","Six-fluted Pole (VIII)","問題児への友情","201080603","4"
"VIII","Raijin","","Semper Seifer","LMR","25% chance to dualcast Monk abilities","ATK +10","Metal Gloves (VIII)","オレたちゃサイファー派","201080604",""
"VIII","Fujin","","Biting Winds","-","Increases Wind damage dealt by 10%","","-","鋭利なる風","201081300",""
"VIII","Fujin","","Blistering Speed","-","30% chance to grant [Quick Cast 3] to the user after using a Wind attack","","-","神速の闘法","201081301",""
"VIII","Fujin","","Raging Winds","LMR","Grants [Attach Wind] at the beginning of the battle","MAG +10","Fujin's Bracers (VIII)","猛る烈風","201081302","1"
"VIII","Fujin","","AFFIRMATIVE!","LMR","25% chance to dualcast abilities that deal Wind damage","MAG +10","Platinum Bangle (VIII)","全部肯定！","201081303","4"
"VIII","Fujin","","Onslaught (Fujin)","LMR+","35?% chance to cast an ability (BLK: single, 4x ? magical Wind/NE) after dealing damage with a Wind attack","MAG +10","Sniper (VIII)","遊撃【風神】","201081304",""
"VIII","Ultimecia","","Hubris","-","BLK attacks deal 10% more damage","","-","尊大な態度","201082000",""
"VIII","Ultimecia","","Witch's Wiles","-","35% chance to dualcast abilities that deal Wind damage","","-","妖艶な時の魔女","201082001",""
"VIII","Ultimecia","","Arrogant Ambition","LMR","Grants [Attach Wind] at the beginning of the battle","MAG +10","Harmonia's Guard (VIII)","傲慢な野望","201082002","1"
"VIII","Ultimecia","","Existence Denied","LMR","Grants [Attach Dark] at the beginning of the battle","MAG +10","Judicer's Staff (VIII)","すべての存在の否定","201082003","4"
"VIII","Ultimecia","","Power of Succession","LMR","25% chance to dualcast abilities that deal Dark damage","MAG +10","Lamia's Tiara (VIII)","連鎖する魔女の力","201082004","4"
"VIII","Ultimecia","","Boost (Ultimecia)","LMR+","BLK attacks deal 25% more damage","MAG +10","Celebrant's Miter (VIII)","昇華【アルティミシア】","201082005",""
"VIII","Kiros","","Katar Master","-","PHY attacks deal 10% more damage","","-","カタールの使い手","201081500",""
"VIII","Kiros","","Slim Sidekick","-","35% chance to dualcast abilities that deal Dark or Ice damage","","-","スリムな補佐官","201081501",""
"VIII","Kiros","","Exotic Presence","LMR","20% chance to cause [Imperil Dark 10% (15s)] to the target after using a Ninja or Sharpshooter ability on an enemy","ATK +10","Kiros's Gloves (VIII)","エキゾチックな最年少","201081502",""
"VIII","Kiros","","Subversion (Kiros)","LMR+","Causes [Imperil Ice 10% (15s)] after using three Ice abilities","ATK +10","Dark Claws (VIII)","耐降【キロス】","201081503",""
"VIII","Ward","","Harpoon Master","-","PHY attacks deal 10% more damage","","-","ハープーンの使い手","201081600",""
"VIII","Ward","","Stocky Sidekick","-","35% chance to cast Up a Point after using an ability that deals Water, Ice or Earth damage","","-","重量級の補佐官","201081601",""
"VIII","Ward","","Scarred Soldier","LMR","PHY attacks deal 20% more damage when equipping a hat","ATK +10","Pirate Hat (VIII)","気さくなスカーフェイス","201081602",""
"VIII","Ward","","Echo (Ward)","LMR+","100% chance to dualcast every third Water, Ice or Earth ability","ATK +10","Ward's Guise (VIII)","再動【ウォード】","201081603",""
"IX","Zidane","","Mercurial Thief","-","Increases Wind damage dealt by 10%","","-","風来の盗賊","201090100",""
"IX","Zidane","","World in Red","-","Restores HP for 100% of the user's maximum HP and grants [Zidane Trance] when HP fall below 20%","","-","赤き星の可能性","201090101",""
"IX","Zidane","","Snap Judgment","LMR","35% chance to grant [Quick Cast 1] to the user after using a Thief ability","ATK +10","Zidane's Gloves (IX)","盗賊の即断","201090102","4"
"IX","Zidane","","Thief's Ploy","LMR","25% chance to dualcast abilities that deal Wind damage","ATK +10","Ninja Gear (IX)","盗賊の機転","201090103","1"
"IX","Garnet","","Hidden Lineage","-","SUM attacks deal 10% more damage","","-","秘められた素性","201090200",""
"IX","Garnet","","Doubt Abandoned","-","Restores HP for 100% of the user's maximum HP and grants [Garnet Trance] when HP fall below 20%","","-","迷いを捨てた美姫","201090201",""
"IX","Garnet","","Noble Resolve","LMR","Increases the duration of stat buffs by 30%","MAG +10","Lamia's Tiara (IX)","気高き決意","201090202","1"
"IX","Garnet","","Lover of the Arts","LMR","25% chance to cast an ability (WHT: group, restores HP (25)) after using a Bard ability","MAG +10","Princess Gloves (IX)","演劇を愛する姫","201090203","4"
"IX","Garnet","","Proven Princess","LMR","Grants [Attach Lightning] at the beginning of the battle","MAG +10","Faerie Staff (IX)","試練を越えし姫","201090204","4"
"IX","Garnet","","Your Canary","LMR","Grants [Quick Cast 3] at the beginning of the battle","MAG +10","Mythril Rod (IX)","君の小鳥になりたい","201090205","4"
"IX","Garnet","","Echo (Garnet)","LMR+","100% chance to dualcast every third Summoning ability","MAG +10","Rune Armlet (IX)","再動【ガーネット】","201090206",""
"IX","Vivi","","Spark of Memory","-","Increases Fire damage dealt by 10%","","-","灯りし思い出","201090300",""
"IX","Vivi","","Will to Live","-","Restores HP for 100% of the user's maximum HP and grants [Vivi Trance] when HP fall below 20%","","-","見い出せし生きる意味","201090301",""
"IX","Vivi","","Magic Suffusion","LMR","Cast speed x0.77 for BLK attacks, BLK attacks deal 25% more damage","MAG +10","Vivi's Hat (IX)","蓄積されし魔力","201090302","1"
"IX","Vivi","","Part of the Sky","LMR","Grants [Attach Fire] at the beginning of the battle","MAG +10","Mage's Hat (IX)","空にあずける大切なもの","201090303","4"
"IX","Vivi","","Untapped Power","LMR","Black Magic abilities deal 25% more damage when equipping a rod","MAG +10","Vivi's Glove (IX)","潜在する魔道の力","201090304","4"
"IX","Steiner","","For the Crown","-","PHY attacks deal 10% more damage when equipping a sword","","-","王家に捧げし剣","201090400",""
"IX","Steiner","","Walker of the Path","-","Restores HP for 100% of the user's maximum HP and grants [Steiner Trance] when HP fall below 20%","","-","進むべき真の道","201090401",""
"IX","Steiner","","Opportunity Strikes","LMR","20% chance to cause [Imperil Fire 10% (15s)] to the target after using a Spellblade ability on an enemy","ATK +10","Gold Armor (IX)","創意工夫の魔法剣","201090402","1"
"IX","Steiner","","Loyal Guard","LMR","25% chance to dualcast Spellblade abilities","ATK +10","Golden Helm (IX)","忠実な近衛騎士","201090403","4"
"IX","Steiner","","Honed Judgment","LMR","Spellblade abilities deal 25% more damage when equipping a sword","ATK +10","Blood Sword (IX)","身につけた判断力","201090404","4"
"IX","Freya","","Dragoon's Grace","-","Increases Wind damage dealt by 10%","","-","美しき女竜騎士","201090500",""
"IX","Freya","","Undying Love","-","Restores HP for 100% of the user's maximum HP and grants [Freya Trance] when HP fall below 20%","","-","忘れえぬ愛を抱く者","201090501",""
"IX","Freya","","Devoted Dragoon","LMR","25% chance to cast an ability (PHY: single, 2x 0.54 physical Wind/NE, smart ether 1 to the user) after using a Dragoon ability","ATK +10","Freya's Cap (IX)","精進を怠らぬ騎士","201090502","1"
"IX","Freya","","Woman of Courage","LMR","Grants [Attach Wind] at the beginning of the battle","ATK +10","Obelisk (IX)","勇美なる淑女","201090503","4"
"IX","Freya","","Astounding Leap","LMR","Grants [No Air Time 1] to the user after using a Dancer ability","ATK +10","Ice Lance (IX)","驚異的な跳躍","201090504","4"
"IX","Quina","","Qu Prowess","-","PHY attacks deal 10% more damage when equipping a spear","","-","ク族のたしなみ","201090600",""
"IX","Quina","","Qu Banquet","-","Restores HP for 100% of the user's maximum HP, grants 500 SB points and grants [Quina Trance] when HP fall below 20%","","-","ク族の晩餐","201090601",""
"IX","Quina","","Qu Vigilance","LMR","Grants [Last Stand] and [High Regen] at the beginning of the battle","ATK +10","Silver Fork (IX)","ク族の備え","201090602","1"
"IX","Quina","","Culinary Enlightenment","LMR","Grants [Quick Cast 3] at the beginning of the battle","ATK +10","Quina's Toque Blanche (IX)","飽くなき食探究への道","201090603","4"
"IX","Eiko","","Aspiring Lady","-","WHT abilities restore 15% more HP","","-","レディへの憧れ","201090700",""
"IX","Eiko","","Ward of Madain Sari","-","Restores HP for 100% of the user's maximum HP and grants [Eiko Trance] when HP fall below 20%","","-","マダイン・サリの加護","201090701",""
"IX","Eiko","","Homesick Summoner","LMR","25% chance to dualcast White Magic abilities","MND +10","Eiko's Guise (IX)","故郷に馳せる想い","201090702","1"
"IX","Eiko","","Descendent of Legends","LMR","25% chance to dualcast Summoning abilities","MAG +10","Siren's Flute (IX)","伝説の一族の末裔","201090703","4"
"IX","Eiko","","Smitten Sweetheart","LMR","15% chance to cast an ability (WHT: group, restores HP (25)) after using a Summoning ability","MND +10","Jade Armlet (IX)","恋する乙女","201090704",""
"IX","Amarant","","Speak Softly","-","Increases Fire damage dealt by 10%","","-","寡黙なコワモテ","201090800",""
"IX","Amarant","","Profound Awakening","-","Restores HP for 100% of the user's maximum HP and grants [Amarant Trance] when HP fall below 20%","","-","絆の重みを知った拳闘家 ","201090801",""
"IX","Amarant","","Below-the-Board","LMR","35% chance to grant [Quick Cast 1] to the user after using a Monk ability","ATK +10","Amarant's Suit (IX)","裏稼業の凄腕","201090802","1"
"IX","Amarant","","Stolid Bodyguard","LMR","25% chance to dualcast Monk abilities","ATK +10","Judo Uniform (IX)","クールな用心棒","201090803","4"
"IX","Amarant","","Smoldering Flame","LMR","Grants [Attach Fire] at the beginning of the battle","ATK +10","Twist Headband (IX)","燃えさかる焔髪","201090804",""
"IX","Beatrix","","First Paladin","-","Increases Holy damage dealt by 10%","","-","大陸一の聖騎士","201090900",""
"IX","Beatrix","","Paladin's Purpose","-","35% chance to dualcast Knight abilities","","-","使命に目覚めし聖騎士","201090901",""
"IX","Beatrix","","Undying Loyalty","LMR","30% chance to cover PHY attacks that target allies, reducing damage taken by 20%","ATK +10","Beatrix's Plate (IX)","絶対なる忠誠心","201090902","1"
"IX","Beatrix","","Proud General","LMR","Grants [Attach Holy] at the beginning of the battle","ATK +10","Minerva's Plate (IX)","美しき女将軍","201090903","4"
"IX","Beatrix","","Paladin Paragon","LMR","20% chance to cause [Imperil Holy 10% (15s)] to the target after using a Knight ability on an enemy","ATK +10","Diamond Shield (IX)","誇り高き聖騎士","201090904",""
"IX","Kuja","","King of the Dark City","-","Reduces damage taken by BLK attacks by 10%","","-","眠らない街のキング","201091000",""
"IX","Kuja","","Death Eternal","-","35% chance to dualcast abilities that deal Dark damage","","-","永遠ならざる死神","201091001",""
"IX","Kuja","","Ashen Narcissist","LMR","Grants [Attach Dark] at the beginning of the battle","MAG +10","Chosen of Treno (IX)","無彩色の自己愛","201091002","1"
"IX","Kuja","","Trance (Kuja)","LMR+","Restores HP for 100% of the user's maximum HP and grants [MAG +50%, RES -50% (25s)] and [High Quick Cast (25s)] when HP fall below 20%","MAG +10","Doom Mace (IX)","底力【クジャ】","201091003",""
"IX","Marcus","","Tantalus Stalwart","-","Thief abilities deal 15% more damage","","-","タンタラスの常識人","201091501",""
"IX","Marcus","","In the Shadows","-","35% chance to dualcast Thief abilities","","-","陰の実力者","201091502",""
"IX","Marcus","","Grim Grin","LMR","20% chance to cause [Imperil Wind 10% (15s)] to the target after using a Thief ability on an enemy","ATK +10","Marcus's Armlet (IX)","真面目なコワモテ青年","201091500","1"
"X","Tidus","","Stranger Tides","-","Increases Water damage dealt by 10%","","-","水の異邦人","201100100",""
"X","Tidus","","Dream to End Dreams","-","35% chance to dualcast abilities that deal Water damage","","-","夢を終わらせる夢","201100101",""
"X","Tidus","","Moonflow's Grace","LMR","Grants [Attach Water] at the beginning of the battle","ATK +10","Tidus's Armguards (X)","幻光の加護","201100102","1"
"X","Tidus","","Blitz Basics","LMR","35% chance to grant [Quick Cast 1] to the user after using a Water attack","ATK +10","Sonic Steel (X)","ブリッツの鉄則","201100103","4"
"X","Yuna","","Prayer for Spira","-","WHT abilities restore 15% more HP","","-","スピラに捧ぐ祈り","201100200",""
"X","Yuna","","Father's Footsteps","-","Increases base MAG by 25% base MND","","-","父を超えし大召喚士","201100201",""
"X","Yuna","","Family Tradition","LMR","25% chance to dualcast Summoning abilities","MAG +10","Staff of Thorns (X)","受け継ぎし父の遺志","201100202","4"
"X","Yuna","","Just Whistle","LMR","25% chance to dualcast White Magic abilities","MND +10","Bridal Gown (X)","指笛の約束","201100203","1"
"X","Yuna","","Unfaltering Devotion","LMR","Grants [Attach Holy] at the beginning of the battle","MND +10","Spellslinger (X)","変わらぬ献身","201100204","4"
"X","Wakka","","Everyone's Brother","-","Increases Water damage dealt by 10%","","-","みんなの兄貴","201100300",""
"X","Wakka","","Blitz Spirit","-","30% chance to cause [Imperil Water 10% (15s)] to the target after using a Sharpshooter ability on an enemy","","-","ブリッツに込めた想い","201100301",""
"X","Wakka","","Technical Control","LMR","Increases the duration of stat debuffs by 30%","ATK +10","Cerulean Armguard (X)","テクニカルコントロール","201100302","1"
"X","Wakka","","Victory Awaits","LMR","25% chance to dualcast Sharpshooter abilities","ATK +10","Medical Armguard (X)","目標は優勝","201100303","4"
"X","Lulu","","Witching Ways","-","BLK attacks deal 10% more damage","","-","博識の魔女","201100400",""
"X","Lulu","","Dark Temptation","-","35% chance to dualcast abilities that deal Ice damage","","-","黒魔法の誘惑","201100401",""
"X","Lulu","","Third Pilgrimage","LMR","MAG +1% for each hit dealt with BLK attacks that deal Ice damage, up to +20%","MAG +10","Sapphire Bangle (X)","3度目の旅路","201100402","1"
"X","Lulu","","Depths of Knowledge","LMR","Grants [Attach Ice] at the beginning of the battle","MAG +10","Crimson Bangle (X)","豊富な知識","201100403","4"
"X","Lulu","","Harshest Judge","LMR","Grants [Attach Water] at the beginning of the battle","MAG +10","Guardian Bangle (X)","自責との決着","201100404","4"
"X","Kimahri","","Eye on Victory","-","Increases Water damage dealt by 10%","","-","勝つと決めた","201100500",""
"X","Kimahri","","Hornless Pride","-","45% chance to counter PHY attacks with an ability (NAT: single, causes [Imperil Water 10%] for 15 seconds)","","-","ツノ折れの誇り","201100501",""
