"ID","Common Name","Effects","Default Duration","MND Modifier","Exclusive Status"
"50618","Black Flurry Mode","ATK +30%, 50% chance to dualcast Fire attacks","25","-","-"
"50620","Marine Wave Follow-Up","Casts Marine Wave 1/2 after using 1+2n/2+2n Water attacks","15","-","-"
"50621","Awoken Farseer","Ice and Water abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Ice and Water abilities","15","-","-"
"50622","Azure Arrow Follow-Up","Casts Azure Arrow after using three Ice or Water attacks","15","-","-"
"50623","Respect Point Mode","Cast speed x2.00, grants [Respect Counter Critical]","15","-","-"
"50624","Awoken Legend","Dark and Fire abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Dark and Fire abilities","15","-","-"
"50625","Double Sphere Mode","Grants [Attach Dark] after using a Dark ability, grants [Attach Fire] after using a Fire ability, lasts for 1 turn","15","-","-"
"50626","Deblizz Shot Follow-Up","Casts Deblizz Shot after using 3 Ice attacks","15","-","-"
"50627","Perfection Mode","Grants [Dark Perfection Mode] after using a Dark attack, grants [Fire Perfection Mode] after using a Fire attack","15","-","-"
"50628","Respect Counter Critical","Critical chance =25/50/75/100% after using 1/2/3/4+ Water attacks, removed if the user hasn't Respect Point Mode","-","-","-"
"50629","Speed Professional","Grants [Physical High Quick Cast 1] to all allies in the front row after using a Water attack","15","-","-"
"50630","Surfeit","Grants [Buff Water 10% (15s)] to all allies after using three Water attacks","15","-","-"
"50631","Ice Stalker Follow-Up","Casts Ice Stalker (Black Magic) after using a Black Magic ability, casts Ice Stalker (Witch) after using a Witch ability","15","-","-"
"50632","Thunderous Call Follow-Up","Casts Thunderous Call after using 2 Lightning attacks","15","-","-"
"50633","War of Disguise","DEF and RES -70%","25","-","-"
"50634","Double Crystarium Mode","Grants [Attach Ice] after using an Ice ability, grants [Attach Water] after using a Water ability, lasts for 1 turn","15","-","-"
"50635","Accomplice Follow-Up","Casts Accomplice after using three Water attacks","15","-","-"
"50636","Absorb Mode","Grants 250 SB points after using three Dark attacks, casts Abyssal Sword when removed","15","-","-"
"50637","Vorpal Blade Follow-Up","Grants [40% Damage Reduction Barrier 1] to all allies after using a Knight ability","15","-","-"
"50638","Double Sphere Mode II","Grants [Attach Dark with Stacking]/[Attach Fire with Stacking] after using a Dark/Fire ability, lasts for 1 turn","15","-","-"
"50639","Knight in the Dark Follow-Up","Grants [40% Damage Reduction Barrier 1] to all allies after using a Darkness ability","15","-","-"
"50640","Awoken Judge","Dark abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, casts Echoes of Sin after using a Dark attack","15","-","-"
"50641","50% Damage Reduction Barrier 4","Reduces damage taken by 50% for the next 4 attacks","-","-","-"
"50642","Forbidden Incantation Follow-Up","Casts Forbidden Incantation after using three Dark attacks","15","-","-"
"50644","Alluring Reaper Mode","Cast speed x3.00, grants [Buff Dark 10% (15s)] after using 2 Dark attacks","15","-","-"
"50645","Leviathan's Blessing","Grants [Quick Cast 1] to all allies in the character's row after using a Summoning ability","15","-","-"
"50646","Tsunami (XV) Follow-Up","Casts Tsunami (XV) after using two Summoning abilities","15","-","-"
"50647","Dark Perfection Mode","Cast speed x2.00/2.50/3.00 after using 1/2/3+ Dark attacks, casts Execution Shot (Dark) after using a Dark attack, removed if the user hasn't Perfection Mode","-","-","-"
"50648","Fire Perfection Mode","Critical chance =50/75/100% after using 1/2/3+ Fire attacks, casts Execution Shot (Fire) after using a Fire attack, removed if the user hasn't Perfection Mode","-","-","-"
"50649","General Value v2","Tracks an arbitrary value for given effects","","-","-"
"50650","Awoken Machinist","Machinist abilities don't consume uses, cast speed x2.00/2.25/2.50/2.75/3.00 for Machinist abilities at ability rank 1/2/3/4/5, dualcasts Machinist abilities","15","-","-"
"50651","Change Machinery","Grants [Attach Poison]/[Attach Fire]/[Attach Lightning] after using a Poison/Fire/Lightning ability, lasts for 1 turn","15","-","-"
"50652","Technical Bravo! Follow-Up","Causes [Imperil Poison 10% (15s)]/[Imperil Fire 10% (15s)]/[Imperil Lightning 10% (15s)] after using two Poison/Fire/Lightning attacks","15","-","-"
"50653","Iron Allegiance","Samurai abilities deal 15/30/50% more damage after using 0/1/2 Samurai abilities. Casts Flashfire Slash after using 4 Samurai abilities, removes Iron Allegiance","15","-","-"
"50658","Assassin's Blade Mode","Casts Pyre Flame after using a Fire attack, removed after using three Fire attacks","15","-","-"
"50659","Scorching Shot Follow-Up","Casts Scorching Shot after using two Fire attacks","15","-","-"
"50660","Footwork Mode","Critical chance =100%, cast speed x2.00, casts Streaking Fist after using three Monk attacks, removed if user hasn't any Physical Blink","15","-","-"
"50661","Heaven and Earth Follow-Up","Casts Heaven and Earth after using three Earth attacks","15","-","-"
"50662","Awoken Life","Ice and Lightning abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Ice and Lightning abilities","15","-","-"
"50663","Twin Element Mode (Ice/Lightning)","Grants [Attach Ice] after using a Ice ability, grants [Attach Lightning] after using a Lightning ability, lasts for 1 turn","15","-","-"
"50664","Awoken Flash Water","Water abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, cast speed x9999999 for Water abilities","15","-","-"
"50665","Sunleth Strike Follow-Up","Casts Sunleth Strike (Sharpshooter/Thief) after using a Sharpshooter or Thief ability, casts Sunleth Strike (Dragoon) after using a Dragoon ability","15","-","-"
"50666","Awoken Instructor","Water and Poison abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Water and Poison abilities","15","-","-"
"50667","Water/Poison Switch Draw","Grants [Attach Water] after using a Water ability, grants [Attach Poison] after using a Poison ability, lasts for 1 turn","15","-","-"
"50668","Lesson Time","Grants [40% Damage Reduction Barrier 1] to all allies after using a Water or Poison attack","15","-","-"
"50669","Chain Materia Mode II (Water/Earth)","Grants [Attach Water with Stacking]/[Attach Earth with Stacking] after using a Water/Earth ability, lasts for 1 turn","15","-","-"
"50670","Twin Jewel Mode II (Ice/Lightning)","Grants [Attach Ice with Stacking]/[Attach Lightning with Stacking] after using a Ice/Lightning ability, lasts for 1 turn","15","-","-"
"50671","Awoken Cry","White Magic abilities don't consume uses, cast speed x3.00 for White Magic abilities, grants [HP Stock (500)]/[HP Stock (1000)]/[HP Stock (1500)]/[HP Stock (2000)]/[HP Stock (3000)] to all allies after using White Magic abilities at rank 1/2/3/4/5","15","-","-"
"50672","Flame Dance Follow-Up","Casts Flame Dance after using two Fire attacks","15","-","-"
"50673","Rapid Heartbeat Mode","Cast speed x9999999, Monk attacks grant 25% more SB points, lasts for 3 turns","-","-","-"
"50674","Crimson Wildfire Follow-Up","Casts Crimson Wildfire after using two Fire attacks","15","-","-"
"50675","Double Crystarium Mode II","Grants [Attach Ice with Stacking]/[Attach Water with Stacking] after using a Ice/Water ability, lasts for 1 turn","15","-","-"
"50677","Spellblade Assault Mode","Grants [Attach Fire with Stacking]/[Attach Lightning with Stacking]/[Attach Ice with Stacking] after using a Fire/Lightning/Ice ability, lasts for 1 turn","15","-","-"
"50678","Prepare to Charge","After using two Fire/Lightning/Ice Spellblade abilities, grants [Attach Fire]/[Attach Lightning]/[Attach Ice] if the triggering ability deals Fire/Lightning/Ice damage","15","-","-"
"50679","Awoken Frog-Catcher","Support abilities don't consume uses, cast speed x3.00 for Support abilities, restores 1000 HP to the user after using Support abilities","15","-","-"
"50680","Gold Frog Follow-Up","Grants [100% Critical 1] and [Critical Damage +50% 1] to all allies and casts Frog Stomp after using three Support abilities","15","-","-"
"50681","Power Throw Counter Mode","Grants [Overflow Fire Radiant Shield: 125%]/[Overflow Fire Radiant Shield: 200%]/[Overflow Fire Radiant Shield: 300%] after using 1/2/3+ Fire attacks","15","-","-"
"50682","Chase Blade Follow-Up","After using two of either Renzokuken Ice Strike/Renzokuken Ice Wave, casts Tsuigekiken Ice Rift/Tsuigekiken Iceberg if the triggering ability is Renzokuken Ice Strike/Renzokuken Ice Wave","15","-","-"
"50683","Ice Age Follow-Up","Casts Ice Age after using three Ice attacks","15","-","-"
"50684","Max Pain Follow-Up","Casts Max Pain after using two Dark or Ice attacks","15","-","-"
"50685","Dark/Ice Switch Draw Mode","Grants [Attach Dark] after using a Dark ability, grants [Attach Ice] after using an Ice ability, lasts for 1 turn","-","-","-"
"50686","Awoken Laguna Mania","Dark and Ice abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Dark and Ice abilities","15","-","-"
"50687","Awoken Laguna Freak","Water, Ice and Earth abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Water, Ice and Earth abilities","15","-","-"
"50688","Career Change Mode","Grants [Attach Water] after using a Water ability, grants [Attach Ice] after using an Ice ability, grants [Attach Earth] after using an Earth ability, lasts for 1 turn","-","-","-"
"50689","Maximum Anchor Follow-Up","Casts Maximum Anchor after using three Water, Ice or Earth attacks","15","-","-"
"50690","Switch Draw Mode II (Dark/Ice)","Grants [Attach Dark with Stacking]/[Attach Ice with Stacking] after using a Dark/Ice ability, lasts for 1 turn","-","-","-"
"50691","Katar Flurry","Grants [Quick Cast 1] to all allies in the character's row after using a Dark or Ice attack","15","-","-"
"50692","Career Change Mode II","Grants [Attach Water with Stacking]/[Attach Ice with Stacking]/[Attach Earth with Stacking] after using a Water/Ice/Earth ability, lasts for 1 turn","-","-","-"
"50693","Status Level in Synchro Mode","Sets a general status value to a certain value when entering Synchro Mode, all levels are removed if user hasn't Synchro Mode","-","-","-"
"50694 ","Increase Status Level","Increases status level depending on coded effects","-","-","-"
"50695","Decrease Status Level","Decreases status level depending on coded effects","-","-","-"
"50696","Set Status Level","Sets status level depending on coded effects","-","-","-"
"50698","Awoken Cornelian Princess","White Magic and Bard abilities don't consume uses, cast speed x3.00 for White Magic and Bard abilities, casts Healing Voice after using a White Magic or Bard ability","15","-","-"
"50699","Quartz Eye Mode II","Grants [Attach Fire with Stacking]/[Attach Ice with Stacking]/[Attach Lightning with Stacking] after using a Fire/Ice/Lightning ability, lasts for 1 turn","-","-","-"
"506","Defend","Reduces all damage taken by 50%, removed upon taking any action","-","-","-"
"507","Disable","","-","-","-"
"50700","Quartz Eye Follow-Up","After using two Fire/Ice/Lightning Witch abilities, grants [Attach Fire]/[Attach Ice]/[Attach Lightning] if the triggering ability deals Fire/Ice/Lightning damage","15","-","-"
"50701","Twin Element Mode (Thief (I))","Grants [Attach Wind] after using a Wind ability, grants [Attach Poison] after using an Poison ability, lasts for 1 turn","-","-","-"
"50702","Awoken Rogue","Thief and Celerity abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Thief and Celerity abilities","15","-","-"
"50703","Stealthy Prowl Follow-Up","Casts Stealthy Prowl after using two Thief or Celerity abilities","15","-","-"
"50704","Rousing Charge Mode","Grants [Attach Earth] after using a Earth ability, grants [Attach Fire] after using a Fire ability, grants [Attach Lightning] after using a Lightning ability, lasts for 1 turn","-","-","-"
"50705","Rousing Rush Mode","ATK +50%, DEF and RES -30%, 50% chance to dualcast Monk abilities","15","-","-"
"50706","Quartz Eye Mode","Grants [Attach Fire] after using a Fire ability, grants [Attach Ice] after using an Ice ability, grants [Attach Lightning] after using an Lightning ability, lasts for 1 turn","-","-","-"
"50710","Gear Storm Follow-Up","Casts Gear Storm after using a Wind or Poison attack","15","-","-"
"50711","Rousing Charge Mode II","Grants [Attach Earth with Stacking]/[Attach Fire with Stacking]/[Attach Lightning with Stacking] after using a Earth/Fire/Lightning ability, lasts for 1 turn","-","-","-"
"50714","Love Barrier Follow-Up","Casts Love Barrier after using three of Achromatic Blade and/or Azure Arc Blade","15","-","-"
"50715","Explosive Fury Mode","Cast speed x2.00, increases Ice damage dealt by 30%, casts Beat Down after using five Ice attacks","15","-","-"
"50716","Protean Mode","Grants [Attach Fire] after using a Fire ability, grants [Attach Ice] after using an Ice ability, grants [Attach Wind] after using a Wind ability, grants [Attach Earth] after using an Earth ability, lasts for 1 turn","-","-","-"
"50717","Random Bet Follow-Up","Casts Random Bet after using two Support or Sharpshooter abilities","15","-","-"
"50718","Protean Mode II","Grants [Attach Fire with Stacking]/[Attach Ice with Stacking]/[Attach Wind with Stacking]/[Attach Earth with Stacking] after using a Fire/Ice/Wind/Earth ability, lasts for 1 turn","-","-","-"
"50719","Awoken Gambler","Sharpshooter and Support abilities don't consume uses, cast speed x3.00 for Sharpshooter and Support abilities, casts Double Down after using a Sharpshooter or Support ability","15","-","-"
"50720","Awoken Fortune-Teller","Dancer and Bard abilities don't consume uses, cast speed x2.00/2.25/2.50/2.75/3.00 for Dancer and Bard abilities at ability rank 1/2/3/4/5, casts Lucky Moogle Dance after using a Dancer or Bard ability","15","-","-"
"50721","Awoken Pride","Wind and Holy abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Wind and Holy abilities","15","-","-"
"50722","Linked Materia Mode (Wind/Holy)","Grants [Attach Wind] after using a Wind ability, grants [Attach Holy] after using an Holy ability, lasts for 1 turn","-","-","-"
"50723","Dreams and Dignity","Grants [40% Damage Reduction Barrier 1] to all allies after using a Wind or Holy ability","15","-","-"
"50724","Dream of Space","Grants [Dragoon +30% Boost 1] to all allies in the character's row after using a Dragoon ability","15","-","-"
"50725","Flight of Intrigue Mode","Casts Rocket Dive after using four Wind attacks","15","-","-"
"50726","Phantom Flame Mode","Increases Phantom Flame level by 1 when using Tricky Flame, decreases Phantom Flame level by 1 when using Glide Flame, removed if user hasn't Synchro Mode","-","-","-"
"50727","Hunter's Edge Counter","Keeps track of the number of uses of Hunter's Edge, removed if user hasn't Synchro Mode","-","-","-"
"50728","Lazy Mirage Follow-Up","Grants [Physical High Quick Cast 1] to all allies in the front row after using a Wind attack","15","-","-"
"50729","Swirling Storm Follow-Up","Casts Swirling Storm after using a Wind attack","15","-","-"
"50730","Items +1","Increases Items level by 1 after using Potato Masher, removed if user hasn't Synchro Mode","-","-","-"
"50731","Chilling Lash Follow-Up","Casts Chilling Lash after using two Ice attacks","15","-","-"
"50732","Greased Trigger Mode","Casts Critical Enfilade after using three Lightning attacks","15","-","-"
"50733","Awoken Engineer","Machinist abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Machinist abilities","15","-","-"
"50734","Tri-Element Transition Mode","Grants [Attach Fire] after using a Fire ability, grants [Attach Ice] after using an Ice ability, grants [Attach Lightning] after using a Lightning ability, lasts for 1 turn","15","-","-"
"50735","Dark Armor Mode","Cast speed x2.00, Dark attacks grant 25% more SB points, casts Phantom Soul after using three Dark attacks, removed if user hasn't any Stoneskin","-","-","-"
"50736","Dark Meteor Follow-Up","Casts Dark Meteor after using two Dark attacks","15","-","-"
"50737","Awoken Highborn","Holy abilities don't consume uses, dualcasts Holy abilities, grants [10% Damage Reduction Barrier 1]/[15% Damage Reduction Barrier 1]/[20% Damage Reduction Barrier 1]/[30% Damage Reduction Barrier 1]/[40% Damage Reduction Barrier 1] to all allies after using a Holy ability at ability rank 1/2/3/4/5","15","-","-"
"50740","Linked Materia Mode II (Wind/Holy)","Grants [Attach Wind with Stacking]/[Attach Holy with Stacking] after using a Wind/Holy ability, lasts for 1 turn","-","-","-"
"50741","Shadowhound Mode","Casts Midnight Passage when any Damage Reduction Barrier is removed, removed after triggering five times","15","-","-"
"50742","Master Assassin Follow-Up","Casts Master Assassin after using two Dark attacks","15","-","-"
"50743","Sinister Incursion Follow-Up","Casts Sinister Incursion 1/2 after using 1+2n/2+2n Dark attacks","15","-","-"
"50744","Awoken Shroud","Dark abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, cast speed x9999999 for Dark abilities","15","-","-"
"50745","Tyrant Mode","Grants [Attach Earth with Stacking]/[Attach Wind with Stacking]/[Attach Dark with Stacking] after using a Earth/Wind/Dark ability, lasts for 1 turn","-","-","-"
"50746","Hour of Execution Follow-Up","Casts Hour of Execution after using two Dark attacks","15","-","-"
"50747","Judgment Mode","Grants [Overflow Holy Radiant Shield: 125%]/[Overflow Holy Radiant Shield: 200%]/[Overflow Holy Radiant Shield: 300%] after using 1/2/3+ Holy attacks","15","-","-"
"50748","Resourceful Strike Follow-Up","Casts Resourceful Strike after using two Dark attacks","15","-","-"
"50749","Awoken Father","Machinist and Support abilities don't consume uses, cast speed x3.00 for Machinist and Support abilities, grants [40% Damage Reduction Barrier 1] after using a Machinist or Support ability","15","-","-"
"50750","Exertion Mode","Dualcasts Machinist abilities, casts Tether's End after using three Machinist or Support abilities","15","-","-"
"50751","Bye Bye! Follow-Up","Casts Bye Bye! after using a Machinist attack","15","-","-"
"50752","Unwavering Justice Follow-Up","Casts Unwavering Justice after using four Holy attacks","15","-","-"
"50753","Saintly Judgment Blade Follow-Up","After using Saintly Swordplay two times, grants [Instant Cast 1], grants [Instant ATB 1] if the user has Thunder God's Might, removes Thunder God's Might","15","-","-"
"50754","Holy Combo Follow-Up","Grants [Physical High Quick Cast 1] to all allies in the front row after using a Knight ability","15","-","-"
"50755","Twin Element Mode III (Exdeath)","Grants [Attach Dark 2 with Stacking]/[Attach Holy 2 with Stacking] after using a Dark/Holy ability, lasts for 1 turn","-","-","-"
"50756","Ravenous Void Mode","Casts Space Debris after using three Dark or Holy attacks","15","-","-"
"50757","Sword Saint Shutdown Mode","Grants [Attach Holy] after using a Holy ability, grants [Attach Dark] after using a Dark ability, grants [Attach Earth] after using a Earth ability, lasts for 1 turn","-","-","-"
"50758","Awoken Darkwood","Dark and Holy abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Dark and Holy abilities","15","-","-"
"50759","Twin Element Mode (Exdeath)","Grants [Attach Dark] after using a Dark ability, grants [Attach Holy] after using an Holy ability, lasts for 1 turn","-","-","-"
"50760","Emptiness Break","Grants [40% Damage Reduction Barrier 1] to all allies after using a Dark or Holy ability","15","-","-"
"50761","True Friends Mode","Casts Later! after using three Fire abilities","15","-","-"
"50762","Awoken Successor","Fire and Earth abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Fire and Earth abilities","15","-","-"
"50763","Twin Element Mode (Fire/Earth)","Grants [Attach Fire] after using a Fire ability, grants [Attach Earth] after using an Earth ability, lasts for 1 turn","-","-","-"
"50764","Beast Parade","Grants [40% Damage Reduction Barrier 1] to all allies after using a Fire or Earth ability","15","-","-"
"50765","Twin Element Mode II (Exdeath)","Grants [Attach Dark with Stacking]/[Attach Holy with Stacking] after using a Dark/Holy ability, lasts for 1 turn","-","-","-"
"50766","Twin Element Mode II (Fire/Earth)","Grants [Attach Fire with Stacking]/[Attach Earth with Stacking] after using a Fire/Earth ability, lasts for 1 turn","-","-","-"
"50767","Sacred Edge Follow-Up","Casts Sacred Edge 1 after using Mighty Force, casts Sacred Edge 2 after using Healing Force","15","-","-"
"50768","Holy XCIX Follow-Up","Grants [Buff Holy 20% (15s)] to the user after using two Holy attacks","15","-","-"
"50769","Awoken Bard","Bard abilities don't consume uses, cast speed x2.00/2.25/2.50/2.75/3.00 for Bard abilities at ability rank 1/2/3/4/5, dualcasts Bard abilities","15","-","-"
"50770","200% ATB 1","Increase ATB charge speed by x2.00, lasts for 1 turn","-","-","-"
"50771","Twin Element Mode (Holy/Fire)","Grants [Attach Holy] after using a Holy ability, grants [Attach Fire] after using an Fire ability, lasts for 1 turn","-","-","-"
"50772","Awoken Dalmascan Captain","Holy and Fire abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Holy and Fire abilities","15","-","-"
"50773","Breaker Knight Follow-Up","Casts Destructive Slash after using two Holy or Fire attacks","15","-","-"
"50774","Divine Will Mode","ATK, DEF, MAG, RES, MND, ACC and EVA +20%, 50% chance to dualcast White Magic abilities","25","-","-"
"50775","Twin Element Mode II (Holy/Fire)","Grants [Attach Holy with Stacking]/[Attach Fire with Stacking] after using a Holy/Fire ability, lasts for 1 turn","-","-","-"
"50776","Drain Blade Follow-Up","Casts Drain Blade 1/2/3 after using two Dark abilities if the user's HP are at least 100/80/0%","15","-","-"
"50777","Shadow Chaser Follow-Up","Casts Shadow Chaser after using Shadow Drive, removed if user hasn't Synchro Mode","-","-","-"
"50778","Soul Break Gauge -250","Removes 250 SB points when set","-","-","-"
"50779","Awoken White Magic","White Magic abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts White Magic abilities","15","-","-"
"50780","Path of Might","Grants [Dualcast Monk 1] to the user after using two Monk attacks","15","-","-"
"50781","Awoken Sovereign","Support abilities don't consume uses, cast speed x2.00/2.25/2.50/2.75/3.00 for Support abilities at ability rank 1/2/3/4/5, grants [Physical Blink 1] and [Magical Blink 1] to all allies after using two Support abilities","15","-","-"
"50782","Lifelong Devotion Follow-Up","Casts Lifelong Devotion after using two Spellblade abilities","15","-","-"
"50783","Knightslayer Mode","Removed when HP fall below 20%, casts Climb Break when removed","15","-","-"
"50784","Awoken Vision","White Magic and Summoning abilities don't consume uses, cast speed x3.00 for White Magic and Summoning abilities, grants [HP Stock (500)]/[HP Stock (1000)]/[HP Stock (1500)]/[HP Stock (2000)]/[HP Stock (3000)] to all allies after using White Magic or Summoning abilities at rank 1/2/3/4/5","15","-","-"
"50785","Awoken Brilliance","Dancer and Bard abilities don't consume uses, cast speed x3.00 for Dancer and Bard abilities, grants [10% Damage Reduction Barrier 1]/[15% Damage Reduction Barrier 1]/[20% Damage Reduction Barrier 1]/[30% Damage Reduction Barrier 1]/[40% Damage Reduction Barrier 1] to all allies after using Dancer or Bard abilities at rank 1/2/3/4/5","15","-","-"
"50786","Beloved Homeland Follow-Up","Casts Lost Nation after using a Support ability, casts Beloved Homeland after using a Support ability","15","-","-"
"50787","Awoken Tantalus","Wind and Poison abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Wind and Poison abilities","15","-","-"
"50788","Twin Element Mode (Wind/Poison)","Grants [Attach Wind] after using a Wind ability, grants [Attach Poison] after using an Poison ability, lasts for 1 turn","-","-","-"
"50789","Twin Element Mode II (Wind/Poison)","Grants [Attach Wind with Stacking]/[Attach Poison with Stacking] after using a Wind/Poison ability, lasts for 1 turn","-","-","-"
"50790","White Magic Heals +30% Boost 1","Increases healing done by White Magic abilities by 30%, lasts for 1 turn","-","-","-"
"50791","Damage Cap +80000 1","Increases the damage cap by 80000, lasts for 1 turn","-","-","-"
"50792","200% ATB (Synchro)","Increase ATB charge speed by x2.00, removed if user hasn't Synchro Mode","-","-","125% ATB (Synchro)"
"50793","Awoken Dual Job","White Magic and Dancer abilities don't consume uses, dualcasts White Magic and Dancer abilities, grants [HP Stock (500)]/[HP Stock (1000)]/[HP Stock (1500)]/[HP Stock (2000)]/[HP Stock (3000)] to all allies after using White Magic and Dancer abilities at rank 1/2/3/4/5","15","-","-"
"50794","Final Recipe Mode","Fire abilities deal 30% more damage, cast speed x9999999 for Fire abilities, damages the user for 25% max HP after using Fire abilities","15","-","-"
"50795","Umbral Freeze Follow-Up","Grants [Instant Cast 1] and [Ice +50% Boost 1] to the user after using two Summoning abilities","15","-","-"
"50796","Scion Thaumaturge Mode","Grants [Fire +30% Boost 1]/[Fire +40% Boost 1]/[Fire +50% Boost 1] to all allies after using 2/4/6 Fire abilities","15","-","-"
"50797","Ethereal Bond Follow-Up","Grants [Attach Wind] after using Transient Wind or Relentless Wind three times","15","-","-"
"50799","Warrior's Fate Mode","Casts Blast of Light after Dual Blink 1 or Dual Blink 2 is removed, removed after triggering twice","15","-","-"
"508","Retaliate","Can't be hit by PHY attacks, counters PHY attacks with Attack","15","-","-"
"50800","Awoken Cosmic Warrior","Earth and Holy abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, dualcasts Earth and Holy abilities","15","-","-"
"50801","Twin Element Mode (Earth/Holy)","Grants [Attach Earth] after using a Earth ability, grants [Attach Holy] after using an Holy ability, lasts for 1 turn","-","-","-"
"50802","Awoken Fickle Faerie","Black Magic and Dancer abilities don't consume uses, cast speed x3.00 for Black Magic and Dancer abilities, grants [HP Stock (1500)] to all allies after using Black Magic or Dancer abilities","15","-","-"
"50803","Fickle Aid Follow-Up","Grants [Weakness +50% Boost 1] to all allies after using two Black Magic or Dancer abilities","15","-","-"
"50804","Twin Element Mode II (Earth/Holy)","Grants [Attach Earth with Stacking]/[Attach Holy with Stacking] after using a Earth/Holy ability, lasts for 1 turn","-","-","-"
"50805","Timely Encore Follow-Up","Casts Timely Encore after using two Black Magic or Dancer abilities","15","-","-"
"50806","Twin Element Mode II (Wind/Fire)","Grants [Attach Wind with Stacking]/[Attach Fire with Stacking] after using a Wind/Fire ability, lasts for 1 turn","-","-","-"
"50807","??? Counter","?","-","-","-"
"50808","Fated Burn Finisher","Casts Fated Burn when removed, removed if user hasn't Awoken Fire","-","-","-"
"50809","Triple Raining Arrows Follow-Up","Casts Fire Shield/Freeze Arrow/Rain Shot after using Fire/Ice/Water Sharpshooter abilities","15","-","-"
"50810","Awoken Archer","Sharpshooter abilities don't consume uses and deal 5/10/15/20/30% more damage at ability rank 1/2/3/4/5, cast speed x9999999 for Sharpshooter abilities","15","-","-"
"50811","Tri-Element Mode (Fire/Ice/Water)","Grants [Attach Fire] after using a Fire ability, grants [Attach Ice] after using an Ice ability, grants [Attach Water] after using an Water ability, lasts for 1 turn","-","-","-"
"50812","Rugged Bond Mode","Casts Safety Strike when any Damage Reduction Barrier is removed, removed after Safety Strike is cast three times","15","-","-"
"50813","Unmatched Fury Mode","Critical hits deal 50% more damage (additive with the base critical coefficient), casts Dawning Ignorance after using two Fire abilities, removed if user hasn't any Stoneskin","-","-","-"
"50814","Tri-Element Mode II (Fire/Ice/Water)","Grants [Attach Fire with Stacking]/[Attach Ice with Stacking]/[Attach Water with Stacking] after using a Fire/Ice/Water ability, lasts for 1 turn","-","-","-"
"50815","Assault Deck Follow-Up","Grants [200% ATB 1] after using Flare BOM or Split Card if the user has any Physical Blink","15","-","-"
"50816","Graceful Influence Follow-Up","Grants [Attach Holy] and [Buff Holy 10% (15s)] to the user after using two Holy abilities","15","-","-"
"50817","Beloved Homeland Counter","Keeps track of the number of casts of Lost Nation","-","-","-"
"50819","Goddess Archer","Modifies behavior of Etro Shot, removed when user hasn't Synchro Mode","-","-","-"
"50820","Damage Cap +10000 1","Increases the damage/healing cap by 10000, lasts for 1 turn","-","-","-"
"50821","40% Damage Reduction Barrier 3","Reduces damage taken by 40% for the next three attacks","-","-","-"
"50822","Avenging Fist Follow-Up","Casts Avenging Fist when any Damage Reduction Barrier is removed","15","-","-"
"50823","Escort Mode","Restores 1500 HP and grants [40% Damage Reduction Barrier 1] to all allies when any Damage Reduction Barrier is removed, removed after triggering four times","15","-","-"
"50824","Awoken Shadow Ninja","Celerity, Support and Ninja abilities don't consume uses, cast speed x2.00/2.25/2.50/2.75/3.00 for Celerity, Support and Ninja abilities at ability rank 1/2/3/4/5, casts Unleashed Power after using Celerity, Support and Ninja abilities","15","-","-"
"50825","Blacksmith's Daughter Follow-Up","Casts Fist of Kazus after using a Fire ability","15","-","-"
"50826","Explosive Palm","Grants [Attach Fire] after using two Fire abilities","15","-","-"
"50827","Quad Element Mode II (Wind/Water/Fire/Earth)","Grants [Attach Wind with Stacking]/[Attach Water with Stacking]/[Attach Fire with Stacking]/[Attach Earth with Stacking] after using a Wind/Water/Fire/Earth ability, lasts for 1 turn","-","-","-"
"50828","Blaze Rush Counter","Keeps track of the number of uses of Blaze Rush","-","-","-"
"50830","Eternal Vow Mode","Grants [50% Damage Reduction Barrier 3] to the user and Serah, if in the party, after using an Ice ability, removes Eternal Vow Mode","15","-","-"
