"Character","Source","Name","Synchro Ability Slot","Synchro Condition","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","Synchro Condition ID"
"Rufus","President's Authority","Mako Shot","1","Dark","PHY","Single enemy","Physical","7.04","Dark, NE","1.65","Eight single ranged attacks (0.88 each) if the user has Mako Round level 1+, causes [Imperil Dark 10% (5s)] if the user has Mako Round level 1+, one single ranged attack (0.90) if the user has Mako Round level 0, causes Mako Round -1 to the user","Y","Lowest HP% enemy","90","Sharpshooter","魔晄ショット","31540416","107"
"Rufus","President's Authority","Mako Reload","2","Dark","NAT","Self","","","","0.01","Grants [High Quick Cast 2] and Mako Round +2 (max 4)","N","Self","70","Sharpshooter","魔晄リロード","31540417","107"
"Squall","Cross Your Heart","Renzokuken Ice Strike","1","Ice","PHY","Single enemy","Physical","5.40","Ice, NE","1.65","Six single attacks (0.90 each), grants [Spellblade +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Spellblade","連続剣・氷斬","30547229","101"
"Squall","Cross Your Heart","Renzokuken Ice Wave","2","Ice","PHY","All enemies","Physical","2.28","Ice, NE","1.65","Three group attacks (0.76 each), grants [Spellblade +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Spellblade","連続剣・氷波","30547320","101"
"Squall","Fated Flame","Extended Renzokuken","1","Fire","PHY","Single enemy","Physical","7.50","Fire, NE","1.65","6/10 single attacks (0.90/0.75 each) if user has Red Aura level 0/1, grants [Instant Cast 1] if user has Red Aura level 1, causes Red Aura -1 to the user","Y","Lowest HP% enemy","90","Spellblade","連続剣エクステンド","31540002","100"
"Squall","Fated Flame","Dividing Blaze","2","Fire","PHY","Single enemy","Physical","2.70","Fire, NE","1.65","Three single attacks (0.90 each), grants [Fire Ability +50% Boost 1] and Red Aura +1 (max 1) to the user","Y","Lowest HP% enemy","90","Spellblade","ブレイズディバイド","31540003","100"
"Squall","Gunblade Burst","Renzokuken Searing Cold","1","Spellblade","PHY","Single enemy","Physical","7.20","Ice, Fire, NE","1.65","5/6/7/8 single attacks (0.90 each) if the user has Remodel Weapon level 0/1/2/3","Y","Lowest HP% enemy","90","Spellblade","連続剣・氷炎","31540903","4"
"Squall","Gunblade Burst","Remodel Weapon","2","Spellblade","PHY","Single enemy","Physical","2.40","Ice, Fire, NE","0.01","Three single attacks (0.80 each), grants Remodel Weapon +1 to the user","Y","Lowest HP% enemy","60","Spellblade","リボルバーカスタム","31540904","4"
"Rinoa","Angel Wing Firmament","Truespell Earthfall","1","Earth","BLK","Single enemy","Magical","18.30","Earth, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","真の魔法・崩塊","30541247","103"
"Rinoa","Angel Wing Firmament","Truespell Clinkstone","2","Earth","BLK","Single enemy","Magical","9.15","Earth, NE","1.65","Three single attacks (3.05 each), grants [Earth Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Black Magic","真の魔法・響岩","30541248","103"
"Rinoa","Angel Wing Cross","Truespell Chillfrost","1","Ice","BLK","Single enemy","Magical","18.30","Ice, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Witch","真の魔法・氷凛","30541421","101"
"Rinoa","Angel Wing Cross","Truespell Icefury","2","Ice","BLK","Single enemy","Magical","9.15","Ice, NE","1.65","Three single attacks (3.05 each), grants [Ice Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Witch","真の魔法・氷威","30541422","101"
"Rinoa","Angel Apocalypse","Truespell Frostgrace","1","Ice","BLK","Single enemy","Magical","19.20","Ice, NE","1.65","Six single attacks (2.90 each), 3.20 multiplier if exploiting Ice weakness","Y","Lowest HP% enemy","90","Black Magic","真の魔法・氷雅","31540965","101"
"Rinoa","Angel Apocalypse","Truespell Icerend","2","Ice","BLK","Single enemy","Magical","16.40","Ice, NE","1.65","One single attack (16.40) capped at 99999, grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Black Magic","真の魔法・氷裂","31540966","101"
"Ultimecia","Shockwave Pulsar","Winds of Armageddon","1","Wind","BLK","Single enemy","Magical","18.30","Wind, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","終末を呼ぶ","30541551","104"
"Ultimecia","Shockwave Pulsar","Temporal Tempest","2","Wind","BLK","Single enemy","Magical","9.15","Wind, NE","1.65","Three single attacks (3.05 each), grants [Wind Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Black Magic","時限の嵐","30541552","104"
"Ultimecia","Abyssal Attractor","Arcing Axes","1","Dark","BLK","Single enemy","Magical","18.30","Dark, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","輪舞の斧","31540730","107"
"Ultimecia","Abyssal Attractor","Arrows of Rapture","2","Dark","NAT","Single enemy","","","","0.01","Causes [DEF, RES and MND -70% (8s)] if the user has Maleficium = 1, grants [Quick Cast 2] to the user, causes Maleficium -1 to the user","N","Lowest HP% enemy","70","Black Magic","悦楽の矢","31540731","107"
"Selphie","Comrades' Return","Full Cure Waltz","1","White Magic, Dancer","WHT","Single ally","","","","1.65","Restores HP (105), grants [Dualcast Dancer 1] to the user","N","Lowest HP% ally","100","White Magic","フルケアワルツ","31540005","1002"
"Selphie","Comrades' Return","Retrace Steps","2","Dancer","NAT","All allies","","","","0.01","Grants [40% Damage Reduction Barrier 1], grants [Quick Cast 1] every second use","N","All allies","70","Dancer","リプレイステップ","31540006","15"
"Seifer","Absolutely No Mercy","True Demon Slice","1","Dark, Fire","PHY","Single enemy","Physical","5.40","Dark, Fire, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","120","Darkness","真・鬼斬り","31540219","2003"
"Seifer","Absolutely No Mercy","True Bloodfest","2","Dark, Fire","PHY","Single enemy","Physical","5.91","Dark, Fire, NE","1.65","One single attack (5.91) capped at 99999, grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Darkness","真・血祭り","31540220","2003"
"Laguna","Freezing Downpour","Freezing Bombshell","1","Ice","PHY","Single enemy","Physical","5.40","Ice, NE","1.65","Six single ranged attacks (0.90 each)","Y","Lowest HP% enemy","90","Machinist","フリーズブリット","31540339","101"
"Laguna","Freezing Downpour","Freezing Action","2","Ice","PHY","Single enemy","Physical","2.70","Ice, NE","1.65","6/3 single ranged attacks (0.90 each) if user has Innate Talent 0/1, grants [Ice Ability +30% Boost 3] if user has Innate Talent 1, causes Innate Talent -1 to the user","Y","Lowest HP% enemy","90","Machinist","フリーズアクション","31540340","101"
"Edea","Sorcerous Binding","Thin Ice Hex","1","Ice","BLK","Single enemy","Magical","18.30","Ice, Dark, NE","1.65","Six single attacks (3.05 each), grants [40% Damage Reduction Barrier 1] to all allies every second activation","Y","Lowest HP% enemy","90","Witch","薄氷の呪魂","31540345","101"
"Edea","Sorcerous Binding","Sorceress Sneer","2","Ice","NAT","Self","","","","0.01","Grants [Dualcast Ice 1] and [Ice Ability +30% Boost 1]","N","Self","70","Witch","魔女の冷笑","31540346","101"
"Fujin","Fusai","Wind Cloud","1","Wind","BLK","Single enemy","Magical","31.25","Wind, NE","1.65","Five single attacks (3.05 each) followed by one single attack (16.00) that ignores RES","Y","Lowest HP% enemy","90","Black Magic","風雲","31540488","104"
"Fujin","Fusai","Soaring Flight","2","Wind","NAT","Self","","","","0.01","Grants [Quick Cast 2], [Wind Ability +30% Boost 2] and [Damage Cap +10000 2]","N","Self","70","Black Magic","飛翔","31540489","104"
"Kiros","Exotic Elan","Sixfolded Suffering","1","Dark, Ice","PHY","Single enemy","Physical","4.80","Dark, Ice, NE","0.83","Six single attacks (0.80 each)","Y","Lowest HP% enemy","70","Ninja","ヘキサインパクト","31540562","2010"
"Kiros","Exotic Elan","Endless Anguish","2","Dark, Ice","PHY","Single enemy","Physical","2.40","Dark, Ice, NE","0.01","Three single attacks (0.80 each), grants [Quick Cast 1] to all allies in the character's row","Y","Lowest HP% enemy","60","Ninja","ノンストップペイン","31540563","2010"
"Ward","Trifecta of Anchors","Muted Crush","1","Water, Ice, Earth","PHY","Single enemy","Physical","5.40","Water, Ice, Earth, NE","1.65","Six single ranged attacks (0.90 each), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","90","Dragoon","サイレントクラッシュ","31540567","2011"
"Ward","Trifecta of Anchors","Piercing Anchor","2","Water, Ice, Earth","PHY","Single enemy","Physical","6.00","Water, Ice, Earth, NE","1.65","One single ranged attack (6.00) capped at 99999, 20% additional critical damage","Y","Lowest HP% enemy","90","Dragoon","アンカーペネトレイト","31540568","2011"
"Raijin","Thunderstorm Call","Smiting Thunder","1","Lightning","PHY","Single enemy","Physical","5.40","Lightning, NE","1.65","Six single attacks (0.90 each)","Y","Lowest HP% enemy","90","Monk","滅雷","31540765","102"
"Raijin","Thunderstorm Call","Fleeting Thunder","2","Lightning","PHY","Single enemy","Physical","2.40","Lightning, NE","0.83","Three single attacks (0.80 each), grants [Quick Cast 2] to the user","Y","Lowest HP% enemy","70","Monk","暫雷","31540766","102"
"Zell","Blazing Duel","Booya (no 4/6/9 Seconds Duel Mode)","1","Fire","PHY","Single enemy","Physical","0.90","Fire, NE","1.65","One single attack (0.90)","Y","Lowest HP% enemy","90","Monk","ヘッドショック","31540855","100"
"Zell","Blazing Duel","Booya (4 Seconds Duel Mode)","1","Fire","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each), 50%/75%/100% additional critical chance scaling with uses, grants [Instant Cast 1], [Damage Cap +10000 1] and [Fire Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Monk","ヘッドショック","31540855","100"
"Zell","Blazing Duel","Booya (6 Seconds Duel Mode)","1","Fire","PHY","Single enemy","Physical","6.00","Fire, NE","1.65","One single attack (6.00) capped at 99999","Y","Lowest HP% enemy","90","Monk","ヘッドショック","31540855","100"
"Zell","Blazing Duel","Booya (9 Seconds Duel Mode)","1","Fire","PHY","Single enemy","Physical","2.70","Fire, NE","1.65","Three single attacks (0.90 each), grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","90","Monk","ヘッドショック","31540855","100"
"Zell","Blazing Duel","Heel Drop","2","Fire","PHY","Single enemy","Physical","0.60","Fire, NE","1.65","One single attack (0.60)","Y","Lowest HP% enemy","90","Monk","かかと落とし","31540856","100"
"Irvine","Quick Canister","Burst Shot","1","Machinist, Sharpshooter","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single ranged attacks (0.90 each)","Y","Lowest HP% enemy","90","Sharpshooter","ショット・散弾","31540847","1017"
"Irvine","Quick Canister","Demolition Shot","2","Machinist, Sharpshooter","PHY","Single enemy","Physical","0.90","Fire, NE","0.01","One single ranged attack (0.90), causes [ATK and MAG -50% (8s)], grants [Fire Ability +30% Boost 2] to the user","Y","Lowest HP% enemy","60","Sharpshooter","ショット・破壊弾","31540848","1017"
"Quistis","Homing Laser","Acrid Breath","1","Black Magic","BLK","Single enemy","Magical","18.30","Water, Poison, NE","1.65","Six single attacks (3.05 each), grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Black Magic","バイオブレス","31540851","1"
"Quistis","Homing Laser","Occult Fan","2","Black Magic","BLK","Single enemy","Magical","16.40","Water, Poison, NE","1.65","One single attack (16.40) capped at 99999, grants [Water Ability +30% Boost 3] to the user if the user has Instructor = 1, causes Instructor -1 to the user","Y","Lowest HP% enemy","90","Black Magic","オカルトファン","31540852","1"
"Beatrix","Seiken Shock End","Seiken Cursebreaker","1","Knight","PHY","Single enemy","Physical","5.40","Holy, NE","1.65","Six single attacks (0.90 each), removes positive effects","Y","Lowest HP% enemy","90","Knight","解呪の聖剣","30548546","11"
"Beatrix","Seiken Shock End","Seiken Purge","2","Holy","PHY","Single enemy","Physical","2.70","Holy, NE","1.65","Three single attacks (0.90 each), causes [Imperil Holy 10% (15s)] every second use","Y","Lowest HP% enemy","90","Knight","浄化の聖剣","30548547","106"
"Zidane","Not Alone","Rumbling Blast","1","Wind","PHY","Single enemy","Physical","4.80","Wind, NE","0.83","Six single attacks (0.80 each)","Y","Lowest HP% enemy","70","Thief","ランブルブラスト","30548438","104"
"Zidane","Not Alone","Rumbling Steal","2","Wind","PHY","Single enemy","Physical","2.40","Wind, NE","0.83","Three single attacks (0.80 each), causes [Imperil Wind 10% (15s)] every two uses, grants [Buff Wind 10% (15s)] every two uses","Y","Lowest HP% enemy","70","Thief","ランブルスティール","30548439","104"
"Garnet","Peridot Thunder","Eidolon Justice","1","Summoning","SUM","Single enemy","Physical","18.30","Lightning, NE","1.65","Six single attacks (3.05 each), grants [Lightning Ability +30% Boost 1] to the user","N","Lowest HP% enemy","90","Summoning","幻獣の裁き","31540054","3"
"Garnet","Peridot Thunder","Song of Memories (Garnet Trance)","2","Bard, White Magic","NAT","All allies","","","","0.01","Restores HP (80), grants [75% Damage Reduction Barrier 1], removes [Garnet Trance] from the user","N","All allies","70","Bard","記憶の歌","31540055","1005"
"Garnet","Peridot Thunder","Song of Memories (No Garnet Trance)","2","Bard, White Magic","NAT","Single ally","","","","0.01","Restores HP (105)","N","Lowest HP% ally","70","Bard","記憶の歌","31540055","1005"
"Garnet","Time to Reunite","Power Within","1","Holy","SUM","Single enemy","Magical","18.30","Holy, NE","1.65","6/8 single attacks (3.05 each) if user has Resilient Memories level 0/1+, causes [Imperil Holy 10% (5s)] if user has Resilient Memories level 1+, causes Resilient Memories -1 to the user","N","Lowest HP% enemy","90","Summoning","内に宿りし力","31540571","106"
"Garnet","Time to Reunite","Distant Memory","2","Summoning, Bard","NAT","Self","","","","0.01","Grants [Summoning +30% Boost 2] and Resilient Memories +2 (max 2), Summoning smart ether 1","N","Self","70","Bard","あの日の記憶","31540572","1011"
"Eiko","Seraphic Rebirth","Eidolon Wind","1","Summoning","SUM","Single enemy","Magical","18.30","Holy, Wind, NE","1.65","Six single attacks (3.05 each)","N","Lowest HP% enemy","90","Summoning","召喚壁の風","31540098","3"
"Eiko","Seraphic Rebirth","Eiko's Innervation","2","White Magic","WHT","Single ally","","","","0.01","Restores HP (105)","N","Lowest HP% ally","70","White Magic","エーコのきもち","31540099","2"
"Vivi","Glittering Flame","My Memory","1","Fire","BLK","Single enemy","Magical","21.00","Fire, NE","1.65","Six single attacks (3.50 each)","Y","Lowest HP% enemy","90","Black Magic","ボクノ記憶","31540241","100"
"Vivi","Glittering Flame","Reason to Live","2","Fire","NAT","Self","","","","0.01","Grants Time Permitted +1 (max 4)","N","Self","70","Black Magic","イキルコトノ意味","31540242","100"
"Vivi","Freezing Stormhammer","Dualcast Chillspark","1","Ice, Lightning","BLK","Single enemy","Magical","18.30","Ice, Lightning, NE","1.65","Six single attacks (3.05 each), grants [Black Magic +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Black Magic","W黒魔法・氷雷","31540751","2006"
"Vivi","Freezing Stormhammer","Dualcast Frostbolt","2","Ice, Lightning","BLK","Single enemy","Magical","2.70","Ice, Lightning, NE","0.01","One single attack (2.70), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","60","Black Magic","W黒魔法・凍雷","31540752","2006"
"Kuja","Chaos Divider","Penumbral Onslaught","1","Dark","BLK","Single enemy","Magical","18.30","Dark, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Darkness","ダークホーリースラスト","31540383","107"
"Kuja","Chaos Divider","Dark Flare Burst","2","Dark","BLK","Single enemy","Magical","32.80","Dark, NE","1.65","1/2 single attacks (16.40 each) capped at 99999 if the user has less than/greater than or equal to 1000 SB points, causes [Soul Break Gauge -250] to the user if the user has 1000+ SB points","Y","Lowest HP% enemy","0","Darkness","ダークフレアバースト","31540384","107"
"Steiner","Double Shock","Elemental Break","1","Spellblade","PHY","Single enemy","Physical","5.40","Fire, Ice, Lightning, NE","1.65","Six single attacks (0.90 each), grants [40% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","90","Spellblade","エレメンタルブレイク","31540387","4"
"Steiner","Double Shock","Elemental Hazard","2","Spellblade","PHY","Single enemy","Physical","6.00","Fire, Ice, Lightning, NE","1.65","One single attack (6.00) capped at 99999","Y","Lowest HP% enemy","90","Spellblade","エレメンタルハザード","31540388","4"
"Amarant","Inflammable Fist","Crackling Fist","1","Monk","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each) with additional 20% critical damage","Y","Lowest HP% enemy","90","Monk","秘炮拳","31540640","9"
"Amarant","Inflammable Fist","Retaliate (IX)","2","Monk","NAT","Self","","","","0.01","Grants [100% Critical 2] and [ATK +30% and DEF -30% (8s)]","N","Self","70","Monk","かまえる【IX】","31540641","9"
"Marcus","There You Go!","Resistance Down","1","Thief","PHY","Single enemy","Physical","4.80","Wind, Poison, NE","0.83","Six single attacks (0.80 each), causes [Imperil Wind 10% (5s)] and [Imperil Poison 10% (5s)]","Y","Lowest HP% enemy","70","Thief","レジスタンスダウン","31540637","10"
"Marcus","There You Go!","Quick Poison","2","Thief","PHY","Single enemy","Physical","0.80","Wind, Poison, NE","0.83","One single attack (0.90), grants [Quick Cast 2] and [Wind/Poison Ability +30% Boost 2] to the user","Y","Lowest HP% enemy","70","Thief","クイックポイズン","31540638","10"
"Quina","Headstrong Chef","For the Perfect Dish","1","Combat","PHY","Single enemy","Physical","6.00","Water, Earth, Poison, NE","1.65","One single ranged attack (6.00) capped at 99999","Y","Lowest HP% enemy","120","Support","美食の追求","31540726","5"
"Quina","Headstrong Chef","Yummy Treats!","2","Combat","NAT","All allies","","","","1.65","Restores 1500 HP, grants [Critical Damage +50% 1] if the user has Snacks > 0, causes Snacks -1","N","All allies","100","Support","すごいごちそうアル","31540727","5"
"Freya","Whirl from the Cliffs","Six Dragons","1","Dragoon, Dancer","PHY","Single enemy","Physical","5.16","Wind, NE","1.65","Six single ranged jump attacks (0.86/0.89/0.92/0.95) scaling with uses, 25%/50%/75%/100% additional critical chance scaling with uses","Y","Lowest HP% enemy","90","Dragoon","六竜の槍撃","31540785","1014"
"Freya","Whirl from the Cliffs","Dance of Fertility","2","Dragoon, Dancer","NAT","Single ally","","","","0.01","Grants [HP Stock (3000)] if the user has Reis's Wind level 0, grants [HP Stock (3000)] to all allies if the user has Reis's Wind level 1, causes Reis's Wind -1 to the user","N","Lowest HP% ally","70","Dancer","豊穣の舞","31540786","1014"
"Tidus","Blitz Yell","Sphere Shot","1","Water","PHY","Single enemy","Physical","7.20","Water, NE","1.65","4/6/8 single ranged attacks (0.90 each) scaling with uses","Y","Lowest HP% enemy","90","Sharpshooter","スフィアシュート","30549271","105"
"Tidus","Blitz Yell","Vitality Shot","2","Water","PHY","Single enemy","Physical","2.70","Water, NE","1.65","Three single ranged attacks (0.90 each), grants [Sharpshooter +30% Boost 3] to the user","Y","Lowest HP% enemy","90","Sharpshooter","バイタリティショット","30549272","105"
"Tidus","Blitz Ace","Heightened Shot","1","Water","PHY","Single enemy","Physical","5.40","Water, NE","1.65","Six single ranged attacks (0.90 each), grants [Water Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Sharpshooter","チャージシュート","30549374","105"
"Tidus","Blitz Ace","Energy Dream","2","Water","PHY","Single enemy","Physical","6.00","Water, NE","1.65","One single ranged attack (6.00) capped at 99999, grants [Water Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Sharpshooter","エナジードリーム","30549375","105"
"Rikku","Tidal Wave","Potato Masher","1","Water","PHY","Single enemy","Physical","5.40","Water, NE","1.20","Six single attacks (0.90 each), grants [Items +1] to the user","Y","Lowest HP% enemy","90","Thief","ポテトマッシャー","30548432","105"
"Rikku","Tidal Wave","Prime Twin Stars (2 Items)","2","Thief","NAT","All allies","","","","1.20","Grants [Buff Water 10% (15s)], grants [50% Critical (15s)] on first use, grants [100% Critical (15s)] on 2+ uses, removes all Items from the user","N","All allies","90","Thief","至高のツインスターズ","30548433","10"
"Rikku","Tidal Wave","Prime Twin Stars (1 Item)","2","Thief","NAT","All allies","","","","1.20","Grants [Critical Damage +50% 2] to all allies, removes all Items from the user","N","All allies","90","Thief","至高のツインスターズ","30548433","10"
"Rikku","Tidal Wave","Prime Twin Stars (0 Items)","2","Thief","NAT","Self","","","","1.20","Grants [High Quick Cast 2], removes all Items from the user","N","Self","90","Thief","至高のツインスターズ","30548433","10"
"Yuna","Farplane Wish","Luminous Ray","1","White Magic, Summoning","SUM","Single enemy","Magical","18.30","Holy, Wind, NE","1.65","Six single attacks (3.05 each), grants [Summoning +30% Boost 1] to the user","N","Lowest HP% enemy","90","Summoning","ルミナス・レイ","31540128","1006"
"Yuna","Farplane Wish","Pearly Wisdom","2","White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","ホワイトゴスペル","31540129","2"
"Paine","Liquid Steel Throttle","Hydrosaber","1","Water","PHY","Single enemy","Physical","5.40","Water, NE","1.65","Six single attacks (0.90 each), grants [Damage Cap +10000 1] to the user","Y","Lowest HP% enemy","90","Spellblade","ハイドロセイバー","31540132","105"
"Paine","Liquid Steel Throttle","Rising Sword","2","Spellblade","NAT","Self","","","","0.01","Grants [Quick Cast 2] and [Spellblade +50% Boost 2]","N","Self","70","Spellblade","ライジングソード","31540133","4"
"Auron","Secret Shooting Star","Redstar","1","Samurai","PHY","Single enemy","Physical","5.40","Fire, NE","1.65","Six single attacks (0.90 each), followed by one single attack (4.71) that ignores DEF if user has Firelight Shadows level 1","Y","Lowest HP% enemy","90","Samurai","赤星","31540190","12"
"Auron","Secret Shooting Star","Mottled Chroma","2","Samurai","PHY","Single enemy","Physical","6.00","Fire, NE","1.65","One single attack (6.00) capped at 99999, causes [DEF, RES and MND -70% (8s)] if user has Firelight Shadows level 1","Y","Lowest HP% enemy","90","Samurai","破彩","31540191","12"
"Lulu","Plushie Magic","Heavy Weather","1","Witch, Black Magic","BLK","Single enemy","Magical","24.40","Ice, Water, Lightning, NE","1.65","4/6/8 single attacks (3.05 each) scaling with uses","Y","Lowest HP% enemy","90","Witch","ヘヴィウェザー","31540358","1004"
"Lulu","Plushie Magic","Arcane Diagram","2","Witch, Black Magic","BLK","Single enemy","Magical","3.05","Ice, Water, Lightning, NE","1.65","One single attack (3.05), grants [Ice/Water/Lightning Ability +30% Boost 3] and [Quick Cast 3] to the user","Y","Lowest HP% enemy","90","Witch","マジックダイアグラム","31540359","1004"
"Wakka","Aurochs Spirit+","Aurochs Rush","1","Water","PHY","Single enemy","Physical","5.40","Water, NE","1.65","Six single ranged attacks (0.90 each)","Y","Lowest HP% enemy","90","Sharpshooter","オーラカラッシュ","31540397","105"
"Wakka","Aurochs Spirit+","Direct Blitz","2","Water","PHY","Single enemy","Physical","2.40","Water, NE","0.83","Three single ranged attacks (0.80 each), causes [Imperil Water 10% (15s)] and [DEF -50% (8s)] every second activation","Y","Lowest HP% enemy","70","Sharpshooter","ダイレクトブリッツ","31540398","105"
"Kimahri","Inherited Resolve","Flowing Tide","1","Water","PHY","Single enemy","Physical","5.40","Water, NE","1.65","Six single ranged jump attacks (0.90 each), grants [Dragoon +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Dragoon","駆ける水潮","31540404","105"
"Kimahri","Inherited Resolve","Azure Will","2","Water","PHY","Single enemy","Physical","6.00","Water, NE","1.65","One single ranged jump attack (6.00) capped at 99999, grants [Dragoon +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Dragoon","蒼き覚悟","31540405","105"
"Jecht","Meteor Shot","Assault Eclipse","1","Dark, Fire","PHY","Single enemy","Physical","5.40","Dark, Fire, NE","1.65","Six single ranged attacks (0.90 each)","Y","Lowest HP% enemy","90","Sharpshooter","アサルトエクリプス","31540401","2003"
"Jecht","Meteor Shot","Great Fist","2","Dark, Fire","PHY","Single enemy","Physical","0.90","Dark, Fire, NE","1.65","One single ranged attack (0.90), grants [High Quick Cast 2]/[Critical Damage +50% 1] and [Dark/Fire Ability +30% Boost 1]/[Critical Damage +50% 2] and [Dark/Fire Ability +30% Boost 2] if the user has Jecht Gauge bar level 0/1/2, removes Jecht Gauge bar from the user","Y","Lowest HP% enemy","90","Sharpshooter","グレイトフィスト","31540402","2003"
"Seymour","Soul Siphon","Death's Release","1","Dark","SUM","Single enemy","Magical","18.30","Dark, NE","1.65","Six single attacks (3.05 each), grants [Dark Ability +30% Boost 1] to the user","N","Lowest HP% enemy","90","Summoning","滅びによる救済","31540412","107"
"Seymour","Soul Siphon","Hymn of the Damned","2","Dark","SUM","Single enemy","Magical","16.40","Dark, NE","1.65","One single attack (16.40) capped at 99999, restores 1 consumed ability use to the user","N","Lowest HP% enemy","90","Summoning","歪んだ祈り","31540413","107"
"Braska","High Summoner's Flame","Aeon Meteor","1","Fire","SUM","Single enemy","Magical","18.30","Fire, NE","1.65","Six single attacks (3.05 each), grants [Damage Cap +10000 1] to the user","N","Lowest HP% enemy","90","Summoning","炎獣メテオ","31541010","100"
"Braska","High Summoner's Flame","Aeon Strike","2","Fire","SUM","Single enemy","Magical","16.40","Fire, NE","1.65","One single attack (16.40) capped at 99999, restores 1 consumed ability use to the user","N","Lowest HP% enemy","90","Summoning","炎獣ストライク","31541011","100"
"Shantotto","Chain Thunder Play","Elegant Fulmination","1","Witch","BLK","Single enemy","Magical","21.35","Lightning","2.60","Seven single attacks (3.05 each)","Y","Lowest HP% enemy","90","Witch","淑女の雷電","31540070","20"
"Shantotto","Chain Thunder Play","Crackling Thunder","2","Witch","BLK","Single enemy","Magical","3.05","Lightning, NE","0.01","One single attack (3.05), grants [Instant Cast 1] and [Witch +30% Boost 1] to the user","Y","Lowest HP% enemy","60","Witch","無詠唱サンダー","31540071","20"
"Ayame","Winter Moon Blossom","Tachi: Yukikaze","1","Samurai","PHY","Single enemy","Physical","4.50","Ice, NE","1.65","Five single attacks (0.90 each), 100% additional critical chance if user has any Retaliate, removes [Blade Drawn] from the user","Y","Lowest HP% enemy","90","Samurai","七之太刀・雪風","31540074","12"
"Ayame","Winter Moon Blossom","Meikyo Shisui (XI)","2","Samurai","NAT","Self","","","","0.01","Grants [Critical Damage +50% 1], [Samurai +30% Boost 1], [High Retaliate] and [Blade Drawn]","N","Self","70","Samurai","明鏡止水【XI】","31540075","12"
"Aphmau","Automaton Band","Heart of Ovjang","1","White Magic, Monk","NAT","Single ally","","","","0.01","Restores HP (85), removes negative effects","N","Lowest HP% ally","70","Monk","ハートオブアヴゼン","31540200","1007"
"Aphmau","Automaton Band","Heart of Mnejing","2","White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","ハートオブメネジン","31540201","2"
"Curilla","Knights of Round","Savage Blade","1","Holy","PHY","Single enemy","Physical","5.40","Holy, NE","1.65","Six single attacks (0.90 each), grants [Holy Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Knight","サベッジブレード","31540665","106"
"Curilla","Knights of Round","Angelwing","2","Holy","PHY","Single enemy","Physical","2.40","Holy, NE","0.01","Three single attacks (0.80 each), grants [Quick Cast 2] to the user, grants [ATK, DEF and RES +50% (8s)] to all allies if the user has Temple Knight level 1 or 2, causes Temple Knight -1 to the user","Y","Lowest HP% enemy","60","Knight","エンゼルウィング","31540666","106"
"Lion","Mandalic Stab","Blindside","1","Water","PHY","Single enemy","Physical","4.80","Water, NE","1.20","Six single attacks (0.80 each), causes [Imperil Water 10% (15s)]","Y","Lowest HP% enemy","70","Thief","バックスタッブ","31540673","105"
"Lion","Mandalic Stab","Assassin's Charge","2","Water","PHY","Single enemy","Physical","5.40","Water, NE","1.20","One single attack (5.40) capped at 99999, grants [Water Ability +30% Boost 2] to the user","Y","Lowest HP% enemy","70","Thief","アサシンチャージ","31540674","105"
