Character,Source,Img,Name,Type,Target,Formula,Mutiplier,Element,Time,Effects,Counter,Auto Target,SB,School
Seifer,Sorceress's Knight,,Downfall,PHY,Single enemy,Physical,2.20,"Dark, NE",1.65,"One single attack (2.20), heals the user for 20% of the damage dealt",Y,Lowest HP% enemy,50,Darkness
Seifer,Brutal Takedown,,Mad Blade,PHY,Single enemy,Physical,2.55,"Dark, Fire",1.65,"Five single attacks (0.51 each), damages the user for 12.5% max HP",Y,Lowest HP% enemy,50,Darkness
Seifer,Brutal Takedown,,Dire Speed,PHY,Single enemy,Physical,1.50,"Dark, Fire",1.65,"Three single attacks (0.50 each), grants Quick Cast 3 to the user",Y,Lowest HP% enemy,50,Darkness
Laguna,Split Laser,,Rapid Punishment,PHY,Random enemies,Physical,2.00,"Lightning, NE",1.65,"Four random ranged attacks (0.50 each), causes Paralyze (7%) and Silence (7%)",Y,Random enemies,50,Machinist
Laguna,Split Laser,,Miraculous Vision,PHY,Single enemy,Physical,1.85,"Lightning, NE",1.65,"One single ranged attack (1.85), grants Machinist Instant Cast 2 to the user",Y,Lowest HP% enemy,50,Machinist
Laguna,Freezing Beam,,Blizzard Bomb,PHY,Single enemy,Physical,1.96,"Ice, NE",1.65,"Four single ranged attacks (0.49 each), five attacks if exploiting elemental weakness",Y,Lowest HP% enemy,50,Machinist
Laguna,Freezing Beam,,Faeries' Gift,PHY,Single enemy,Physical,1.85,"Ice, NE",1.65,"One single ranged attack (1.85), grants Machinist Instant Cast 2 to the user",Y,Lowest HP% enemy,50,Machinist
Edea,Maelstrom,,Glamour of Ice,BLK,Single enemy,Magical,12.00,"Ice, Dark",1.65,3/4/5/6 single attacks (2.00 each) at 726/1133/1205 MAG,Y,Lowest HP% enemy,50,Black Magic
Edea,Maelstrom,,Astral Force,BLK,All enemies,Magical,6.18,"Ice, Dark",1.65,"Two group attacks (3.09 each), grants Magic Bargain to the user for 20 seconds",Y,All enemies,50,Black Magic
Raijin,Raijin Special,,Lurking Tiger,PHY,Lowest HP% ally,,,,1.65,Restores HP for 40% of the target's maximum HP,Y,Lowest HP% ally,50,Monk
Raijin,Raijin Special,,Raijin Detonate,PHY,Single enemy,Physical,2.16,"Lightning, NE",1.65,"4/5/6/7/8/9/10 single attacks (0.54/0.92/1.17/1.40/1.62/1.86/2.05 each) scaling with Lurking Tiger uses, reset",Y,Lowest HP% enemy,50,Monk
Fujin,Metsu,,Shitsu,BLK,Single enemy,Magical,9.00,"Wind, NE",0.83,Four single attacks (2.25 each),Y,Lowest HP% enemy,50,Black Magic
Fujin,Metsu,,Hakai,BLK,Single enemy,Magical,8.70,"Wind, NE",0.83,"One single attack (8.70), RES -30% for 15 seconds",Y,Lowest HP% enemy,50,Black Magic
Kiros,Exsanguination,,Armor Lapse,PHY,Single enemy,Physical,1.80,"Dark, Ice",0.83,"One single attack (1.80), DEF -40% for 15 seconds",Y,Random enemy without status,50,Support
Kiros,Exsanguination,,Mental Lapse,NAT,Single enemy,Physical,1.80,"Dark, Ice",0.83,"One single attack (1.80), RES -50% for 15 seconds",Y,Random enemy without status,50,Support
Ward,Massive Anchor,,Quickening Leap,PHY,All enemies,Physical,1.30,"Earth, Wind",1.65,"Two group ranged jump attacks (0.65 each), cast time 1.650/1.485/1.155/0.825/0.495/0.165 scaling with uses",Y,All enemies,50,Dragoon
Ward,Massive Anchor,,Massive Presence,PHY,All enemies,Physical,1.30,"Earth, Wind",1.65,"Two group ranged attacks (0.65 each), grants Dark Bargain to the user for 20 seconds",Y,All enemies,50,Dragoon
Ultimecia,True Maelstrom,,Winds of Ruin,BLK,Single enemy,Magical,4.40,"Wind, Dark",1.65,Two single attacks (2.20 each),Y,Lowest HP% enemy,50,Black Magic
Ultimecia,True Maelstrom,,Sorceress's Decree,BLK,Single enemy,Magical,6.90,"Wind, Dark",1.65,3/4/5/6 single attacks (2.30/2.35/2.40/3.00 each) scaling with Winds of Ruin uses,Y,Lowest HP% enemy,50,Black Magic
Zidane,Stellar Circle 5,,Mug Power,PHY,Single enemy,Physical,2.00,-,1.2,"One single attack (2.00), ATK -40% for 20 seconds, ATK +50% to the user for 20 seconds",Y,Random enemy without status,50,Thief
Zidane,Stellar Circle 5,,Mug Defense,PHY,Single enemy,Physical,2.00,-,1.2,"One single attack (2.00), DEF -40% for 20 seconds, DEF +50% to the user for 20 seconds",Y,Random enemy without status,50,Thief
Zidane,Solution 9,,Swift Steel,PHY,Single enemy,Physical,2.40,"Wind, NE",1.2,"Two single ranged attacks (1.20 each), causes Swift Steel -10/20/30/30%, grants Swift Steel +10/20/30/30% to the user",Y,Random enemy without status,50,Thief
Zidane,Solution 9,,Thief's Offering,PHY,Single enemy,Physical,2.40,"Wind, NE",1.2,"Two single ranged attacks (1.20 each), grants Swift Steel +0/10/20/30% to all allies scaling with Swift Steel uses, reset",Y,Lowest HP% enemy,50,Thief
Garnet,Dagger of Resolve,,Healing Light,WHT,Single,Magical,4.00,Holy,1.65,"Restores HP (105), removes negative effects, damages undeads",Y,Lowest HP% ally,50,White Magic
Garnet,Dagger of Resolve,,Ramuh's Judgment,SUM,All enemies,Magical,8.00,"Lightning, Holy",1.65,"Two group attacks (4.00 each), minimum damage 1100",N,All enemies,50,Summoning
Garnet,Trial by Lightning,,Summon Ramuh,NAT,Lowest HP% ally,,,,1.65,"Restores HP for 40% of the target's maximum HP, grants Summon Ramuh to the user",N,Lowest HP% ally,50,Summoning
Garnet,Trial by Lightning,,Summon Ramuh (S),SUM,All enemies,Magical,5.40,"Lightning, NE",1.65,"Two group attacks (2.70 each), min. 1100, restores HP to all allies for 30% of their max. HP, removes Summon Ramuh to the user",N,All enemies,50,Summoning
Garnet,Trial by Lightning,,Glimmering Peridot,SUM,Single enemy,Magical,10.48,"Lightning, NE",1.65,"Four single attacks (2.62 each), minimum damage 1100",N,Lowest HP% enemy,50,Summoning
Garnet,Trial by Lightning,,Glimmering Peridot (S),SUM,Single enemy,Magical,13.10,"Lightning, NE",1.65,"Five single attacks (2.62 each), minimum damage 1100",N,Lowest HP% enemy,50,Summoning
Vivi,Proof of Existence,,Doublecast Fira,BLK,Single enemy,Magical,8.96,"Fire, NE",1.65,Four single attacks (2.24 each),Y,Lowest HP% enemy,50,Black Magic
Vivi,Proof of Existence,,Doublecast Fira All,BLK,All enemies,Magical,6.28,"Fire, NE",1.65,Two group attacks (3.14 each),Y,All enemies,50,Black Magic
Vivi,Magic Fury,,Glimmering Hope,BLK,Single enemy,Magical,8.72,"Fire, Lightning, Ice",1.65,Four single attacks (2.18 each),Y,Lowest HP% enemy,50,Black Magic
Vivi,Magic Fury,,Shining Spirit,BLK,All enemies,Magical,7.80,"Fire, NE",1.65,"Two group attacks (3.90 each), grants Magic Bargain to the user for 20 seconds",Y,All enemies,50,Black Magic
Steiner,Knight's Honor,,Scorching Blade,PHY,Single enemy,Physical,2.08,Fire,1.65,"Four single attacks (0.52 each), five attacks if exploiting elemental weakness",Y,Lowest HP% enemy,50,Combat
Steiner,Knight's Honor,,Flame Break,PHY,All enemies,Physical,1.26,Fire,1.65,"Two group attacks (0.63 each), three attacks if exploiting elemental weakness",Y,All enemies,50,Combat
Steiner,Knight's Oath,,Elemental Blade,PHY,Single enemy,Physical,2.40,"Fire, Lightning, Ice",1.65,Four single attacks (0.60 each),Y,Lowest HP% enemy,50,Spellblade
Steiner,Knight's Oath,,Elemental Threat,PHY,All enemies,Physical,1.66,"Fire, Lightning, Ice",1.65,Two group attacks (0.83 each),Y,All enemies,50,Spellblade
Freya,Dragon's Crest,,Petal Storm,PHY,Single enemy,Physical,1.96,"Wind, NE",1.65,"Two single ranged attacks (0.98 each), grants No Air Time 2 to the user",Y,Lowest HP% enemy,50,Dragoon
Freya,Dragon's Crest,,Dragon Leech,PHY,Single enemy,Physical,1.96,"Wind, NE",1.65,"Two single ranged attacks (0.98 each), smart ether 1 to the user",Y,Lowest HP% enemy,50,Dragoon
Quina,Pumpkin Head,,Consume Power,PHY,Single enemy,Physical,2.10,-,1.65,"One single attack (2.10), ATK and DEF -20% for 15 seconds",Y,Random enemy,50,Support
Quina,Pumpkin Head,,Cuisine Magic,PHY,Single enemy,Physical,2.10,-,1.65,"One single attack (2.10), MAG and RES -20% for 15 seconds",Y,Random enemy,50,Support
Quina,Angel's Banquet,,Frog Rain,PHY,Single enemy,Physical,2.20,"Water, NE",1.65,"Four single attacks (0.55 each), restores HP (60) to the lowest HP% ally",Y,Lowest HP% enemy,50,Support
Quina,Angel's Banquet,,Juicy Energy,NAT,Self,,,,1.65,"MND +20% for 25 seconds, grants Quick Cast 3",Y,Self,50,Support
Eiko,Prayer of the Lost,,Eiko's Aid,WHT,Single ally,Magical,4.00,Holy,1.65,"Restores HP (105), grants Physical Blink 1, damages undeads",Y,Lowest HP% ally,50,White Magic
Eiko,Prayer of the Lost,,Wayfarer's Hymn,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
Amarant,Fists of Flame,,Flying Fire Fist,PHY,Single enemy,Physical,1.96,"Fire, NE",1.65,"Four single ranged attacks (0.49 each), 50% additional critical damage",Y,Lowest HP% enemy,50,Monk
Amarant,Fists of Flame,,Sundowner Kick,PHY,All enemies,Physical,1.30,"Fire, NE",1.65,"Two group ranged attacks (0.65 each), 50% additional critical damage",Y,All enemies,50,Monk
Beatrix,Knight Protector,,Bulwark Blade,PHY,Single enemy,Physical,2.50,Holy,1.65,"Two single attacks (1.25 each), grants Sentinel to the user",Y,Lowest HP% enemy,50,Knight
Beatrix,Knight Protector,,Sworn Blade,PHY,Single enemy,Physical,2.70,-,1.65,"Two single attacks (1.35 each), RES +40% to the user for 20 seconds",Y,Random enemy,50,Knight
Beatrix,Seiken Thunder Slash,,Banishing Shock,PHY,Single enemy,Physical,1.71,"Holy, Lightning",1.65,"Three single attacks (0.57 each), removes positive effects",Y,Lowest HP% enemy,50,Knight
Beatrix,Seiken Thunder Slash,,Divine Hazard,PHY,Single enemy,Physical,1.96,"Holy, Lightning",1.65,"Four single attacks (0.49 each), grants Knight +15% Boost 2 to the user",Y,Lowest HP% enemy,50,Knight
Kuja,Force Symphony,,Clutch Shot,BLK,Single enemy,Magical,8.16,"Dark, NE",1.65,"Four single attacks (2.04 each), 2.86 multiplier if the user has any Doom",Y,Lowest HP% enemy,50,Black Magic
Kuja,Force Symphony,,Burst Energy,BLK,All enemies,Magical,5.88,"Dark, NE",1.65,"Two group attacks (2.94 each), 4.12 multiplier if the user has any Doom",Y,All enemies,50,Black Magic
Kuja,Corrupt Refrain,,Soul Thruster,BLK,Single enemy,Magical,8.00,"Dark, NE",0.83,"Four single attacks (2.00 each), causes Doom Timer -3 to the user",Y,Lowest HP% enemy,50,Darkness
Kuja,Corrupt Refrain,,Dark Ensemble,BLK,Single enemy,Magical,14.30,"Dark, NE",1.65,2/3/4/5 single attacks (2.86 each) if the user's Doom timer is below 40/25/15,Y,Lowest HP% enemy,50,Darkness
Marcus,Poison Impulse,,Poisoned Magic,PHY,Single enemy,Physical,1.80,"Wind, Poison",0.83,"Two single attacks (0.90 each), MAG -50% for 15 seconds",Y,Random enemy without status,50,Thief
Marcus,Poison Impulse,,Poisoned Armor,PHY,Single enemy,Physical,1.80,"Wind, Poison",0.83,"Two single attacks (0.90 each), DEF -40% for 15 seconds",Y,Random enemy without status,50,Thief
Tidus,Abes All-star,,Volley Shot,PHY,Single enemy,Physical,2.16,"Water, NE",1.65,Four single ranged attacks (0.54 each),Y,Lowest HP% enemy,50,Combat
Tidus,Abes All-star,,Spin Ball,PHY,All enemies,Physical,1.50,"Water, NE",1.65,Two group ranged attacks (0.75 each),Y,All enemies,50,Combat
Tidus,Sonic Strike,,Dash Shot,PHY,Single enemy,Physical,2.16,"Water, NE",0.83,Four single ranged attacks (0.54 each),Y,Lowest HP% enemy,50,Sharpshooter
Tidus,Sonic Strike,,Invigorating Shot,PHY,Single enemy,Physical,1.68,"Water, NE",1.65,"Two single ranged attacks (0.84 each), grants Sharpshooter +15% Boost 3 to the user",Y,Lowest HP% enemy,50,Sharpshooter
Yuna,Trigger Happy,,Scattershot,NAT,All enemies,Magical,8.00,-,1.65,Two group attacks (4.00 each),N,All enemies,50,Special
Yuna,Trigger Happy,,Soul Spring,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (15), damages undeads",N,All allies,50,White Magic
Yuna,Tenets of the Fayth,,Valefor,SUM,Self,,,,1.65,Grants Summon Valefor,N,Self,50,Summoning
Yuna,Tenets of the Fayth,,Valefor (S),SUM,All enemies,Magical,19.20,-,1.65,"Four group attacks (4.80 each), minimum damage 1100, removes Summon Valefor to the user",N,All enemies,50,Summoning
Yuna,Tenets of the Fayth,,Breath of the Heavens,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",N,All allies,50,White Magic
Yuna,Tenets of the Fayth,,Breath of the Heavens (S),SUM,All enemies,Magical,4.80,-,1.65,"One group attack (4.80), minimum damage 1100, restores HP (25) to all allies",N,All enemies,50,Summoning
Wakka,Assault Reels,,Wither Tackle,PHY,Single enemy,Physical,2.30,-,1.65,"One single ranged attack (2.30), MAG -50% for 15 seconds",Y,Random enemy,50,Support
Wakka,Assault Reels,,Pile Wither,PHY,Single enemy,Physical,2.30,-,1.65,"One single ranged attack (2.30), ATK -40% for 15 seconds",Y,Random enemy,50,Support
Wakka,Dual Buster,,Wither Magic,PHY,Single enemy,Physical,2.20,"Water, NE",1.65,"Two single ranged attacks (1.10 each), MAG -50% for 15 seconds",Y,Random enemy without status,50,Support
Wakka,Dual Buster,,Wither Defense,PHY,Single enemy,Physical,2.20,"Water, NE",1.65,"Two single ranged attacks (1.10 each), DEF -40% for 15 seconds",Y,Random enemy without status,50,Support
Lulu,Triple Threat,,Freezing Flame,BLK,Single enemy,Magical,10.48,"Ice, Fire",1.65,Four single attacks (2.62 each),Y,Lowest HP% enemy,50,Black Magic
Lulu,Triple Threat,,Freezing Water,BLK,Single enemy,Magical,10.48,"Ice, Water",1.65,Four single attacks (2.62 each),Y,Lowest HP% enemy,50,Black Magic
Kimahri,Aqua Breath (X),,Liquid Drain,PHY,Single enemy,Physical,1.88,"Water, NE",1.65,"Four single ranged attacks (0.47 each), restores HP to the lowest HP% ally for 25% of their maximum HP",Y,Lowest HP% enemy,50,Combat
Kimahri,Aqua Breath (X),,Liquid Osmose,PHY,Single enemy,Physical,1.60,"Water, NE",1.65,"Two single ranged attacks (0.80 each), smart ether 1 to the user",Y,Lowest HP% enemy,50,Combat
Rikku,Machinations,,Shockstorm,PHY,All enemies,Physical,1.40,"Water, Lightning",1.65,"Two group ranged attacks (0.70 each), causes Stun (11%)",Y,All enemies,50,Machinist
Rikku,Machinations,,Anti-Power/Armor Shell,PHY,Single enemy,Physical,2.00,-,1.65,"Two single ranged attacks (1.00 each), ATK and DEF -20% for 20 seconds, ATK and DEF +20% to the user for 20 seconds",Y,Lowest HP% enemy,50,Machinist
Rikku,Team Bomb,,Flash Flood,PHY,Single enemy,Physical,1.88,"Water, NE",0.83,Four single ranged attacks (0.47 each),Y,Lowest HP% enemy,50,Machinist
Rikku,Team Bomb,,Waterfall,PHY,Single enemy,Physical,1.72,"Water, NE",1.65,"Two single ranged attacks (0.86 each), ATK -50% for 20 seconds, ATK +50% to the user for 20 seconds",Y,Lowest HP% enemy,50,Machinist
Auron,Bushido,,Guardian's Resolve,PHY,Single enemy,Physical,2.40,-,1.65,"One single attack (2.40), heals the user for 20% of the damage dealt",Y,Lowest HP% enemy,50,Samurai
Auron,Bushido,,Decisive Instant,PHY,All enemies,Physical,1.82,-,1.65,"Two group attacks (0.91 each), grants Retaliate to the user for 15 seconds",Y,All enemies,50,Samurai
Auron,Tornado,,Incandesce,PHY,Single enemy,Physical,2.16,"Fire, NE",1.65,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Samurai
Auron,Tornado,,Crimson Lotus,PHY,Single enemy,Physical,1.96,"Fire, NE",1.65,"Two single attacks (0.98 each), grants Dark Bargain to the user for 20 seconds",Y,Lowest HP% enemy,50,Samurai
Auron,Fiery Heart,,Fangcrush Blade,PHY,Single enemy,Physical,2.20,"Fire, NE",1.65,"Two single attacks (1.10 each), ATK -40% for 15 seconds",Y,Random enemy without status,50,Samurai
Auron,Fiery Heart,,Spellbreak Blade,PHY,Single enemy,Physical,2.20,"Fire, NE",1.65,"Two single attacks (1.10 each), MAG -50% for 15 seconds",Y,Random enemy without status,50,Samurai
Jecht,Final Transformation,,Jecht Stream,PHY,Single enemy,Physical,2.16,"Dark, NE",1.65,Four single ranged attacks (0.54 each),Y,Lowest HP% enemy,50,Monk
Jecht,Final Transformation,,Jecht Bomber,PHY,All enemies,Physical,1.50,"Dark, NE",1.65,Two group ranged attacks (0.75 each),Y,All enemies,50,Monk
Jecht,Wound Up,,Eagle Talons,PHY,Single enemy,Physical,2.16,"Fire, NE",0.83,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Monk
Jecht,Wound Up,,Rising Fist,PHY,Single enemy,Physical,1.95,"Fire, NE",1.65,"Three single attacks (0.65 each), grants Monk +15% Boost 3 to the user",Y,Lowest HP% enemy,50,Monk
Braska,Trine Summoning,,Ifrit,SUM,Self,,,,1.65,"Grants Lingering Spirit to the user for 20 seconds, grants Summon Ifrit to the user",N,Self,50,Summoning
Braska,Trine Summoning,,Ifrit (S),SUM,All enemies,Magical,17.00,"Fire, NE",1.65,"Four group attacks (4.25 each), minimum damage 1100, removes Summon Ifrit to the user",N,All enemies,50,Summoning
Braska,Trine Summoning,,Eternal Prayer,SUM,Single enemy,Magical,7.96,"Fire, NE",1.65,"Four single attacks (1.99 each), minimum damage 1100",N,Lowest HP% enemy,50,Summoning
Braska,Trine Summoning,,Eternal Prayer (S),SUM,Single enemy,Magical,9.95,"Fire, NE",1.65,"Five single attacks (1.99 each), minimum damage 1100",N,Lowest HP% enemy,50,Summoning
Paine,Grand Storm,,Aqua Storm,PHY,Single enemy,Physical,2.52,"Water, Wind",1.65,Four single attacks (0.63 each),Y,Lowest HP% enemy,50,Spellblade
Paine,Grand Storm,,Aqua Terra,PHY,Single enemy,Physical,2.52,"Water, Earth",1.65,Four single attacks (0.63 each),Y,Lowest HP% enemy,50,Spellblade
Paine,Whelmen,,Aqua Slash,PHY,Single enemy,Physical,2.16,"Water, NE",1.65,Four single attacks (0.54 each),Y,Lowest HP% enemy,50,Spellblade
Paine,Whelmen,,Aqua Drive,PHY,Single enemy,Physical,1.68,"Water, NE",1.65,"Three single attacks (0.56 each), grants Spellblade +15% Boost 3 to the user",Y,Lowest HP% enemy,50,Spellblade
Seymour,Anima's Pain,,Death's Release,BLK,Single enemy,Magical,8.68,"Dark, NE",1.65,"Four single attacks (2.17 each), causes Instant KO (9%)",Y,Lowest HP% enemy,50,Black Magic
Seymour,Anima's Pain,,Mortisunder,BLK,All enemies,Magical,6.08,"Dark, NE",1.65,"Two group attacks (3.04 each), causes Slow (16%)",Y,All enemies,50,Black Magic
Seymour,Guado Grudge,,Thirst for Destruction,BLK,Single enemy,Magical,13.20,"Dark, NE",1.65,"Six single attacks (2.20 each), damages the user for 35% max HP",Y,Lowest HP% enemy,50,Black Magic
Seymour,Guado Grudge,,Grave Vengeance,BLK,Self,,,,1.65,"Grants Phantom Regen to the user, grants Magic Bargain to the user for 20 seconds",N,Self,50,Black Magic
Shantotto,Play Rough,, Fire Play,BLK,Single enemy,Magical,8.00,"Lightning, Fire",0.83,Four single attacks (2.00 each),Y,Lowest HP% enemy,50,Black Magic
Shantotto,Play Rough,,Ice Play,BLK,Single enemy,Magical,8.00,"Lightning, Ice",0.83,Four single attacks (2.00 each),Y,Lowest HP% enemy,50,Black Magic
Ayame,Meikyo Shisui,,Chillfang Blade,PHY,Single enemy,Physical,1.88,"Ice, NE",0.83,Four single attacks (0.47 each),Y,Lowest HP% enemy,50,Samurai
Ayame,Meikyo Shisui,,Icewyrm Blade,PHY,All enemies,Physical,1.30,"Ice, NE",1.65,"Two group attacks (0.65 each), grants Dark Bargain to the user for 20 seconds",Y,All enemies,50,Samurai
Curilla,Intervention,,Requiescat,PHY,Single enemy,Physical,2.32,"Holy, NE",1.65,"Four single attacks (0.58 each), grants High Regen to the user for 25 seconds",Y,Lowest HP% enemy,50,Knight
Curilla,Intervention,,Blade of Uriel,PHY,All enemies,Physical,1.50,"Holy, NE",1.65,"Two group attacks (0.75 each), grants Sentinel to the user for 25 seconds",Y,All enemies,50,Knight
Prishe,Nullifying Dropkick,,Spin Combo,PHY,Single enemy,Physical,2.40,-,1.65,"3/4/5/6 single attacks (0.80 each) at 1/2/3 different Monk abilities used, reset",Y,Lowest HP% enemy,50,Monk
Prishe,Nullifying Dropkick,,Headlong Tackle,PHY,Single enemy,Physical,2.20,-,1.65,"Four single attacks (0.55 each), grants Dark Bargain to the user",Y,Lowest HP% enemy,50,Monk
Lion,Walk the Plank,,Broken Blade,PHY,Single enemy,Physical,2.00,-,0.83,"One single attack (2.00), ATK -40% for 15 seconds",Y,Random enemy,50,Thief
Lion,Walk the Plank,,Fraying Guard,PHY,Single enemy,Physical,2.00,-,0.83,"One single attack (2.00), DEF -40% for 15 seconds",Y,Random enemy,50,Thief
Aphmau,Realignment,,Activate,WHT,Single ally,,,,1.65,"Restores HP (60), grants Summon Activate to the user",Y,Lowest HP% ally,50,White Magic
Aphmau,Realignment,,Activate (S),WHT,Single enemy,Magical,10.48,"Lightning, NE",1.65,"Four single attacks (2.62 each), restores HP (60) to the lowest HP% ally, removes Summon Activate to the user",Y,Lowest HP% enemy,50,White Magic
Aphmau,Realignment,,Light Maneuver,WHT,All allies,,,,1.65,Restores HP (25),Y,All allies,50,White Magic
Aphmau,Realignment,,Light Maneuver (S),WHT,Single enemy,Magical,10.28,"Lightning, NE",1.65,"Two single attacks (5.14 each), restores HP (25) to all allies",Y,Lowest HP% enemy,50,White Magic
Zeid,Abyssal Strike,,Nether Void,PHY,Single enemy,Physical,1.96,"Dark, NE",1.65,"Four single attacks (0.49 each), five attacks if exploiting elemental weakness",Y,Lowest HP% enemy,50,Darkness
Zeid,Abyssal Strike,,Desperate Strike,PHY,All enemies,Physical,1.30,"Dark, NE",1.65,"Two group attacks (0.65 each), grants Dark Bargain to the user for 20 seconds",Y,Lowest HP% enemy,50,Darkness
Lilisette,Vivifying Waltz,,Gust Slash,PHY,Single enemy,Physical,1.80,"Lightning, Wind",0.83,"One single attack (1.80), MAG -50% for 15 seconds",Y,Random enemy without status,50,Dancer
Lilisette,Vivifying Waltz,,Divine Waltz,NAT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,Dancer
Vaan,Ark Blast,,Addle,PHY,Single enemy,Physical,2.00,-,0.83,"One single attack (2.00), MAG -50% for 15 seconds",Y,Random enemy,50,Support
Vaan,Ark Blast,,Expose,PHY,Single enemy,Physical,2.00,-,0.83,"One single attack (2.00), DEF -40% for 15 seconds",Y,Random enemy,50,Support
Balthier,Gatling Gun,,Mud Shot,PHY,Single enemy,Physical,2.30,-,1.65,"Two single ranged attacks (1.15 each), 1.40 multiplier if the target has Blind, causes Blind (60%)",Y,Random enemy without status,60,Machinist
Balthier,Gatling Gun,,Wyrmfire Shot,PHY,Single enemy,Physical,2.44,"Fire, NE",1.65,Four single ranged attacks (0.61 each),Y,Lowest HP% enemy,50,Machinist
Balthier,Spark of Change,,Oil Bomb,PHY,Single enemy,Physical,0.60,"Fire, NE",1.65,"Two single ranged attacks (0.30 each), 25% chance to cause Imperil Fire 10% for 15 seconds",Y,Lowest HP% enemy,50,Machinist
Balthier,Spark of Change,,Flame Ignition,PHY,Single enemy,Physical,0.96,"Fire, NE",1.65,Four single ranged attacks (0.24/0.54/0.84/1.20 each) scaling with Oil Bomb uses,Y,Lowest HP% enemy,50,Machinist
Fran,Gaze of the Void,,Gleaming Wyrmfang,PHY,Single enemy,Physical,2.40,-,1.65,"Two single ranged attacks (1.20 each), ATK -40% for 15 seconds",Y,Random enemy without status,50,Support
Fran,Gaze of the Void,,Paling Breaker,PHY,Single enemy,Physical,2.40,-,1.65,"Two single ranged attacks (1.20 each), RES -50% for 15 seconds",Y,Random enemy without status,50,Support
Fran,Thundering Hail,,Icebolt Steelbane,PHY,Single enemy,Physical,2.20,"Ice, Lightning",1.65,"Two single ranged attacks (1.10 each), ATK -40% for 15 seconds",Y,Random enemy without status,50,Support
Fran,Thundering Hail,,Icebolt Runebane,PHY,Single enemy,Physical,2.20,"Ice, Lightning",1.65,"Two single ranged attacks (1.10 each), MAG -50% for 15 seconds",Y,Random enemy without status,50,Support
Basch,Shining Ray,,Blade of Doom,PHY,Single enemy,Physical,2.08,Holy,1.65,"Four single attacks (0.52 each), five attacks if exploiting elemental weakness",Y,Lowest HP% enemy,50,Knight
Basch,Shining Ray,,Beacon of Light,PHY,All enemies,Physical,1.30,"Holy, NE",1.65,"Two group attacks (0.65 each), grants Retaliate to the user for 15 seconds",Y,All enemies,50,Knight
Ashe,Dusk's Decree,,Cleansing Storm,BLK,Single enemy,Magical,10.52,Lightning,1.65,"Four single attacks (2.63 each), restores HP (60) to the user",Y,Lowest HP% enemy,50,Black Magic
Ashe,Dusk's Decree,,Rumbling Flash,BLK,All enemies,Magical,6.28,"Lightning, NE",1.65,Two group attacks (3.14 each),Y,All enemies,50,Black Magic
Penelo,Evanescence,,Divine Twist,WHT,Single enemy,Magical,10.52,Holy,1.65,"Four single attacks (2.63 each), MND +15% to the user for 25 seconds",Y,Lowest HP% enemy,50,White Magic
Penelo,Evanescence,,Mending Dance,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
Penelo,Resurrection,,White Regen,WHT,Single ally,Magical,4.00,Holy,1.65,"Restores HP (105), grants High Regen, damages undeads",Y,Lowest HP% ally,50,White Magic
Penelo,Resurrection,,Healing Waltz,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
Gabranth,Innocence,,Judge's Rondo,PHY,Single enemy,Physical,1.88,"Dark, NE",0.83,Four single attacks (0.47 each),Y,Lowest HP% enemy,50,Combat
Gabranth,Innocence,,Blood Trial,PHY,Single enemy,Physical,2.20,"Dark, NE",1.65,"One single attack (2.20), heals the user for 20% of the damage dealt",Y,Lowest HP% enemy,50,Darkness
Larsa,Life Crystal,,Quiet Contemplation,WHT,Single ally,Magical,4.00,Holy,0.01,"Restores HP (105), damages undeads",Y,Lowest HP% ally,50,White Magic
Larsa,Life Crystal,,Sign of Integrity,WHT,All allies,Magical,2.00,Holy,1.65,"Restores HP (25), damages undeads",Y,All allies,50,White Magic
Vayne,Force of Will,,Hand of Empire,PHY,Single enemy,Physical,1.88,"Dark, NE",1.65,"Four single attacks (0.47 each), restores HP to the user for 25% of the user's maximum HP",Y,Lowest HP% enemy,50,Monk
Vayne,Force of Will,,Culling of Darkness,BLK,Single enemy,Magical,8.40,"Dark, NE",1.65,"Four single attacks (2.10 each), restores HP to the user for 25% of the user's maximum HP",Y,Lowest HP% enemy,50,Black Magic
Reks,Whitefall,,Elemental Strike,PHY,Single enemy,Physical,2.40,"Lightning, Ice",1.65,"Four single attacks (0.60 each), 0.75 multiplier if exploiting elemental weakness",Y,Lowest HP% enemy,50,Spellblade
Reks,Whitefall,,Healing Edge,PHY,Single enemy,Physical,2.32,-,1.65,"Four single attacks (0.58 each), restores HP to the lowest HP% ally for 25% of their maximum HP",Y,Lowest HP% enemy,50,Knight
Lightning,Requiem of the Goddess,,Flourish of Steel,PHY,Single enemy,Physical,1.84,-,1.65,"Four single attacks (0.46 each), 80% additional critical chance, causes Stun (9%)",Y,Lowest HP% enemy,50,Combat
